-5 => 4 0.6875
-5 => 2 0.25
-5 => 7 0.0625
4 => -5 1.0
2 => -5 0.5
2 => 11 0.25
2 => 9 0.25
11 => 2 0.6666666666666666
11 => 9 0.3333333333333333
11 2 => 9 1.0
-5 2 => -5 1.0
7 => 0 0.7407407407407407
7 => 2 0.037037037037037035
7 => 5 0.1111111111111111
7 => -12 0.1111111111111111
9 => 0 0.6666666666666666
9 => 7 0.3333333333333333
9 7 => 5 1.0
0 => 7 0.6923076923076923
0 => 9 0.23076923076923078
0 => 11 0.038461538461538464
0 => 2 0.038461538461538464
9 0 => 7 1.0
9 0 7 => -12 0.5
9 0 7 => 0 0.3333333333333333
9 0 7 => 2 0.16666666666666666
9 0 7 0 => 11 0.5
9 0 7 0 => 2 0.5
2 9 => 7 1.0
5 => 7 1.0
-12 => -17 0.3333333333333333
-12 => -15 0.16666666666666666
-12 => -19 0.16666666666666666
-12 => -20 0.16666666666666666
-12 => 7 0.16666666666666666
-12 -17 => -12 1.0
-12 -17 -12 => -19 0.5
-12 -17 -12 => -15 0.5
-19 => -17 1.0
-19 -17 => -12 1.0
-19 -17 -12 => -20 0.5
-19 -17 -12 => 7 0.5
7 -12 => -17 1.0
-17 => -12 0.8333333333333334
-17 => -10 0.16666666666666666
-18 => -17 1.0
-18 -17 => -10 1.0
-15 => -18 1.0
-10 => -17 1.0
-20 => -19 1.0
