128 60 => 58 0.25
128 60 => 65 0.125
57 51 => 48 1.0
59 60 => 58 1.0
68 128 65 => 68 1.0
63 61 => 63 1.0
57 60 => 128 1.0
51 57 => 51 1.0
53 => 59 0.0357142857143
53 => 58 0.107142857143
53 => 48 0.0357142857143
53 => 49 0.142857142857
53 => 57 0.0357142857143
53 => 56 0.178571428571
53 => 50 0.0714285714286
53 => 128 0.392857142857
65 128 => 68 0.142857142857
65 128 => 56 0.142857142857
65 128 => 51 0.0714285714286
65 128 => 65 0.428571428571
65 128 => 67 0.214285714286
68 63 => 68 0.5
68 63 => 60 0.5
53 59 => 53 1.0
55 128 => 55 0.444444444444
55 128 => 62 0.111111111111
55 128 => 56 0.444444444444
51 56 128 => 55 0.6
51 56 128 => 56 0.2
51 56 128 => 53 0.2
70 63 => 61 0.5
70 63 => 70 0.5
53 48 => 53 1.0
61 56 => 51 1.0
46 49 => 128 1.0
71 62 => 59 1.0
62 65 => 128 0.6
62 65 => 62 0.4
52 60 => 55 1.0
51 128 53 => 59 1.0
56 60 => 128 0.25
56 60 => 56 0.75
59 62 128 62 => 68 0.5
59 62 128 62 => 71 0.5
67 61 => 58 0.333333333333
67 61 => 67 0.666666666667
53 49 => 53 1.0
58 128 => 60 0.4
58 128 => 62 0.2
58 128 => 58 0.2
58 128 => 65 0.2
65 128 65 => 60 0.166666666667
65 128 65 => 128 0.666666666667
65 128 65 => 71 0.166666666667
57 128 => 58 1.0
128 67 => 64 0.5
128 67 => 70 0.5
56 52 => 56 1.0
67 128 60 => 65 1.0
73 => 70 1.0
52 => 58 0.0714285714286
52 => 48 0.214285714286
52 => 55 0.214285714286
52 => 56 0.285714285714
52 => 60 0.0714285714286
52 => 128 0.142857142857
53 57 => 53 1.0
51 128 => 53 1.0
67 => 128 0.45
67 => 61 0.15
67 => 64 0.2
67 => 70 0.2
49 128 => 56 0.5
49 128 => 49 0.5
59 62 128 => 62 0.5
59 62 128 => 64 0.25
59 62 128 => 67 0.25
50 53 128 => 56 1.0
68 => 128 0.181818181818
68 => 62 0.0454545454545
68 => 63 0.181818181818
68 => 65 0.409090909091
68 => 72 0.181818181818
67 128 => 60 0.222222222222
67 128 => 61 0.111111111111
67 128 => 63 0.222222222222
67 128 => 65 0.222222222222
67 128 => 67 0.222222222222
128 57 => 128 1.0
60 61 => 60 1.0
65 60 56 => 60 1.0
60 128 => 60 0.705882352941
60 128 => 61 0.117647058824
60 128 => 62 0.0588235294118
60 128 => 58 0.117647058824
56 60 128 => 61 1.0
64 128 => 64 0.833333333333
