24 => 12 1.0
7 3 8 => 7 1.0
-17 => -13 0.5
-17 => -14 0.5
10 => 13 0.5
10 => 17 0.5
-9 => -10 1.0
0 3 8 7 => 8 1.0
-16 -17 => -13 1.0
12 => 19 0.645833333333
12 => 18 0.333333333333
12 => 8 0.0208333333333
17 18 => 17 1.0
3 0 => 3 1.0
14 => 11 0.5
14 => 13 0.5
-5 => -7 0.666666666667
-5 => -6 0.333333333333
0 => 3 1.0
3 => 8 0.6
3 => 2 0.2
3 => 0 0.2
-7 => -5 0.2
-7 => -11 0.45
-7 => -6 0.1
-7 => -8 0.15
-7 => -4 0.1
2 => 8 1.0
-11 -7 => -11 0.5
-11 -7 => -8 0.5
-18 => -19 1.0
-19 -7 => -5 1.0
0 3 => 8 0.478260869565
0 3 => 2 0.521739130435
-6 -7 => -4 1.0
3 0 3 => 2 1.0
-1 7 => 11 0.333333333333
-1 7 => 8 0.333333333333
-1 7 => 5 0.333333333333
19 => 24 1.0
5 8 => 18 1.0
-11 -7 -11 => -8 1.0
2 8 => 7 1.0
12 8 => 10 1.0
15 12 => 8 1.0
-1 => 7 1.0
7 0 => 3 1.0
-10 -7 => -5 0.5
-10 -7 => -6 0.5
-14 => -15 1.0
11 => 14 1.0
-10 => -7 0.285714285714
-10 => -6 0.285714285714
-10 => -9 0.428571428571
-1 7 8 7 => -1 1.0
-16 => -17 1.0
13 => 0 0.5
13 => 5 0.5
-8 => -5 0.5
-8 => -7 0.5
7 3 => 0 0.333333333333
7 3 => 8 0.666666666667
15 => 11 0.333333333333
15 => 12 0.333333333333
15 => 17 0.333333333333
17 => 18 0.5
17 => 15 0.25
17 => 10 0.25
-4 => -6 0.5
-4 => -1 0.5
7 3 8 7 => 3 1.0
-15 -7 => -5 1.0
-1 7 8 => 7 1.0
-19 => -18 0.75
-19 => -7 0.125
-19 => -17 0.125
-6 => -10 0.75
-6 => -7 0.25
7 8 7 => 0 0.36
7 8 7 => 3 0.48
7 8 7 => -1 0.04
7 8 7 => -17 0.08
7 8 7 => 17 0.04
5 => 8 0.5
5 => -1 0.5
7 8 => 7 1.0
-8 -7 => -11 1.0
7 => 11 0.0131578947368
7 => 17 0.0131578947368
7 => 0 0.118421052632
7 => 3 0.473684210526
7 => -1 0.0131578947368
7 => -17 0.0263157894737
7 => 8 0.328947368421
7 => 5 0.0131578947368
0 3 8 => 7 1.0
2 8 7 => 8 1.0
-6 -10 => -7 0.333333333333
-6 -10 => -6 0.666666666667
18 => 12 0.789473684211
18 => 15 0.105263157895
18 => 17 0.105263157895
-11 => -7 0.666666666667
-11 => -8 0.333333333333
-13 => -14 1.0
7 0 3 => 8 1.0
8 18 => 15 1.0
8 => 18 0.0133333333333
8 => 7 0.973333333333
8 => 10 0.0133333333333
-15 => 0 0.125
-15 => -7 0.125
-15 => -17 0.25
-15 => -16 0.5
