11 128 9 => 128 0.666666666667
11 128 9 => -3 0.333333333333
-6 128 -3 => 128 1.0
-9 => 128 0.2
-9 => 0 0.2
-9 => -8 0.6
0 -1 => 7 0.0357142857143
0 -1 => -5 0.285714285714
0 -1 => 0 0.0714285714286
0 -1 => 2 0.214285714286
0 -1 => 5 0.0357142857143
0 -1 => -3 0.142857142857
0 -1 => -8 0.214285714286
16 8 => 11 1.0
11 0 7 => 12 1.0
-8 128 2 128 => -1 1.0
128 0 128 => -1 0.526315789474
128 0 128 => 2 0.0526315789474
128 0 128 => -6 0.0526315789474
128 0 128 => -3 0.368421052632
4 5 => 1 0.0588235294118
4 5 => 128 0.0588235294118
4 5 => 2 0.235294117647
4 5 => 4 0.411764705882
4 5 => 7 0.235294117647
7 4 1 => 2 1.0
12 14 11 => 7 1.0
9 5 7 => 9 0.75
9 5 7 => 6 0.25
6 128 3 128 => 4 1.0
9 => 11 0.111111111111
9 => 10 0.00793650793651
9 => 13 0.0396825396825
9 => 12 0.047619047619
9 => 14 0.00793650793651
9 => 16 0.031746031746
9 => 2 0.015873015873
9 => 5 0.0873015873016
9 => 4 0.0555555555556
9 => 7 0.174603174603
9 => 6 0.0238095238095
9 => 128 0.277777777778
9 => 8 0.111111111111
9 => -3 0.00793650793651
11 7 9 11 => 7 1.0
16 12 => 9 0.4
16 12 => 4 0.2
16 12 => 16 0.4
-1 -3 => -5 0.133333333333
-1 -3 => -4 0.0666666666667
-1 -3 => -1 0.4
-1 -3 => 4 0.2
-1 -3 => 6 0.0666666666667
-1 -3 => 128 0.133333333333
0 2 -1 => -5 0.25
0 2 -1 => 0 0.5
0 2 -1 => -7 0.25
-3 8 9 => 6 1.0
7 0 => 7 1.0
16 128 => 9 0.333333333333
16 128 => 17 0.333333333333
16 128 => 16 0.333333333333
6 5 => 6 1.0
9 12 128 => 0 1.0
8 11 14 => 11 1.0
12 16 => 12 1.0
5 4 128 => 9 1.0
4 -3 -1 => 2 1.0
-3 2 128 => -4 1.0
-6 128 => -3 1.0
128 -4 => 128 0.461538461538
128 -4 => -1 0.0769230769231
128 -4 => -8 0.0769230769231
128 -4 => -3 0.384615384615
128 9 => 11 0.030303030303
128 9 => 7 0.0606060606061
128 9 => 5 0.030303030303
128 9 => -3 0.030303030303
128 9 => 128 0.606060606061
128 9 => 8 0.242424242424
128 -3 => 128 0.7
128 -3 => -5 0.0666666666667
128 -3 => 4 0.166666666667
128 -3 => 0 0.0666666666667
-8 128 => -5 0.25
-8 128 => 2 0.25
-8 128 => -8 0.25
-8 128 => 7 0.25
-8 128 2 => 128 1.0
-1 -8 => -7 1.0
-4 -3 4 => 128 1.0
1 128 2 => 128 0.666666666667
1 128 2 => -7 0.333333333333
5 14 => 128 1.0
9 11 => 8 0.142857142857
9 11 => 12 0.642857142857
9 11 => 7 0.214285714286
-8 -5 => 0 0.75
-8 -5 => -1 0.25
1 128 => 8 0.333333333333
1 128 => 2 0.5
1 128 => -3 0.166666666667
7 5 => -5 0.0555555555556
7 5 => 128 0.111111111111
7 5 => 2 0.222222222222
7 5 => 4 0.611111111111
14 11 128 => 14 1.0
128 0 => 12 0.0882352941176
128 0 => 128 0.558823529412
128 0 => -1 0.147058823529
128 0 => 7 0.0882352941176
128 0 => 9 0.0882352941176
128 0 => -8 0.0294117647059
-3 16 => 13 1.0
128 9 5 => 9 1.0
0 -1 0 => -8 1.0
18 16 14 => 13 1.0
7 4 => 128 0.333333333333
7 4 => 0 0.555555555556
7 4 => 1 0.111111111111
2 0 128 -1 => -5 1.0
9 5 2 => 4 1.0
128 -8 => 128 0.666666666667
128 -8 => -5 0.333333333333
11 7 128 => 12 0.666666666667
11 7 128 => 5 0.333333333333
0 128 7 => 128 1.0
-1 -5 128 => -5 1.0
-3 2 => 1 0.25
-3 2 => 128 0.25
-3 2 => -1 0.5
9 7 => 128 0.0909090909091
9 7 => 5 0.545454545455
9 7 => 12 0.136363636364
9 7 => -1 0.181818181818
9 7 => 6 0.0454545454545
2 5 => 9 0.333333333333
2 5 => 2 0.333333333333
2 5 => 4 0.333333333333
4 128 => 11 0.0263157894737
4 128 => 12 0.0789473684211
4 128 => 14 0.0263157894737
4 128 => 0 0.131578947368
4 128 => 1 0.0263157894737
4 128 => -4 0.0526315789474
4 128 => 3 0.184210526316
4 128 => 2 0.236842105263
4 128 => 4 0.105263157895
4 128 => 7 0.0263157894737
4 128 => 6 0.0263157894737
4 128 => 9 0.0526315789474
4 128 => -3 0.0263157894737
5 6 => 9 1.0
2 0 128 => 9 0.6
2 0 128 => -1 0.4
9 16 => 13 0.5
9 16 => 14 0.25
9 16 => 6 0.25
-2 => 128 0.333333333333
-2 => -1 0.333333333333
-2 => -3 0.333333333333
128 3 4 => 128 0.333333333333
128 3 4 => -5 0.166666666667
128 3 4 => -1 0.166666666667
128 3 4 => 6 0.333333333333
4 2 1 => 4 1.0
0 -3 => 0 0.5
0 -3 => 4 0.25
0 -3 => -8 0.25
0 -4 => -3 1.0
11 9 => 128 0.125
11 9 => 8 0.1875
11 9 => 13 0.125
11 9 => 7 0.4375
11 9 => 16 0.125
12 => 11 0.166666666667
12 => 15 0.0625
12 => 14 0.0729166666667
12 => 16 0.03125
12 => 9 0.145833333333
12 => 3 0.0104166666667
12 => 4 0.03125
12 => 7 0.104166666667
12 => 128 0.364583333333
12 => 8 0.0104166666667
0 -5 2 => 6 1.0
0 128 => -6 0.0294117647059
0 128 => -3 0.205882352941
0 128 => -5 0.0588235294118
0 128 => 0 0.147058823529
0 128 => 2 0.0294117647059
0 128 => -1 0.352941176471
0 128 => 4 0.0294117647059
0 128 => 7 0.0588235294118
0 128 => 9 0.0882352941176
-5 => -6 0.0769230769231
-5 => -3 0.0769230769231
-5 => 0 0.0769230769231
-5 => -7 0.0512820512821
-5 => 2 0.25641025641
-5 => -1 0.153846153846
-5 => 7 0.0512820512821
-5 => -2 0.025641025641
-5 => 128 0.205128205128
-5 => 5 0.025641025641
2 7 => 128 1.0
8 4 => 128 0.75
8 4 => 11 0.25
3 4 => 12 0.0555555555556
3 4 => -5 0.111111111111
3 4 => 9 0.111111111111
3 4 => 3 0.333333333333
3 4 => -1 0.0555555555556
3 4 => 6 0.166666666667
3 4 => 128 0.111111111111
3 4 => 8 0.0555555555556
16 12 9 => 11 1.0
7 5 128 4 => 5 1.0
3 128 => 4 1.0
2 -4 128 -3 => 128 1.0
-3 128 -1 => -3 1.0
16 15 => 11 1.0
0 128 -3 128 => -4 1.0
5 -5 => 5 1.0
-3 6 => 4 1.0
12 11 => 9 0.5
12 11 => 128 0.3125
12 11 => 12 0.125
12 11 => 7 0.0625
2 9 => 128 0.333333333333
2 9 => 7 0.666666666667
0 -3 4 => -4 1.0
128 6 => 128 0.666666666667
128 6 => 5 0.166666666667
128 6 => 4 0.166666666667
128 7 => 128 0.647058823529
128 7 => 5 0.235294117647
128 7 => 4 0.0588235294118
128 7 => 6 0.0588235294118
13 9 => 8 0.4
13 9 => 13 0.2
13 9 => 4 0.4
11 12 => 11 0.210526315789
11 12 => 9 0.315789473684
11 12 => 14 0.263157894737
11 12 => 128 0.105263157895
11 12 => 4 0.105263157895
-3 0 -1 -5 => -6 1.0
4 8 => 3 1.0
10 128 => 9 1.0
4 5 128 => 4 1.0
9 128 7 => 128 0.833333333333
9 128 7 => 5 0.166666666667
4 128 2 => 128 1.0
0 2 128 => 2 1.0
4 9 => 128 0.666666666667
4 9 => 8 0.111111111111
4 9 => 4 0.222222222222
-1 -5 => 128 0.153846153846
-1 -5 => 2 0.615384615385
-1 -5 => -6 0.153846153846
-1 -5 => -1 0.0769230769231
0 2 => 128 0.0833333333333
0 2 => 9 0.166666666667
0 2 => -1 0.666666666667
0 2 => 4 0.0833333333333
-1 7 => 4 1.0
128 -10 => -7 1.0
128 8 => 11 0.5
128 8 => 9 0.5
128 11 128 => 9 0.1
128 11 128 => 12 0.9
-3 0 128 => 0 1.0
7 5 4 => 2 0.545454545455
7 5 4 => 5 0.454545454545
0 5 128 => 0 1.0
128 -1 -3 => -1 1.0
6 2 128 => 4 1.0
13 11 => 9 1.0
4 5 4 => 9 0.857142857143
4 5 4 => 7 0.142857142857
-5 0 7 => -3 1.0
2 128 4 128 => 0 1.0
3 4 128 4 => 1 1.0
14 12 => 11 0.666666666667
14 12 => 128 0.333333333333
9 4 => 1 0.571428571429
9 4 => 0 0.285714285714
9 4 => 5 0.142857142857
4 6 => 9 0.111111111111
4 6 => 8 0.111111111111
4 6 => 3 0.222222222222
4 6 => 5 0.111111111111
4 6 => 7 0.444444444444
-3 128 4 128 => 14 1.0
17 16 14 => 12 1.0
-3 -8 => -9 1.0
2 0 -1 => 2 0.25
2 0 -1 => -3 0.5
2 0 -1 => 7 0.25
6 2 => 128 0.25
6 2 => 0 0.25
6 2 => -1 0.5
4 -1 => 0 1.0
17 16 => 14 1.0
-10 -8 => -5 0.5
-10 -8 => -7 0.5
128 4 128 => 11 0.0416666666667
128 4 128 => 14 0.0416666666667
128 4 128 => 0 0.208333333333
128 4 128 => 1 0.0416666666667
128 4 128 => -4 0.0416666666667
128 4 128 => 3 0.291666666667
128 4 128 => 2 0.0833333333333
128 4 128 => 4 0.125
128 4 128 => -3 0.0416666666667
128 4 128 => 6 0.0416666666667
128 4 128 => 9 0.0416666666667
-5 -7 => -5 0.5
-5 -7 => -8 0.5
5 128 11 => 12 1.0
-8 128 7 => 4 1.0
-7 -8 -7 => -10 1.0
7 0 7 => 10 1.0
16 => 13 0.125
16 => 12 0.208333333333
16 => 15 0.0416666666667
16 => 14 0.25
16 => 17 0.0833333333333
16 => 2 0.0416666666667
16 => 6 0.0833333333333
16 => 128 0.125
16 => 8 0.0416666666667
5 4 5 => 128 0.2
5 4 5 => 7 0.8
-1 => 11 0.0194174757282
-1 => -3 0.145631067961
-1 => 0 0.26213592233
-1 => -7 0.0194174757282
-1 => -5 0.126213592233
-1 => -4 0.0582524271845
-1 => 3 0.00970873786408
-1 => 2 0.116504854369
-1 => 5 0.00970873786408
-1 => 4 0.0582524271845
-1 => 7 0.00970873786408
-1 => -2 0.00970873786408
-1 => 128 0.0970873786408
-1 => -8 0.0582524271845
-3 -1 => 128 0.153846153846
-3 -1 => -4 0.230769230769
-3 -1 => 2 0.0769230769231
-3 -1 => 0 0.538461538462
2 0 2 => 9 0.666666666667
2 0 2 => 4 0.333333333333
-1 2 1 => -1 0.5
-1 2 1 => -3 0.5
4 -8 => 128 1.0
9 128 12 => 11 1.0
9 5 128 => 11 0.666666666667
9 5 128 => 7 0.333333333333
2 -1 -5 => 128 1.0
4 2 => 17 0.0625
4 2 => 1 0.125
4 2 => 0 0.4375
4 2 => -1 0.1875
4 2 => 4 0.0625
4 2 => 6 0.0625
4 2 => 128 0.0625
10 9 => 128 0.666666666667
10 9 => 7 0.333333333333
11 => 12 0.218390804598
11 => 14 0.16091954023
11 => 16 0.0229885057471
11 => 9 0.183908045977
11 => 0 0.0229885057471
11 => 4 0.0114942528736
11 => 7 0.103448275862
11 => 128 0.218390804598
11 => 8 0.0574712643678
-4 -8 => 128 0.142857142857
-4 -8 => -1 0.714285714286
-4 -8 => 4 0.142857142857
-8 => -5 0.1
-8 => -7 0.4
-8 => -1 0.125
-8 => 4 0.05
-8 => -3 0.125
-8 => 128 0.1
-8 => -9 0.1
-4 -3 128 => 4 0.5
-4 -3 128 => 16 0.5
-1 11 12 => 128 1.0
-3 128 => 16 0.04
-3 128 => -4 0.36
-3 128 => -1 0.24
-3 128 => 4 0.04
-3 128 => -3 0.24
-3 128 => 6 0.04
-3 128 => -9 0.04
-1 4 => 1 0.333333333333
-1 4 => 3 0.666666666667
-6 -10 => 128 1.0
18 => 16 1.0
0 128 7 128 => 9 1.0
6 7 => -5 0.142857142857
6 7 => 12 0.285714285714
6 7 => 2 0.142857142857
6 7 => 6 0.428571428571
4 2 128 => -5 1.0
0 12 => 9 0.25
0 12 => 8 0.25
0 12 => 15 0.5
11 14 => 11 1.0
128 10 => 128 0.5
128 10 => 9 0.5
0 -4 -3 => 0 1.0
13 16 => 2 0.333333333333
13 16 => 14 0.333333333333
13 16 => 6 0.333333333333
6 2 -1 => 2 0.5
6 2 -1 => 4 0.5
11 7 9 => 11 1.0
5 128 => 11 0.125
5 128 => 10 0.0625
5 128 => -4 0.0625
5 128 => 0 0.125
5 128 => 2 0.25
5 128 => 4 0.3125
5 128 => 7 0.0625
11 9 8 => 9 0.333333333333
11 9 8 => 3 0.333333333333
11 9 8 => 16 0.333333333333
6 11 => 9 1.0
17 128 => 11 1.0
-1 -7 => -5 1.0
16 6 => 8 0.5
16 6 => 18 0.5
-6 2 => 0 1.0
-3 4 128 => -4 1.0
4 0 => 2 0.0909090909091
4 0 => -1 0.636363636364
4 0 => 7 0.181818181818
4 0 => -3 0.0909090909091
128 12 11 => 128 0.75
128 12 11 => 7 0.25
7 => 11 0.0291262135922
7 => 10 0.0582524271845
7 => 12 0.145631067961
7 => 16 0.00970873786408
7 => 128 0.203883495146
7 => -5 0.00970873786408
7 => 0 0.0194174757282
7 => 2 0.00970873786408
7 => -1 0.0388349514563
7 => 4 0.0873786407767
7 => -3 0.0194174757282
7 => 6 0.0582524271845
7 => 9 0.135922330097
7 => 5 0.174757281553
4 128 4 128 => 9 0.333333333333
4 128 4 128 => 4 0.666666666667
9 128 4 => 128 1.0
128 12 14 => 16 1.0
-5 7 128 => 3 1.0
-2 128 => -8 1.0
2 128 4 => 128 0.8
2 128 4 => 3 0.2
6 3 => -1 1.0
7 12 => 11 0.4
7 12 => 128 0.0666666666667
7 12 => 7 0.533333333333
-1 -3 128 => -4 0.5
-1 -3 128 => 6 0.5
128 8 9 => 11 1.0
8 9 13 => 16 1.0
17 14 => 11 1.0
-5 128 5 128 => 2 1.0
4 => 11 0.0347222222222
4 => -5 0.0208333333333
4 => 12 0.0138888888889
4 => -3 0.00694444444444
4 => 0 0.0763888888889
4 => 9 0.0625
4 => 1 0.0694444444444
4 => -4 0.0138888888889
4 => 3 0.0763888888889
4 => 2 0.111111111111
4 => -1 0.00694444444444
4 => 8 0.00694444444444
4 => 7 0.0486111111111
4 => 6 0.0625
4 => 128 0.263888888889
4 => 5 0.118055555556
4 => -8 0.00694444444444
9 128 4 128 => 1 1.0
-5 -1 => -5 0.166666666667
-5 -1 => 3 0.166666666667
-5 -1 => 2 0.166666666667
-5 -1 => 4 0.5
0 128 2 => 0 1.0
3 -1 => 11 1.0
