-24 => -20 0.43478260869565216
-24 => -12 0.43478260869565216
-24 => -17 0.13043478260869565
-17 => -24 0.15384615384615385
-17 => -15 0.038461538461538464
-17 => -29 0.11538461538461539
-17 => -12 0.6923076923076923
-17 -24 => -12 1.0
-20 => -17 0.8
-20 => -12 0.2
-20 -17 => -24 0.5
-20 -17 => -12 0.5
-20 -17 -12 => -17 0.5
-20 -17 -12 => -24 0.5
-20 -17 -12 -17 => -29 1.0
-5 => -7 0.6666666666666666
-5 => -17 0.3333333333333333
-5 -17 => -15 1.0
-12 => -3 0.06060606060606061
-12 => -24 0.5454545454545454
-12 => -16 0.09090909090909091
-12 => -17 0.30303030303030304
-8 => -5 0.5
-8 => -12 0.5
-8 -12 => -16 1.0
-17 -24 -12 => -24 0.5
-17 -24 -12 => -3 0.5
-3 => -5 1.0
-7 => -8 1.0
-15 => -13 1.0
-13 => -12 1.0
-29 => -16 0.3333333333333333
-29 => -12 0.6666666666666666
-16 => -17 0.6666666666666666
-16 => -21 0.3333333333333333
-21 => -16 1.0
