0 => -7 1.0
-7 => -5 0.3181818181818182
-7 => 0 0.13636363636363635
-7 => -17 0.2727272727272727
-7 => -8 0.13636363636363635
-7 => -6 0.13636363636363635
0 -7 => -5 0.7
0 -7 => -6 0.3
-8 => -17 0.5
-8 => 0 0.5
-8 0 => -7 1.0
-8 0 -7 => -6 1.0
-17 => -19 0.16393442622950818
-17 => -12 0.32786885245901637
-17 => -13 0.01639344262295082
-17 => -5 0.14754098360655737
-17 => -7 0.09836065573770492
-17 => -8 0.04918032786885246
-17 => -6 0.04918032786885246
-17 => -10 0.04918032786885246
-17 => -24 0.09836065573770492
-17 -7 => -17 1.0
-12 => -15 0.38235294117647056
-12 => -17 0.20588235294117646
-12 => -19 0.20588235294117646
-12 => -7 0.029411764705882353
-12 => -14 0.08823529411764706
-12 => -13 0.08823529411764706
-12 -7 => 0 1.0
-5 => -12 0.3181818181818182
-5 => -17 0.4090909090909091
-5 => -7 0.13636363636363635
-5 => 0 0.13636363636363635
-5 -7 => -8 1.0
-24 => -17 0.6
-24 => -7 0.4
-24 -7 => 0 1.0
-17 -5 => 0 0.3333333333333333
-17 -5 => -17 0.6666666666666666
-7 -5 => -12 1.0
-6 => -5 1.0
-6 -5 => -17 0.5
-6 -5 => -7 0.5
-10 => -12 1.0
-10 -12 => -13 1.0
-13 => -12 0.5714285714285714
-13 => -17 0.42857142857142855
-13 -12 => -19 1.0
-13 -12 -19 => -17 1.0
-13 -12 -19 -17 => -24 0.75
-13 -12 -19 -17 => -12 0.25
-13 -12 -19 -17 -12 => -7 1.0
-15 => -17 0.625
-15 => -19 0.1875
-15 => -13 0.1875
-15 -19 => -17 1.0
-15 -19 -17 => -12 1.0
-15 -19 -17 -12 => -17 1.0
-5 -12 => -15 0.5714285714285714
-5 -12 => -14 0.42857142857142855
-12 -17 => -24 0.42857142857142855
-12 -17 => -5 0.42857142857142855
-12 -17 => -13 0.14285714285714285
-15 -17 => -19 1.0
-24 -17 => -12 1.0
-5 -17 => -5 0.6666666666666666
-5 -17 => -7 0.3333333333333333
-19 => -17 1.0
-19 -17 => -24 0.15
-19 -17 => -12 0.7
-19 -17 => -10 0.15
-14 => -15 1.0
-14 -15 => -17 1.0
-14 -15 -17 => -19 1.0
-14 -15 -17 -19 => -17 1.0
-14 -15 -17 -19 -17 => -10 1.0
-8 -17 => -6 1.0
-13 -17 => -12 1.0
-7 -17 => -8 0.5
-7 -17 => -7 0.5
-12 -13 => -17 1.0
