-36 => -34 1.0
-34 => -32 0.5555555555555556
-34 => -29 0.2222222222222222
-34 => -36 0.1111111111111111
-34 => -31 0.1111111111111111
-22 => -34 1.0
-22 -34 => -29 1.0
-31 => -32 0.5
-31 => -34 0.125
-31 => -29 0.375
-31 -34 => -29 1.0
-32 => -31 0.4444444444444444
-32 => -34 0.3333333333333333
-32 => -30 0.2222222222222222
-30 => -29 0.6666666666666666
-30 => -34 0.3333333333333333
-29 => -27 0.125
-29 => -24 0.125
-29 => -30 0.125
-29 => -31 0.375
-29 => -36 0.125
-29 => -41 0.125
-27 => -25 0.5
-27 => -29 0.5
-27 -29 => -30 1.0
-25 => -24 0.5
-25 => -27 0.5
-24 => -22 0.5
-24 => -25 0.5
-41 => -36 1.0
