-17 => -12 0.058823529411764705
-17 => -24 0.47058823529411764
-17 => -13 0.23529411764705882
-17 => -20 0.23529411764705882
-12 => -24 0.09090909090909091
-12 => -10 0.18181818181818182
-12 => -8 0.36363636363636365
-12 => -17 0.36363636363636365
-12 -17 => -20 0.5
-12 -17 => -13 0.5
-22 => -17 1.0
-22 -17 => -13 1.0
-15 => -13 1.0
-15 -13 => -12 1.0
-15 -13 -12 => -10 1.0
-17 -12 => -24 1.0
-24 => -19 0.4
-24 => -17 0.4
-24 => -29 0.2
-20 => -24 1.0
-20 -24 => -29 0.6666666666666666
-20 -24 => -19 0.3333333333333333
-19 => -24 0.5
-19 => -15 0.25
-19 => -17 0.25
-13 => -12 0.42857142857142855
-13 => -10 0.5714285714285714
-10 => -22 0.2
-10 => -13 0.8
-12 -10 => -22 1.0
-8 => -12 1.0
-29 => -24 1.0
