-12 => -19 0.058823529411764705
-12 => -10 0.47058823529411764
-12 => -17 0.47058823529411764
-13 => -12 1.0
-13 -12 => -10 1.0
-19 => -22 0.2727272727272727
-19 => -15 0.18181818181818182
-19 => -20 0.18181818181818182
-19 => -17 0.36363636363636365
-15 => -13 0.5
-15 => -18 0.16666666666666666
-15 => -19 0.3333333333333333
-15 -19 => -17 1.0
-17 => -5 0.043478260869565216
-17 => -15 0.13043478260869565
-17 => -12 0.30434782608695654
-17 => -19 0.17391304347826086
-17 => -29 0.08695652173913043
-17 => -20 0.2608695652173913
-17 -19 => -15 0.5
-17 -19 => -20 0.5
-24 => -19 0.5
-24 => -12 0.5
-24 -19 => -22 1.0
-22 => -17 1.0
-24 -12 => -17 1.0
-24 -12 -17 => -15 1.0
-12 -17 => -20 0.5
-12 -17 => -15 0.25
-12 -17 => -19 0.25
-22 -17 => -5 0.2
-22 -17 => -20 0.4
-22 -17 => -19 0.4
-5 => -6 0.3333333333333333
-5 => -17 0.6666666666666666
-5 -17 => -12 0.75
-5 -17 => -15 0.25
-19 -17 => -29 0.5
-19 -17 => -12 0.5
-7 => -5 0.6
-7 => -17 0.4
-7 -17 => -12 1.0
-6 => -5 1.0
-19 -15 => -18 1.0
-20 => -15 0.5
-20 => -24 0.5
-20 -15 => -19 1.0
-10 => -8 1.0
-8 => -15 0.375
-8 => -7 0.625
-18 => -22 1.0
-29 => -12 1.0
