-23 => -19 0.9491525423728814
-23 => -16 0.03389830508474576
-23 => -22 0.01694915254237288
-19 => -23 0.9830508474576272
-19 => -18 0.01694915254237288
-16 => -28 0.3333333333333333
-16 => -15 0.3333333333333333
-16 => -6 0.3333333333333333
-28 => -29 1.0
-29 => -19 1.0
-18 => -22 0.5
-18 => -20 0.5
-22 => -19 0.5
-22 => -6 0.5
-6 => -14 0.6875
-6 => -22 0.0625
-6 => 9 0.0625
-6 => -16 0.125
-6 => -27 0.0625
-16 -6 => -27 1.0
-14 => -6 1.0
-15 => -17 1.0
-17 => -18 1.0
-20 => -22 1.0
9 => -6 1.0
-27 => -6 1.0
