-13 => -12 1.0
-12 => -16 0.05
-12 => -7 0.05
-12 => -17 0.5
-12 => -13 0.1
-12 => -15 0.1
-12 => -20 0.1
-12 => 2 0.1
-13 -12 => -16 0.25
-13 -12 => -17 0.5
-13 -12 => -7 0.25
-27 => -22 1.0
-27 -22 => -17 1.0
-27 -22 -17 => -12 1.0
-27 -22 -17 -12 => -15 1.0
-12 -17 => -12 0.8
-12 -17 => -15 0.2
-12 -17 -12 => -20 0.25
-12 -17 -12 => -17 0.5
-12 -17 -12 => -13 0.25
-12 -17 -12 -17 => -12 1.0
-12 -17 -12 -17 -12 => -13 0.5
-12 -17 -12 -17 -12 => -20 0.5
-19 => -17 1.0
-19 -17 => -12 1.0
-19 -17 -12 => 2 1.0
-16 => -13 0.3333333333333333
-16 => -20 0.6666666666666666
-7 => -8 1.0
-8 => -7 0.3333333333333333
-8 => -12 0.6666666666666666
-17 => -12 0.7
-17 => -15 0.1
-17 => -22 0.1
-17 => -7 0.1
-13 -12 -17 => -15 1.0
-18 => -17 1.0
-18 -17 => -22 1.0
-5 => -6 0.5
-5 => -17 0.5
-5 -17 => -7 1.0
-15 => -27 0.3333333333333333
-15 => -16 0.3333333333333333
-15 => -18 0.3333333333333333
-20 => -15 0.5
-20 => -19 0.5
-20 -15 => -18 1.0
-17 -15 => -27 1.0
-12 -15 => -16 1.0
-22 => -17 1.0
2 => 0 1.0
0 => -1 1.0
-1 => 0 0.5
-1 => -3 0.5
-3 => -4 0.5
-3 => -5 0.5
-4 => -3 1.0
-6 => -5 1.0
