-24 => -19 0.48148148148148145
-24 => -29 0.37037037037037035
-24 => -31 0.037037037037037035
-24 => -22 0.1111111111111111
-19 => -24 0.5384615384615384
-19 => -31 0.46153846153846156
-19 -24 => -29 1.0
-25 => -24 1.0
-25 -24 => -22 1.0
-29 => -24 0.6538461538461539
-29 => -22 0.11538461538461539
-29 => -18 0.11538461538461539
-29 => -27 0.11538461538461539
-24 -22 => -29 1.0
-24 -22 -29 => -24 1.0
-20 => -22 1.0
-20 -22 => -29 1.0
-20 -22 -29 => -27 1.0
-29 -22 => -29 1.0
-29 -22 -29 => -18 1.0
-29 -24 => -19 0.75
-29 -24 => -29 0.1875
-29 -24 => -31 0.0625
-29 -24 -29 => -22 1.0
-31 => -29 1.0
-22 => -29 1.0
-18 => -20 1.0
-27 => -25 1.0
