8|	7|	1.0
7|	5|7	1.0
5|	3|	0.875
5|	4|	0.125
2|	1|	0.2
2|	5|2	1.0
2|	0|2	1.0
3|	-1|	0.125
3|	0|3	1.0
3|	2|3	1.0
-2|	5|-2	1.0
-2|	3|-2	1.0
0|	-2|	0.38095238095238093
0|	-5|	0.2857142857142857
0|	-7|	0.09523809523809523
0|	-4|	0.047619047619047616
0|	-12|	0.047619047619047616
0|	2|0	1.0
0|	-1|0	1.0
-24|	0|-24	1.0
-1|	-5|	0.25
-1|	-3|	0.125
-1|	0|-1	0.2
4|	2|4	1.0
-5|	8|	0.07142857142857142
-5|	-4|	0.07142857142857142
-5|	-8|	0.07142857142857142
-5|	-12|-5	0.14285714285714285
-5|	-17|-5	1.0
-5|	-9|-5	1.0
-3|	-1|	0.25
-3|	-4|	0.25
-3|	-16|	0.25
-3|	-5|-3	1.0
-6|	-19|	0.2
-6|	-18|	0.2
-6|	-5|-6	0.3333333333333333
-12|	-19|	0.13636363636363635
-12|	8|	0.18181818181818182
-12|	-14|	0.045454545454545456
-12|	-8|	0.09090909090909091
-12|	-11|	0.045454545454545456
-12|	-22|	0.045454545454545456
-12|	-15|-12	0.25
-12|	-13|-12	1.0
-10|	-5|	0.1
-10|	-12|-10	0.5
-10|	-17|-10	0.3333333333333333
-10|	-18|-10	1.0
-18|	-17|-18	0.5
-18|	-10|-18	1.0
-19|	-18|	0.2
-19|	-17|-19	0.5
-13|	-20|	0.25
-13|	-12|-13	0.5
-13|	-15|-13	0.5
-13|	-22|-13	1.0
-20|	-27|	0.2857142857142857
-20|	-19|-20	1.0
-20|	-22|-20	1.0
-17|	-12|	0.35
-17|	-16|	0.05
-17|	-1|	0.1
-17|	-18|	0.15
-17|	-5|	0.05
-17|	-24|	0.05
-17|	-15|-17	0.8
-22|	-11|	0.1
-22|	-6|	0.1
-22|	-17|-22	0.3333333333333333
-22|	-15|-22	0.3333333333333333
-22|	-10|-22	1.0
-22|	-13|-22	1.0
-15|	-14|	0.08333333333333333
-15|	-10|	0.125
-15|	-20|	0.16666666666666666
-15|	-17|-15	0.3333333333333333
-15|	-22|-15	0.25
-15|	-13|-15	0.5
-14|	-15|-14	1.0
-14|	-9|-14	1.0
-16|	-22|	0.25
-16|	-15|-16	1.0
-16|	-9|-16	1.0
-9|	-16|	0.3333333333333333
-9|	8|	0.3333333333333333
-9|	-10|-9	1.0
-11|	-10|-11	1.0
-11|	-22|-11	1.0
1|	-1|1	1.0
-7|	-6|	0.75
-7|	-5|	0.25
-27|	-22|-27	1.0
-8|	-7|	0.6666666666666666
-8|	-20|-8	1.0
-4|	-3|	1.0
5|2	4|	1.0
5|7	3|5.7	1.0
5|-2	3|5.-2	1.0
3|-2	-1|	1.0
0|-24	-12|	1.0
0|3	-2|	1.0
0|2	-5|	1.0
0|-1	-4|	0.2
0|-1	-7|	0.4
0|-1	2|0	0.4
2|0	5|2	1.0
2|3	0|2	1.0
2|4	1|	1.0
-5|-3	-8|	1.0
-5|-6	-4|	0.3333333333333333
-5|-6	-17|-5	0.6666666666666666
-12|-10	8|	0.5
-12|-10	-14|	0.25
-12|-10	-13|-12	0.25
-17|-10	-16|	0.3333333333333333
-17|-10	-12|-17.-10	1.0
-17|-10	-15|-17	0.3333333333333333
-17|-18	-12|-17.-18	1.0
-17|-18	-15|-17	0.5
-17|-19	-12|-17.-19	1.0
-17|-19	-15|-17	0.5
-12|-13	-22|	0.5
-12|-13	-19|	0.5
-12|-5	-19|	0.14285714285714285
-12|-5	-13|-12	0.14285714285714285
-12|-5	-15|-12	0.7142857142857143
-19|-20	-18|	1.0
-17|-22	-1|	0.3333333333333333
-17|-22	-24|	0.16666666666666666
-17|-22	-12|	0.5
-17|-15	-18|	0.3333333333333333
-17|-15	-5|	0.3333333333333333
-17|-15	-15|-17	0.3333333333333333
-17|-5	-18|	1.0
-15|-14	-20|	1.0
-15|-22	-10|	0.3333333333333333
-15|-22	-22|-15	0.6666666666666666
-15|-17	-22|-15	0.8
-15|-17	-17|-15	0.2
-15|-12	-20|	0.25
-15|-12	-14|	0.25
-15|-12	-10|	0.125
-15|-12	-13|-15	0.375
-15|-13	-20|	0.5
-15|-13	-17|-15	0.5
-15|-16	-17|-15	1.0
-9|-16	-10|-9	1.0
-9|-5	8|	1.0
-9|-14	-16|	1.0
-10|-22	-18|-10	1.0
-10|-11	-5|	1.0
-10|-9	-12|-10	1.0
-10|-18	-17|-10	1.0
-1|1	-5|	1.0
-1|0	-3|	1.0
-22|-11	-10|-22	1.0
-22|-15	-13|-22	0.25
-22|-15	-15|-22	0.625
-22|-15	-17|-22	0.125
-22|-20	-17|-22	1.0
-22|-13	-11|	1.0
-22|-27	-6|	1.0
-13|-15	-20|	0.5
-13|-15	-12|-13	0.5
-13|-12	-15|-13	1.0
-13|-22	-22|-13	1.0
-18|-10	-10|-18	1.0
-20|-8	-19|-20	1.0
3|5.7	0|3	1.0
3|5.-2	2|3	1.0
-12|-17.-10	-8|	1.0
-12|-17.-18	-11|	1.0
-12|-17.-19	8|	1.0
