15 => -5 0.0617283950617
15 => 0 0.037037037037
15 => -7 0.0123456790123
15 => -12 0.0246913580247
15 => 5 0.0123456790123
15 => 7 0.0740740740741
15 => 24 0.037037037037
15 => 9 0.0246913580247
15 => 8 0.0123456790123
15 => -10 0.0123456790123
21 => 24 1.0
3 2 => 3 0.6
3 2 => 12 0.2
3 2 => 17 0.2
-4 => 12 0.2
-4 => 14 0.1
-4 => -5 0.2
-4 => -7 0.1
-4 => 2 0.2
-4 => 7 0.1
-4 => -2 0.1
5 19 => 3 1.0
15 5 => 14 1.0
-7 8 => 10 1.0
17 -5 => 2 1.0
-1 17 => 15 1.0
20 19 => 11 0.111111111111
20 19 => 10 0.111111111111
20 19 => 20 0.222222222222
20 19 => 17 0.333333333333
20 19 => 22 0.111111111111
20 19 => 14 0.111111111111
22 20 => 10 0.5
22 20 => 17 0.5
0 19 => 12 1.0
-12 -5 => 16 1.0
0 -2 => 10 1.0
19 0 => 20 0.5
19 0 => 22 0.5
15 7 => 10 0.166666666667
15 7 => 12 0.166666666667
15 7 => 15 0.166666666667
15 7 => 19 0.166666666667
15 7 => 5 0.166666666667
15 7 => 6 0.166666666667
10 17 15 => 10 1.0
7 15 14 => 8 1.0
-10 14 => 15 1.0
14 3 => 12 0.5
14 3 => 5 0.5
14 8 => 10 0.333333333333
14 8 => 7 0.333333333333
14 8 => -16 0.333333333333
15 12 => 11 0.1
15 12 => 15 0.2
15 12 => 19 0.1
15 12 => 5 0.1
15 12 => 8 0.2
15 12 => 7 0.1
15 12 => -16 0.1
15 12 => 20 0.1
-17 17 => 11 0.333333333333
-17 17 => -10 0.333333333333
-17 17 => 15 0.333333333333
12 15 => 11 0.222222222222
12 15 => 8 0.111111111111
12 15 => 14 0.333333333333
12 15 => 10 0.333333333333
11 7 => 15 1.0
-9 10 12 => 7 1.0
-12 7 => 12 1.0
14 17 => 20 0.333333333333
14 17 => 12 0.166666666667
14 17 => 15 0.333333333333
14 17 => 10 0.166666666667
19 24 => 23 1.0
0 10 => 9 0.5
0 10 => -10 0.5
25 15 => 24 1.0
8 10 12 => 8 1.0
-9 10 => 12 1.0
-5 14 => 12 0.333333333333
-5 14 => 15 0.666666666667
20 -1 => 17 1.0
8 -9 => 12 0.5
8 -9 => 7 0.5
10 13 => 8 1.0
19 12 => 15 0.25
19 12 => 14 0.25
