24|	23|	0.25
24|	4|24	1.0
-9|	-8|-9	1.0
-9|	-3|-9	1.0
-8|-5.-2	-3|-8	1.0
-5|-1.4	-1|-5.-1	1.0
7|0	-5|7	1.0
0|	-12|0	0.5
0|	16|0	1.0
0|	4|0	1.0
0|	9|0	1.0
0|	7|0	1.0
0|	12|0	1.0
0|	-3|0	0.25
0|	-5|0	0.142857142857
0|	-6|	0.051724137931
0|	-10|0	1.0
16|	5|16	1.0
16|	4|16	1.0
16|	7|	0.0833333333333
16|	17|16	1.0
16|	14|	0.0833333333333
16|	28|	0.25
16|	9|	0.25
-1|	2|-1	1.0
-1|	4|-1	1.0
-1|	5|-1	1.0
-1|	-12|-1	1.0
-1|	-4|	0.0625
-1|	-5|-1	0.1
0|-5	-5|0.-5	0.333333333333
0|-5	4|0	0.2
0|-5	9|0	0.2
26|28	9|	1.0
-1|-8	-5|-1.-8	1.0
19|	17|	1.0
14|2	12|	1.0
4|0	-5|4	1.0
-12|-7	-5|-12	1.0
9|	-3|9	1.0
9|	21|	0.7
-10|-5	-6|	0.333333333333
-10|-5	-1|-10	0.666666666667
-5|-2	-8|-5.-2	1.0
-8|-12	0|-8	1.0
-8|	0|-8	1.0
-8|	-7|-8	1.0
-8|	-12|-8	0.4
-8|	-1|-8	1.0
-8|	-3|-8	0.142857142857
-8|	-5|-8	0.4
0|-7	-12|0	0.5
0|-7	16|0	0.25
0|-7	-5|0	0.25
12|26	24|	1.0
-5|4	0|-5.4	1.0
16|12	4|16	1.0
-10|-5.-1	-6|	1.0
4|-1	-1|4	1.0
17|16	4|	1.0
-10|-6	-5|-10	0.5
-10|-6	0|-10	0.5
-5|7	-4|	1.0
-7|-3	-12|-7	1.0
4|16	16|4	1.0
26|	24|	0.428571428571
26|	12|26	1.0
26|	9|	0.428571428571
12|0	16|12	1.0
0|12	-5|0	1.0
-5|-8	-1|-5.-8	0.333333333333
-5|-8	0|-5	0.4
5|16	17|5	1.0
-12|0	-7|-12	0.5
-12|0	-8|-12	0.5
-3|	5|-3	1.0
-3|	-9|	0.0714285714286
-3|	-10|-3	0.5
-3|	-6|-3	1.0
-3|	-7|-3	1.0
-3|	-8|-3	1.0
-3|	0|-3	0.333333333333
4|24	16|4	1.0
-7|-12	0|-7	1.0
-8|-5.-1	-3|-8	1.0
-5|0.-5	-12|-5	0.333333333333
-5|0.-5	-8|-5.0.-5	0.5
-3|-9	0|-3	1.0
-3|0.5	-10|-3	1.0
-5|-10.0	-1|-5.-10	1.0
-3|0	5|-3	0.25
-3|0	-9|	0.25
-3|0	-8|-3	0.25
-3|0	-10|-3	0.25
-3|2	-10|-3	1.0
0|-3.9	7|0	1.0
2|17	14|2	1.0
2|-10	-3|2	1.0
-9|-12	-3|-9	1.0
7|	19|	0.625
7|	-5|7	1.0
-12|-8.-5.0	-7|-12	1.0
-2|	-5|-2	1.0
-5|0.-5.-12	-12|-5	1.0
-3|-8	0|-3	0.142857142857
-3|-8	-6|-3	0.285714285714
-3|-8	-7|-3	0.571428571429
-5|-7	-1|-5.-7	1.0
9|0	-3|9	1.0
28|	26|28	1.0
-5|-10	-10|-5	0.666666666667
-5|-10	-1|-5.-10	1.0
0|-12	-5|0.-12	1.0
16|0	28|	1.0
0|-3	-3|0	0.666666666667
0|-3	7|0	0.333333333333
12|	16|12	1.0
12|	24|	0.2
12|	0|12	1.0
-6|-3	-9|	1.0
-5|	0|-5	0.6
-5|	-10|-5	0.333333333333
-5|	-4|	0.0277777777778
-5|	-8|	0.472222222222
-5|	-12|-5	1.0
-5|	-7|-5	1.0
-5|	-1|	0.194444444444
2|-1	-1|2	1.0
-3|9	0|-3.9	1.0
0|17	12|0	1.0
0|5	-3|0.5	1.0
0|-10	-6|	1.0
4|	-1|4	1.0
4|	16|4	0.5
4|	-5|4	1.0
-5|-1.-8	-8|-5.-1	1.0
17|5	16|17	1.0
-10|	2|-10	1.0
-10|	-1|-10	1.0
-10|	-5|-10	0.666666666667
-10|	-6|	0.125
-10|	0|-10	1.0
16|4	5|16	0.166666666667
16|4	17|16	0.166666666667
16|4	14|	0.166666666667
16|4	9|	0.5
-5|5	0|-5.5	1.0
0|-8	-10|0	1.0
-8|-9	-5|-8	1.0
5|-1	-5|5	1.0
