9|-3	7|9.-3	1.0
0|	2|0	0.821428571429
0|	10|	0.0172413793103
0|	6|	0.0172413793103
0|	-2|	0.0344827586207
0|	9|0	0.25
0|	12|0	0.5
0|	-3|0	0.5
0|	-5|0	1.0
0|	129|	0.0689655172414
0|	-1|	0.206896551724
16|	12|16	0.375
16|	14|	0.44
16|	11|	0.04
16|	17|	0.2
5|4.5	2|5	0.428571428571
5|4.5	4|5.4.5	0.5
-1|	0|-1	0.285714285714
-1|	-3|	0.375
-1|	2|-1	1.0
-1|	17|	0.0625
0|-5	129|0.-5	1.0
0|-5	-3|0	0.5
5|4	7|	0.142857142857
5|4	4|5.4	0.375
5|4	2|5	0.214285714286
5|4	0|5	0.0714285714286
9|11	7|9.11	0.6
9|11	11|9.11	1.0
12|11.12.16	11|12.11.12.16	1.0
14|2	19|14	1.0
9|	11|	0.27027027027
9|	7|	0.513513513514
9|	10|	0.027027027027
9|	129|9	1.0
9|	5|	0.162162162162
7|9.10	5|7	1.0
2|4	4|2.4	0.5
2|4	14|2	0.0384615384615
2|4	0|2.4	0.1
2|4	-1|	0.0384615384615
12|16	14|	0.625
12|16	11|12.16	0.333333333333
9|10	129|9	0.333333333333
9|10	7|9.10	1.0
9|10	10|	0.333333333333
11|	7|	0.0322580645161
11|	129|11	0.5
11|	9|11	0.166666666667
11|	12|11	0.636363636364
-5|-2	0|-5	1.0
0|7	-1|	1.0
5|4.5.4	2|5	1.0
19|14	11|	1.0
129|11	16|	0.5
129|11	5|	0.5
-5|7	129|	1.0
18|	19|	1.0
0|2.4	2|0	0.2
0|2.4	6|	0.1
0|2.4	-2|	0.1
0|2.4	9|0	0.3
0|2.4	12|0	0.1
0|2.4	-1|0.2	0.1
0|2.4	-5|0	0.1
0|4	2|0	1.0
0|129	-1|	1.0
10|	9|10	0.333333333333
7|6	6|	0.6
7|6	-5|7	0.2
7|6	14|7	0.2
4|2.4	0|4	0.5
4|2.4	2|4	0.5
5|4.2	4|5.4	0.25
5|4.2	0|5	0.25
5|4.2	7|	0.5
14|5	10|	1.0
5|7	4|5	0.333333333333
5|7	14|5	0.333333333333
5|7	0|5	0.333333333333
-3|	9|-3	1.0
-3|	-2|	0.0434782608696
-3|	-5|-3	0.0666666666667
-3|	-7|	0.173913043478
-3|	-1|	0.0869565217391
6|	4|6	1.0
6|	7|6	0.2
14|7	16|14.7	1.0
129|0.-5	12|129	1.0
129|0.-1	19|	0.5
129|0.-1	0|129	0.5
-3|0	9|-3	0.5
-3|0	-1|	0.5
0|-1	129|0.-1	0.5
0|-1	-3|0	0.142857142857
0|-1	-1|	0.571428571429
7|	12|7	1.0
7|	5|7	0.333333333333
7|	4|	0.0588235294118
7|	6|	0.147058823529
7|	0|7	1.0
7|	-5|7	1.0
7|	14|7	1.0
7|	16|7	1.0
7|	9|	0.5
-2|	-3|-2	0.5
-2|	-5|-2	1.0
-5|-7	-7|	0.727272727273
-5|-7	-8|	0.272727272727
9|0	11|	0.25
9|0	5|	0.75
12|7	4|12	1.0
16|14.7	11|	1.0
19|	12|19	1.0
19|	11|	0.2
19|	18|	0.6
-3|-2	-2|	0.5
-3|-2	-5|-3.-2	1.0
12|	9|12	1.0
12|	11|	0.422222222222
12|	7|12	0.25
12|	4|12	1.0
12|	14|	0.133333333333
12|	17|	0.0444444444444
12|	0|	0.111111111111
12|	16|	0.0222222222222
12|	129|	0.0222222222222
11|12.16	9|11	0.333333333333
11|12.16	12|11.12.16	1.0
4|12	5|4	1.0
-5|	0|-5	0.5
-5|	4|	0.09375
-5|	-3|	0.40625
-5|	-8|	0.09375
-5|	17|	0.03125
-5|	-7|	0.25
-5|	129|	0.0625
2|-1	-5|2	1.0
0|5	10|	0.5
0|5	-1|	0.5
4|	5|4	0.0714285714286
4|	16|	0.0408163265306
4|	0|4	1.0
4|	2|4	0.384615384615
-5|2	-3|-5.2	1.0
-5|2	129|	0.5
4|6	2|4.6	1.0
0|2	2|0	0.5625
0|2	6|	0.03125
0|2	-2|	0.0625
0|2	9|0	0.125
0|2	12|0	0.0625
0|2	-1|0.2	0.5
0|2	-5|0	0.0625
0|2	129|	0.03125
129|9	0|129	1.0
2|5	4|2	1.0
4|5.4.5	16|	0.5
4|5.4.5	2|4	0.5
12|11	9|12	0.181818181818
12|11	11|	0.636363636364
12|11	0|	0.181818181818
5|	7|	0.08
5|	4|5	0.470588235294
5|	0|5	0.5
5|	2|5	1.0
5|	14|5	1.0
-7|-8	-8|	1.0
7|12	4|	0.5
7|12	9|	0.25
7|12	0|7	0.25
7|9.11	16|7	0.4
7|9.11	9|7.9.11	1.0
12|0	14|	0.5
12|0	0|	0.5
16|7	12|16	1.0
11|12.11.12.16	129|11	1.0
129|-8	9|	1.0
2|4.6	14|2	1.0
4|2.0	5|4.2	1.0
2|0	4|2.0	1.0
2|0	0|2	0.821428571429
2|0	-1|	0.0357142857143
-5|-3.-2	0|-5	1.0
14|	10|	0.0454545454545
14|	16|	0.545454545455
14|	19|14	1.0
14|	12|14	0.25
-7|	-5|-7	0.727272727273
-7|	-8|	0.142857142857
-7|	5|	0.0714285714286
-5|0	4|	1.0
2|	-5|2	0.5
2|	0|2	0.0625
2|	14|2	1.0
2|	4|2	0.333333333333
2|	-1|	0.0338983050847
129|	12|129	1.0
129|	19|	0.0909090909091
129|	0|129	1.0
129|	16|	0.181818181818
129|	9|	0.0909090909091
129|	7|129	0.666666666667
129|	5|	0.0909090909091
12|14	16|	0.125
12|14	11|	0.25
12|14	7|12	0.5
12|14	129|	0.125
9|12	11|	1.0
17|12.129	9|	1.0
-5|-3	0|-5	0.0666666666667
-5|-3	4|	0.0666666666667
-5|-3	-3|	0.8
-5|-3	17|	0.0666666666667
4|5.4	16|	0.25
4|5.4	5|4.5.4	1.0
4|5.4	2|4	0.375
12|129	17|12.129	1.0
-8|	129|-8	1.0
-8|	4|	0.4
-8|	-7|-8	1.0
4|2	0|4	0.333333333333
4|2	5|4.2	0.25
4|2	2|4	0.47619047619
7|9.-3	5|7	1.0
17|	14|	0.222222222222
17|	9|	0.111111111111
17|	16|17	0.333333333333
7|129	6|	0.333333333333
7|129	12|7	0.666666666667
-1|0.2	17|	0.5
-1|0.2	2|-1	0.5
12|19	17|	1.0
16|17	14|	0.333333333333
16|17	17|	0.666666666667
11|9.11	7|	1.0
-3|-5.2	-1|	1.0
4|5	16|	0.117647058824
4|5	5|4.5	0.428571428571
4|5	2|4	0.470588235294
9|7.9.11	5|	1.0
