-5 0 => 3 0.5
-5 0 => 2 0.5
-11 0 => -9 1.0
4 => -19 0.5
4 => 7 0.5
-19 => -3 1.0
-3 => 0 0.333333333333
-3 => -7 0.333333333333
-3 => 2 0.333333333333
-9 => -4 0.5
-9 => 3 0.5
-2 => 1 0.5
-2 => 3 0.5
-3 0 => 4 1.0
-16 => 3 1.0
1 => -18 0.5
1 => 4 0.5
-5 => 0 0.666666666667
-5 => -2 0.333333333333
-18 => -7 1.0
-4 => 0 1.0
3 => -5 0.5
3 => 2 0.25
3 => -16 0.25
-7 => -3 0.666666666667
-7 => -2 0.333333333333
0 => 1 0.2
0 => 3 0.2
0 => 2 0.2
0 => -9 0.2
0 => 4 0.2
-11 => 0 1.0
2 => -5 0.25
2 => 129 0.25
2 => -9 0.25
2 => -11 0.25
-4 0 => 1 1.0
129 => -7 1.0
7 => -3 1.0
