-12 8 => 2 1.0
-2 -12 => 1 1.0
17 -7 => -5 1.0
-2 1 => -5 0.5
-2 1 => 0 0.5
-9 => -5 0.52380952381
-9 => -10 0.261904761905
-9 => 5 0.047619047619
-9 => -4 0.119047619048
-9 => -2 0.047619047619
15 14 => 12 1.0
-9 -2 => -5 1.0
0 -1 => 0 1.0
-5 8 2 5 => -2 1.0
7 2 => 0 1.0
-5 1 => 7 1.0
0 => -6 0.0212765957447
0 => 15 0.0212765957447
0 => 1 0.0212765957447
0 => 3 0.212765957447
0 => 2 0.255319148936
0 => 5 0.0212765957447
0 => 4 0.0106382978723
0 => -2 0.127659574468
0 => 9 0.0106382978723
0 => -1 0.063829787234
0 => -9 0.234042553191
5 8 => 0 0.2
5 8 => 2 0.8
-4 1 => -7 0.666666666667
-4 1 => 5 0.333333333333
-12 10 => 5 1.0
-1 => 0 0.545454545455
-1 => 2 0.454545454545
-4 -7 => -5 0.333333333333
-4 -7 => -1 0.666666666667
8 5 7 => 10 1.0
14 -2 => 0 1.0
-9 5 3 => 7 1.0
2 0 2 => 0 1.0
-4 -2 => -4 0.25
-4 -2 => -12 0.25
-4 -2 => 0 0.5
-7 -1 0 => 2 1.0
-9 -5 => -2 0.0909090909091
-9 -5 => 0 0.454545454545
-9 -5 => -12 0.272727272727
-9 -5 => -6 0.0909090909091
-9 -5 => -10 0.0909090909091
1 -5 -2 => 4 1.0
0 -2 => 7 0.166666666667
0 -2 => -4 0.166666666667
0 -2 => 0 0.0833333333333
0 -2 => -3 0.166666666667
0 -2 => 6 0.0833333333333
0 -2 => 8 0.333333333333
5 3 => 1 0.0769230769231
5 3 => 12 0.307692307692
5 3 => 2 0.461538461538
5 3 => 7 0.153846153846
7 10 => 3 0.5
7 10 => 2 0.25
7 10 => 4 0.25
2 -5 0 -9 => -5 1.0
-2 3 => -5 0.6
-2 3 => 5 0.2
-2 3 => 7 0.2
-1 0 2 3 => -7 1.0
-5 -10 => -5 1.0
7 2 0 => 3 1.0
11 => 5 1.0
-2 -5 => -2 1.0
-2 8 7 => 2 1.0
5 3 2 => 0 0.666666666667
5 3 2 => 3 0.333333333333
7 0 => 3 0.666666666667
7 0 => 4 0.333333333333
3 -4 => -7 1.0
-5 -9 => -4 1.0
6 5 => 3 1.0
1 => -5 0.133333333333
1 => 0 0.266666666667
1 => -7 0.266666666667
1 => 5 0.266666666667
1 => 7 0.0666666666667
2 -9 -10 => -6 1.0
1 0 => 3 0.25
1 0 => -2 0.75
-1 2 5 => 8 1.0
2 -7 => -4 1.0
-4 -12 => -6 1.0
8 2 => 5 1.0
-7 5 => 6 1.0
-1 0 2 => -5 0.333333333333
-1 0 2 => 3 0.666666666667
3 2 3 => 2 0.428571428571
3 2 3 => 5 0.571428571429
3 -7 => 3 1.0
-7 -1 => 0 1.0
1 -5 => -2 1.0
2 -9 => -10 0.333333333333
2 -9 => 5 0.666666666667
2 7 => -2 1.0
10 => 12 0.357142857143
10 => 3 0.142857142857
10 => 2 0.0714285714286
10 => 5 0.142857142857
10 => 4 0.0714285714286
10 => 8 0.214285714286
-9 -5 0 => 3 0.6
-9 -5 0 => 2 0.4
6 7 => 10 1.0
-6 0 => -1 1.0
0 -2 0 2 => -9 1.0
-5 -6 => 0 1.0
7 5 => 3 0.5
7 5 => 14 0.25
7 5 => 7 0.25
2 3 => -7 0.142857142857
2 3 => 2 0.214285714286
2 3 => 5 0.428571428571
2 3 => 7 0.214285714286
-9 -4 => 0 0.2
-9 -4 => 2 0.4
-9 -4 => -12 0.4
-3 => -5 0.166666666667
-3 => 0 0.25
-3 => -10 0.166666666667
