0|	-5|0	1.0
2|7	-2|	0.142857142857
2|7	5|	0.857142857143
14|	11|	1.0
-5|	-10|	0.214285714286
-5|	-2|	0.285714285714
-5|	0|	0.047619047619
-5|	-7|	0.190476190476
-5|	2|-5	0.666666666667
-5|	129|	0.0238095238095
-5|	-1|	0.0952380952381
2|-1	4|	1.0
-7|	-5|-7	0.125
-5|0	-2|	1.0
2|	-2|	0.105263157895
2|	-5|2	0.6
2|	4|	0.315789473684
2|	5|	0.315789473684
129|	2|	1.0
-1|	2|-1	1.0
4|	7|4	0.5
-5|-7	2|-5	0.375
-5|-7	129|	0.125
-5|-7	-1|	0.5
-5|2	-2|	0.4
-5|2	2|-5	0.6
-10|	-7|	0.111111111111
-10|	-5|-10	1.0
11|	7|	1.0
-5|-2	-7|	0.571428571429
-5|-2	0|	0.142857142857
-5|-2	-10|	0.285714285714
7|5	14|	0.166666666667
7|5	-5|7	0.833333333333
2|-5	-2|	0.166666666667
2|-5	-5|2	0.666666666667
2|-5	4|	0.166666666667
5|	7|5	0.833333333333
7|	4|	0.315789473684
7|	-5|7	1.0
7|	2|7	0.857142857143
7|	14|	0.0526315789474
-2|	-5|-2	0.285714285714
-5|7	-10|	1.0
7|4	2|7	0.5
7|4	4|	0.5
-5|-10	-2|	1.0
