-9 => -10 0.25
-9 => -12 0.25
-9 => -8 0.5
-17 -22 => -18 0.75
-17 -22 => -12 0.25
-14 -15 => -22 0.6
-14 -15 => -16 0.4
-13 -22 -17 => -11 1.0
-15 -14 => -21 1.0
-24 -14 => -17 0.6
-24 -14 => -22 0.2
-24 -14 => -23 0.2
-27 => -10 0.2
-27 => -17 0.4
-27 => -22 0.2
-27 => -16 0.2
-20 -17 => -22 0.333333333333
-20 -17 => -23 0.666666666667
-17 -14 => -24 1.0
-21 -27 => -22 1.0
-14 => -24 0.190476190476
-14 => -21 0.0952380952381
-14 => -22 0.0952380952381
-14 => -23 0.047619047619
-14 => -13 0.0952380952381
-14 => -15 0.238095238095
-14 => -17 0.238095238095
-14 -23 => -17 1.0
-17 -19 => -20 0.2
-17 -19 => -21 0.1
-17 -19 => -22 0.6
-17 -19 => -23 0.1
-8 => -14 1.0
-20 -23 => -14 0.666666666667
-20 -23 => -22 0.333333333333
-13 -10 => -14 1.0
-23 -24 => -10 0.142857142857
-23 -24 => -20 0.428571428571
-23 -24 => -14 0.428571428571
-11 -12 => -10 0.5
-11 -12 => -17 0.5
-18 -27 => -16 1.0
-21 -22 => -18 0.25
-21 -22 => -20 0.5
-21 -22 => -23 0.25
-8 -14 => -24 1.0
-19 -23 => -24 1.0
-21 -20 -19 => -18 1.0
-20 => -21 0.0555555555556
-20 => -22 0.111111111111
-20 => -23 0.166666666667
-20 => -17 0.166666666667
-20 => -16 0.111111111111
-20 => -19 0.388888888889
-13 -12 => -11 0.5
-13 -12 => -13 0.5
-17 => -24 0.0232558139535
-17 => -25 0.0232558139535
-17 => -20 0.0697674418605
-17 => -21 0.046511627907
-17 => -22 0.093023255814
-17 => -23 0.0697674418605
-17 => -11 0.046511627907
-17 => -10 0.0232558139535
-17 => -7 0.0232558139535
-17 => -12 0.0697674418605
-17 => -15 0.0232558139535
-17 => -14 0.0232558139535
-17 => -16 0.046511627907
-17 => -19 0.232558139535
-17 => -18 0.116279069767
-17 => -9 0.046511627907
-17 => -13 0.0232558139535
-16 -17 => -25 0.111111111111
-16 -17 => -22 0.222222222222
-16 -17 => -7 0.111111111111
-16 -17 => -16 0.111111111111
-16 -17 => -19 0.222222222222
-16 -17 => -18 0.111111111111
-16 -17 => -9 0.111111111111
-13 -22 => -17 1.0
-27 -17 => -21 1.0
-20 -19 => -18 1.0
-19 -20 => -21 0.333333333333
-19 -20 => -16 0.666666666667
-18 -16 => -15 1.0
-17 -23 => -22 1.0
-20 -22 => -17 1.0
-24 -17 => -24 1.0
-21 => -20 0.333333333333
-21 => -27 0.0833333333333
-21 => -15 0.0833333333333
-21 => -22 0.333333333333
-21 => -16 0.166666666667
-9 -12 => -15 1.0
-15 -17 => -23 1.0
-16 => -15 0.285714285714
-16 => -17 0.642857142857
-16 => -22 0.0714285714286
-13 -19 => -23 1.0
-12 -10 => -19 0.5
-12 -10 => -9 0.5
-22 -17 -19 => -21 0.5
-22 -17 -19 => -23 0.5
-17 -24 => -23 1.0
-22 -14 => -13 1.0
-20 -16 => -15 1.0
-19 => -18 0.318181818182
-19 => -20 0.136363636364
-19 => -21 0.0909090909091
-19 => -22 0.318181818182
-19 => -23 0.136363636364
-14 -22 => -13 0.5
-14 -22 => -16 0.5
-17 -18 => -19 0.4
-17 -18 => -22 0.6
-14 -17 => -15 0.2
-14 -17 => -12 0.2
-14 -17 => -20 0.4
-14 -17 => -22 0.2
-18 -19 => -20 0.5
-18 -19 => -21 0.5
-10 -14 => -17 1.0
-11 => -10 0.25
-11 => -12 0.5
-11 => -14 0.25
-22 => -25 0.0555555555556
-22 => -20 0.138888888889
-22 => -21 0.0833333333333
-22 => -23 0.0833333333333
-22 => -13 0.0555555555556
-22 => -12 0.0277777777778
-22 => -14 0.0277777777778
-22 => -17 0.305555555556
-22 => -16 0.0833333333333
-22 => -18 0.138888888889
-22 -17 => -11 0.1
-22 -17 => -13 0.1
-22 -17 => -12 0.2
-22 -17 => -19 0.2
-22 -17 => -18 0.3
-22 -17 => -9 0.1
-17 -16 => -17 1.0
-22 -23 => -24 1.0
-12 -17 => -19 0.5
-12 -17 => -14 0.5
-23 -22 => -20 0.6
-23 -22 => -21 0.2
-23 -22 => -17 0.2
-18 => -19 0.117647058824
-18 => -27 0.0588235294118
-18 => -17 0.529411764706
-18 => -22 0.176470588235
-18 => -16 0.117647058824
-11 -10 => -11 1.0
-24 -22 => -17 1.0
-23 -17 => -20 1.0
-22 -12 => -17 1.0
-19 -21 => -27 0.5
-19 -21 => -15 0.5
-10 => -19 0.125
-10 => -11 0.125
-10 => -12 0.375
-10 => -9 0.25
-10 => -14 0.125
-7 -12 => -15 1.0
-15 -22 -17 => -13 1.0
-18 -17 => -19 0.555555555556
-18 -17 => -18 0.111111111111
-18 -17 => -10 0.111111111111
-18 -17 => -11 0.111111111111
-18 -17 => -16 0.111111111111
-23 => -24 0.411764705882
-23 => -21 0.0588235294118
-23 => -14 0.176470588235
-23 => -22 0.294117647059
-23 => -17 0.0588235294118
-22 -13 => -19 0.5
-22 -13 => -12 0.5
-17 -20 => -17 0.333333333333
-17 -20 => -23 0.666666666667
-22 -18 => -17 1.0
-23 -14 => -24 0.333333333333
-23 -14 => -15 0.666666666667
-16 -15 => -27 0.75
-16 -15 => -21 0.25
-14 -24 => -22 0.25
-14 -24 => -17 0.25
-14 -24 => -23 0.5
-24 -22 -17 => -9 1.0
-14 -13 => -12 0.5
-14 -13 => -22 0.5
-15 -16 => -17 1.0
-21 -20 -19 -18 => -16 1.0
-17 -16 -17 => -25 0.5
-17 -16 -17 => -16 0.5
-24 => -20 0.214285714286
-24 => -22 0.0714285714286
-24 => -23 0.214285714286
-24 => -10 0.0714285714286
-24 => -14 0.357142857143
-24 => -17 0.0714285714286
-15 -22 => -18 0.2
-15 -22 => -13 0.2
-15 -22 => -17 0.2
-15 -22 => -16 0.4
-18 -22 => -17 1.0
-13 => -19 0.1
-13 => -10 0.1
-13 => -12 0.2
-13 => -14 0.5
-13 => -22 0.1
-14 -21 => -16 1.0
-25 -24 => -14 1.0
-11 -14 => -17 1.0
-7 => -12 1.0
-17 -15 => -17 1.0
-21 -20 => -19 0.5
-21 -20 => -22 0.5
-25 => -24 0.666666666667
-25 => -23 0.333333333333
-22 -20 => -19 1.0
-12 => -11 0.0769230769231
-12 => -10 0.153846153846
-12 => -13 0.384615384615
-12 => -15 0.230769230769
-12 => -17 0.153846153846
-24 -23 => -21 0.333333333333
-24 -23 => -22 0.333333333333
-24 -23 => -14 0.333333333333
-19 -22 => -25 0.285714285714
-19 -22 => -23 0.285714285714
-19 -22 => -14 0.142857142857
-19 -22 => -21 0.285714285714
-22 -21 => -20 1.0
-13 -14 => -13 0.2
-13 -14 => -15 0.6
-13 -14 => -22 0.2
-12 -15 => -14 0.666666666667
-12 -15 => -22 0.333333333333
-17 -21 => -22 1.0
-24 -20 => -17 0.666666666667
-24 -20 => -23 0.333333333333
-27 -16 => -22 1.0
-15 -16 -17 => -19 1.0
-15 => -27 0.214285714286
-15 => -21 0.0714285714286
-15 => -22 0.357142857143
-15 => -14 0.142857142857
-15 => -17 0.0714285714286
-15 => -16 0.142857142857
