11|12.11.12.7	12|11.12.11.12.7	0.1
8|5	14|8	1.0
-9|	3|-9	1.0
-9|	-4|-9	1.0
-9|	7|	0.0714285714286
-9|	-7|-9	1.0
-9|	-8|	0.0714285714286
-9|	-10|-9	0.111111111111
14|15	15|	1.0
-6|	-5|	1.0
0|10	-7|0	1.0
-1|0	0|-1	1.0
3|2.0	7|3	1.0
0|	-7|0	1.0
0|	-12|0	1.0
0|	7|	0.0909090909091
0|	-1|0	1.0
0|	2|0	1.0
0|	5|0	1.0
0|	8|	0.0909090909091
16|	17|	1.0
-1|	0|-1	0.5
-1|	7|	0.166666666667
-1|	2|-1	1.0
-7|-4	-5|-7	1.0
5|4	4|	0.5
5|4	-12|5	0.375
5|4	-7|5	0.125
3|2.10	7|3	1.0
-10|7	-12|-10	1.0
0|-12	5|0	0.75
0|-12	-1|0	0.25
10|-5	15|	1.0
9|	14|	0.0909090909091
9|	11|9	1.0
9|	10|	0.545454545455
-10|-5	-9|-10	1.0
-14|	129|-14	1.0
-14|	-10|-14	1.0
11|	14|11	0.75
11|	12|	0.894736842105
-8|	7|-8	1.0
-8|	-7|-8	0.5
5|0	4|	1.0
-9|3	-10|-9.3	1.0
-13|3	-14|	1.0
-12|-11	-2|	1.0
-7|0	-12|	1.0
129|-14	-2|	1.0
12|11.9	11|	0.5
12|11.9	0|12	0.5
11|5	14|11	1.0
-7|5	-13|-7	1.0
10|8	2|10	1.0
3|-9	10|	1.0
2|-1	5|2	1.0
10|	9|10	1.0
10|	0|10	1.0
10|	2|10	1.0
10|	15|	0.0909090909091
10|	-11|	0.0909090909091
10|	-9|10	1.0
7|6	6|	0.5
7|6	-10|7	0.375
7|6	-9|	0.125
14|11	7|14	0.25
14|11	17|	0.75
11|9	12|11.9	0.5
12|11.12.7	11|12.11.12.7	1.0
-12|0	-7|-12	1.0
-4|-9	-14|	1.0
-3|	-2|-3	1.0
6|	7|6	0.375
7|-8	10|	1.0
11|12.7	12|11.12.7	1.0
-7|-12	129|	1.0
7|3	12|7	1.0
-9|10	-10|-9.10	1.0
9|14	11|9	1.0
17|7	16|	1.0
0|-1	-12|0	0.5
0|-1	-1|0	0.5
2|-10	7|2	1.0
7|	129|	0.0322580645161
7|	12|7	1.0
7|	10|	0.0322580645161
7|	-9|	0.0322580645161
7|	6|	0.258064516129
7|	-10|7	1.0
7|	14|	0.0322580645161
7|	-5|	0.0322580645161
7|	17|7	1.0
7|	8|	0.0967741935484
14|12.15	9|14	1.0
-2|	-1|-2	1.0
-2|	3|	0.8
0|15	8|	1.0
-5|-7	10|-5	0.5
-5|-7	-10|-5	0.5
-11|	-12|-11	1.0
-12|3	-14|	1.0
7|8	-5|	0.333333333333
7|8	8|	0.666666666667
17|	16|	0.4
17|	14|17	0.25
17|	8|	0.2
12|7	11|12.7	1.0
12|	9|12	1.0
12|	11|	0.555555555556
12|	-9|	0.111111111111
12|	-8|	0.0185185185185
12|	-4|12	1.0
12|	-7|12	0.666666666667
12|	0|12	1.0
12|	14|12	0.222222222222
-5|	-10|-5	1.0
-5|	-4|-5	0.5
-5|	10|-5	1.0
-5|	7|-5	0.666666666667
129|-10	-12|	1.0
7|2	6|	1.0
-10|-9	2|-10	0.222222222222
-10|-9	-2|	0.111111111111
-10|-9	5|-10	0.111111111111
-10|-9	7|-10	0.333333333333
-10|-9	129|-10	0.111111111111
-10|-9	0|	0.111111111111
14|17	11|14	0.25
14|17	15|	0.75
14|12	-7|14	0.222222222222
14|12	9|14	0.222222222222
14|12	-6|	0.111111111111
14|12	12|14	0.444444444444
4|	5|4	0.125
12|-7	14|12	1.0
-9|-10	-4|-9	1.0
5|2	8|5	0.2
5|2	7|5	0.2
5|2	11|5	0.6
-10|	-7|-10	0.4
-10|	2|-10	1.0
-10|	-9|-10	1.0
-10|	-2|	0.0555555555556
-10|	5|-10	1.0
-10|	-12|-10	1.0
-10|	7|-10	1.0
-10|	129|-10	1.0
-10|	0|	0.0555555555556
7|14	129|	1.0
-7|-9	12|-7	1.0
-12|-10	0|-12	1.0
-12|5	-13|	1.0
9|-7	14|	1.0
15|	14|15	1.0
15|	0|15	1.0
15|	-5|	0.166666666667
15|	12|15	1.0
2|3	3|	1.0
0|3	2|0	1.0
-4|	-7|-4	1.0
-4|	-14|	0.166666666667
-4|	2|-4	1.0
-4|	-3|	0.166666666667
-4|	-5|	0.166666666667
5|	4|	0.444444444444
5|	8|5	1.0
5|	10|	0.0555555555556
5|	11|5	1.0
5|	-12|5	1.0
5|	-7|5	1.0
5|	7|5	1.0
-4|-5	-7|-4	0.5
-4|-5	-3|	0.5
-7|-8	9|-7	0.5
-7|-8	-6|	0.5
-7|14	-5|-7	0.5
-7|14	-9|-7	0.5
7|-10	12|7	1.0
11|14	14|11	1.0
-13|	129|	0.166666666667
-13|	-14|	0.166666666667
-13|	-10|-13	1.0
-13|	7|	0.166666666667
2|0	3|2.0	1.0
-2|-3	-1|-2	1.0
14|8	17|	1.0
12|11.12.11.12.7	-9|	0.5
12|11.12.11.12.7	-8|	0.1
12|11.12.11.12.7	-7|12	0.3
12|11.12.11.12.7	-4|12	0.1
9|10	10|	1.0
-4|-7	2|-4	1.0
14|	-7|14	0.5
14|	9|14	1.0
14|	15|	0.227272727273
14|	17|	0.181818181818
14|	11|14	1.0
14|	7|14	1.0
14|	-6|	0.0454545454545
14|	12|14	1.0
-9|-7	-8|	0.333333333333
-9|-7	7|	0.333333333333
-9|-7	3|-9	0.333333333333
-13|-7	129|	1.0
-7|	12|-7	1.0
-7|	-6|	0.0588235294118
-7|	-8|	0.0588235294118
-7|	-13|-7	1.0
-7|	-4|-7	1.0
-7|	-5|-7	0.5
-7|	-9|-7	0.333333333333
-7|	9|-7	1.0
-7|	-12|	0.0588235294118
-7|	129|	0.0588235294118
-7|	-1|	0.176470588235
2|	3|	0.681818181818
2|	5|2	0.6
2|	7|2	1.0
129|	-2|	0.2
129|	7|129	0.666666666667
129|	-12|	0.2
12|14	14|12	1.0
9|12	11|9	1.0
0|12	7|	1.0
5|-10	10|	1.0
7|-5	6|	0.333333333333
7|-5	17|7	0.666666666667
-7|12	-8|	0.333333333333
-7|12	-9|-7	0.666666666667
12|15	14|12.15	1.0
-12|	-14|	0.0833333333333
-12|	-2|	0.166666666667
-12|	0|-12	0.75
-12|	-7|-12	1.0
-12|	-13|	0.333333333333
-7|-10	-4|-7	0.4
-7|-10	-1|	0.6
2|-4	5|2	1.0
7|5	8|	1.0
-1|-2	7|	1.0
-10|-9.3	-2|	1.0
2|10	3|2.10	1.0
-10|-13	-7|-10	1.0
3|	7|3	1.0
3|	10|	0.05
3|	0|3	1.0
3|	-11|	0.05
3|	-12|3	1.0
3|	-9|3	1.0
3|	-13|3	1.0
3|	2|3	1.0
-4|12	-5|	1.0
7|129	12|7	0.666666666667
7|129	14|	0.333333333333
-10|-9.10	5|-10	1.0
-10|-14	-7|-10	1.0
8|	-9|	0.142857142857
8|	2|	0.142857142857
8|	10|8	1.0
8|	14|8	1.0
8|	7|8	0.333333333333
