9|-3	5|9.-3	1.0
9|6	6|9	1.0
-1|0	7|-1	0.285714285714
-1|0	-5|-1	0.714285714286
7|0	6|	0.75
7|0	4|7	0.25
0|	2|0	0.5
0|	12|	0.0454545454545
0|	-1|0	0.714285714286
0|	4|0	0.5
0|	7|0	0.25
0|	-5|0	1.0
16|	12|16	1.0
16|	4|16	1.0
16|	17|16	1.0
16|	14|	0.333333333333
16|	21|	0.166666666667
12|11	9|12.11	1.0
12|11	11|	0.125
12|11	5|12	0.125
12|11	16|12	0.25
-1|	2|-1	1.0
-1|	7|-1	1.0
-1|	12|	0.05
-1|	-5|-1	0.285714285714
-1|	0|-1	0.5
-1|	-3|-1	1.0
0|-5	4|0	1.0
-1|-3	0|-1	0.571428571429
-1|-3	12|	0.142857142857
-1|-3	-3|-1	0.285714285714
5|4	10|	0.0869565217391
5|4	2|5.4	1.0
5|4	-5|5	0.130434782609
5|4	0|5	0.304347826087
5|4	7|5	0.391304347826
5|9.12	6|5	1.0
9|11	7|9.11	1.0
9|11	12|9	0.2
9|11	8|	0.4
4|0	5|4.0	1.0
4|0	2|4	0.5
-4|	-5|-4	0.666666666667
9|	5|9	0.25
9|	2|9	1.0
9|	12|9	0.5
9|	6|9	0.5
9|	7|9	0.105263157895
9|	11|9	0.666666666667
9|	4|9	1.0
9|	8|	0.178571428571
2|4	4|2	0.333333333333
2|4	5|2	0.666666666667
12|16	9|12.16	1.0
9|10	4|9	1.0
11|	7|11	1.0
11|	13|	0.0869565217391
11|	9|11	0.4
11|	12|11	0.5
-3|-1	2|-3	1.0
0|7	4|0	1.0
9|12.21	8|	1.0
1|	2|1	1.0
16|12	12|16	1.0
7|6.9	6|7.6.9	1.0
17|16	21|17	1.0
-3|-5	-1|-3	0.411764705882
-3|-5	-5|-3	0.588235294118
12|9	11|	0.5
12|9	2|12	0.5
6|7.6.9	4|6	1.0
4|16	7|4	1.0
5|2.-3	-5|5	1.0
10|	9|10	1.0
5|4.7	7|5	1.0
2|5.4	-1|2	1.0
7|6	5|7.6	0.5
7|6	6|	0.2
7|6	9|7.6	0.2
7|6	11|7	0.1
9|7.6	7|9	0.8
9|7.6	8|	0.2
17|5.9	11|	1.0
2|1	4|2	1.0
11|9	9|11	0.666666666667
11|9	13|	0.333333333333
5|9	6|5	0.25
5|9	4|5.9	1.0
5|9	-4|	0.25
5|9	21|5	0.125
5|9	17|5.9	1.0
9|12.11	7|9.12	1.0
5|7	9|5	0.166666666667
5|7	4|5	0.5
5|7	17|	0.166666666667
5|7	2|5	0.166666666667
14|-5	5|14	1.0
-3|	-1|-3	0.571428571429
-3|	9|-3	1.0
-3|	-2|	0.16
-3|	-5|-3	0.2
-3|	2|-3	1.0
6|	2|6	1.0
6|	9|6	1.0
6|	7|6	0.5
6|	4|6	1.0
7|6.2	5|7.6	1.0
4|7	11|4	0.166666666667
4|7	5|4.7	1.0
4|7	12|4	0.166666666667
4|7	1|	0.333333333333
5|9.-3	-4|	1.0
13|	15|	1.0
4|2.12	5|4.2.12	1.0
2|-3	5|2.-3	1.0
5|4.2.12	-5|5	1.0
2|12	17|	0.5
2|12	4|2.12	1.0
21|5	11|	1.0
7|9	12|7	0.105263157895
7|9	5|7	0.210526315789
7|9	6|	0.105263157895
7|9	16|7	0.105263157895
7|9	9|7.9	0.142857142857
7|9	8|	0.105263157895
5|2	4|5.2	1.0
5|2	2|5	0.666666666667
5|2	-5|5	0.222222222222
6|5	9|6	1.0
5|7.6	17|	0.5
5|7.6	2|5	0.5
7|	12|7	0.333333333333
7|	5|7	0.166666666667
7|	6|	0.202898550725
7|	0|7	1.0
7|	-2|	0.0289855072464
7|	16|7	1.0
7|	4|7	0.333333333333
7|	9|	0.260869565217
7|	2|	0.0144927536232
7|	11|7	1.0
7|	8|	0.0289855072464
9|5	7|9.5	1.0
-2|	-3|-2	0.333333333333
4|7.-5	12|4	1.0
7|8	6|	1.0
12|7	11|	0.333333333333
12|7	2|12	0.333333333333
12|7	129|	0.333333333333
21|20	12|21	0.333333333333
21|20	20|	0.666666666667
-3|-2	-2|	0.666666666667
-3|-2	9|-3	0.333333333333
12|	9|12	0.25
12|	11|	0.357142857143
12|	5|12	1.0
12|	2|12	0.5
12|	-10|	0.0714285714286
12|	16|12	1.0
12|	129|	0.0357142857143
20|	21|20	0.333333333333
7|6.4	5|7.6	1.0
-5|	0|-5	1.0
-5|	14|-5	1.0
-5|	7|-5	1.0
-5|	6|	0.0588235294118
-5|	5|-5	1.0
-5|	-3|-5	0.588235294118
-5|	-4|	0.117647058824
-5|	-1|-5	1.0
-5|	-6|	0.0588235294118
2|-1	0|2	1.0
0|5	2|0	0.285714285714
0|5	-1|0	0.428571428571
0|5	-5|0	0.285714285714
4|	5|4	0.130434782609
4|	11|4	1.0
4|	7|4	0.333333333333
4|	6|4	1.0
4|	12|4	0.666666666667
4|	1|	0.0816326530612
4|	9|4	1.0
4|	2|4	0.666666666667
9|12.16	5|9.12	1.0
0|-1	12|	0.25
0|-1	2|0	0.5
0|-1	4|0	0.25
5|12	4|5.12	1.0
4|6	6|4	1.0
7|9.12	9|7.9	1.0
-10|	-8|	1.0
-1|-5	-5|-1	1.0
4|7.11	11|4	1.0
-5|5	-3|-5	1.0
16|15	4|16	1.0
4|5.14	12|4	1.0
4|5.2	5|4	1.0
0|2	7|0	0.5
0|2	-1|0	0.5
7|5.-5	5|7	1.0
15|	16|15	1.0
21|	11|	0.0769230769231
21|	17|	0.307692307692
21|	12|21	1.0
21|	20|	0.461538461538
2|5	0|2	0.4
2|5	-1|2	0.2
2|5	129|	0.1
2|5	4|2	0.3
-5|-4	7|-5	0.333333333333
-5|-4	-4|	0.666666666667
21|17	17|	1.0
5|	-4|	0.0357142857143
5|	10|	0.0357142857143
5|	9|5	1.0
5|	4|5	0.0909090909091
5|	0|5	0.285714285714
5|	6|5	1.0
5|	17|	0.0535714285714
5|	2|5	0.4
5|	21|5	1.0
5|	7|5	0.0909090909091
5|	-5|5	1.0
7|9.11	5|7	1.0
5|14	4|5.14	1.0
16|7	17|16	1.0
5|-5	7|5.-5	1.0
7|9.5	12|7	1.0
9|4	8|	1.0
-5|-1	-3|-5	0.714285714286
-5|-1	-6|	0.285714285714
4|2.0	5|4.2.0	1.0
2|9	5|2	1.0
2|0	4|2.0	1.0
2|0	-1|2	0.5
7|-1	-2|	1.0
11|4	12|11.4	1.0
14|	5|14	1.0
14|	12|14	1.0
-7|	-5|	1.0
-5|0	-1|-5	1.0
2|	-1|2	1.0
2|	0|2	0.5
2|	17|	0.0487804878049
2|	6|2	1.0
2|	5|2	0.222222222222
2|	129|	0.0243902439024
2|	4|2	1.0
11|7	7|11	1.0
129|	4|	0.5
129|	2|	0.5
12|14	11|	1.0
9|12	5|9.12	1.0
9|12	7|9.12	1.0
9|12	8|	0.25
12|11.4	16|12	1.0
5|4.0	10|	1.0
-1|2	2|-1	1.0
9|8	2|9	0.2
9|8	12|9	0.2
9|8	11|9	0.6
-5|-3	0|-5	0.2
-5|-3	14|-5	0.1
-5|-3	6|	0.2
-5|-3	-3|-5	0.3
-5|-3	5|-5	0.2
12|4	2|12	0.333333333333
12|4	-10|	0.666666666667
7|-5	4|7.-5	1.0
4|9	7|4	1.0
-8|	-7|	1.0
4|2	5|4	1.0
7|11	4|7.11	1.0
7|5	12|7	0.0909090909091
7|5	5|7	0.181818181818
7|5	0|7	0.0909090909091
7|5	9|	0.0909090909091
7|5	2|	0.0909090909091
7|5	4|7	0.454545454545
6|4	7|6.4	1.0
17|	11|	0.0909090909091
17|	16|17	0.666666666667
17|	21|17	1.0
5|4.2.0	2|5.4	1.0
4|5.12	11|4	1.0
-6|	-5|	1.0
9|7.9	2|9	0.142857142857
9|7.9	6|9	0.285714285714
9|7.9	5|9	0.571428571429
5|7.4	9|5	1.0
12|21	9|12.21	1.0
2|6	6|2	1.0
16|17	14|	0.666666666667
16|17	21|	0.333333333333
7|4	6|	0.333333333333
7|4	4|7	0.333333333333
7|4	5|7.4	1.0
4|5.9	7|4	1.0
4|5	5|4	0.0909090909091
4|5	11|4	0.0909090909091
4|5	7|4	0.181818181818
4|5	12|4	0.0909090909091
4|5	2|4	0.363636363636
4|5	9|4	0.181818181818
6|9	2|6	0.5
6|9	7|6.9	1.0
6|2	7|6.2	1.0
8|	9|8	0.6
8|	7|8	1.0
