7 129 => 7 1.0
9 => 129 0.25
9 => -7 0.25
9 => -12 0.25
9 => 0 0.25
7 => -24 0.333333333333
7 => 129 0.333333333333
7 => 0 0.333333333333
10 => -5 0.333333333333
10 => -7 0.333333333333
10 => 2 0.333333333333
5 => -12 1.0
12 129 => 12 1.0
-24 => 12 0.5
-24 => 7 0.5
12 => 129 0.5
12 => 0 0.5
2 => -19 1.0
9 129 => 9 1.0
-7 129 => -19 1.0
-5 => 10 1.0
-18 => -17 1.0
0 => -24 0.25
0 => -12 0.25
0 => 5 0.25
0 => -21 0.25
-7 => 9 0.5
-7 => 129 0.5
-21 => -19 1.0
-19 => 9 0.666666666667
-19 => -18 0.333333333333
-12 => -24 0.333333333333
-12 => 0 0.333333333333
-12 => 7 0.333333333333
129 => -19 0.2
129 => 10 0.2
129 => 12 0.2
129 => 9 0.2
129 => 7 0.2
-17 => -5 1.0
