-5|0.4	0|-5.0.4	0.333333333333
-1|0	0|-1	1.0
5|2.-1	-3|5.2	0.5
5|2.-1	2|5	0.5
-5|4.0.-5.5	0|-5.4.0.-5.5	1.0
7|0	4|7	1.0
0|	-7|0	0.5
0|	4|	0.46357615894
0|	2|0	1.0
0|	-17|	0.0264900662252
0|	-8|0	1.0
0|	-1|0	1.0
0|	9|0	1.0
0|	7|0	1.0
0|	-3|0	0.5
0|	-5|0	0.714285714286
0|	5|	0.264900662252
-1|	2|-1	0.266666666667
-1|	-7|-1	1.0
-1|	0|-1	0.666666666667
-1|	-5|-1	0.25
0|-5	-7|0	0.0740740740741
0|-5	-17|	0.0740740740741
0|-5	4|0.-5	0.105263157895
0|-5	-5|0	0.111111111111
0|-5	5|	0.037037037037
5|4	2|5	1.0
5|0.4	2|5	1.0
4|0.-5	5|4	0.0526315789474
4|0.-5	7|	0.0526315789474
4|0.-5	-7|4	0.105263157895
4|0.-5	0|4	0.157894736842
4|0.-5	-5|4	0.526315789474
4|0.-5	-3|	0.105263157895
4|0.-5.5	-5|4.0.-5.5	1.0
9|	0|9	0.75
9|	7|9	1.0
9|	5|9	0.333333333333
2|4	0|2	0.5
2|4	-7|2.4	1.0
11|	7|11	1.0
0|7	4|0.7	1.0
0|7	5|0.7	1.0
0|-7	2|0	1.0
-5|4	-1|-5.4	1.0
-5|4	0|-5	0.8
2|-5	-1|2	1.0
-5|-1.2	-8|-5	0.333333333333
-5|-1.2	-1|-5.-1.2	1.0
-5|-1.2	-7|-5	0.333333333333
-7|0	-5|-7	0.5
-7|0	-3|-7	0.5
-7|2	-5|-7	0.142857142857
-7|2	-1|-7	0.857142857143
0|-5.0.4	-7|0	0.333333333333
0|-5.0.4	-5|0	0.333333333333
0|-5.0.4	5|	0.333333333333
-5|-8.-5	0|-5.-8.-5	0.5
-7|-3	-8|-7.-3	1.0
-7|-3	0|-7	0.5
0|4	-5|0.4	1.0
0|4	5|0.4	1.0
0|4	4|0.4	0.5
0|4	7|0	0.142857142857
-1|-7	2|-1	1.0
-17|	-8|-17	1.0
-8|0	-5|-8.0	1.0
0|-5.-8	4|0.-5.-8	0.5
0|-5.-8	-7|0	0.142857142857
0|-5.-8	-17|	0.285714285714
0|-5.-8	-5|0	0.285714285714
-1|-5.4	2|-1.-5.4	1.0
-5|-8	0|-5.-8	0.285714285714
5|9	0|5	0.666666666667
5|9	9|5.9	1.0
0|-5.4.0.-5.5	4|0.-5.4.0.-5.5	1.0
4|0.4	0|4	0.5
4|0.4	2|4	0.5
-3|	0|-3	1.0
-3|	-5|-3	1.0
-3|	-7|-3	0.5
-8|-7.-3	-5|-8.-7.-3	1.0
0|5	9|0	0.333333333333
0|5	-3|0	0.666666666667
4|0.7	7|	1.0
-7|-1	-8|	1.0
0|-5.0	-7|0	0.2
0|-5.0	-5|0	0.2
0|-5.0	4|0.-5.0	1.0
0|-5.0	5|	0.2
4|0.-5.0	0|4	1.0
4|7	0|4	0.75
4|7	2|4	0.25
4|0.-5.4.0.-5.5	-7|4	1.0
-3|0	-5|-3	0.5
-3|0	-7|-3	0.5
2|-1.-5.4	-5|	1.0
7|9	4|7	1.0
0|-3.-7	5|0.-3.-7	1.0
7|	0|7	0.142857142857
7|	-5|	0.0952380952381
7|	11|	0.047619047619
7|	4|7	0.75
-8|-5	-5|-8.-5	1.0
-5|-7	-1|	1.0
9|0	7|9	1.0
0|-3	5|0.-3	0.222222222222
-5|	0|-5	0.111111111111
-5|	-8|-5	1.0
-5|	2|-5	1.0
-5|	-7|-5	1.0
-5|	-1|	0.225
2|-1	-7|2	0.4
2|-1	0|2	0.133333333333
2|-1	5|2.-1	0.5
2|-1	-5|	0.266666666667
2|-1	-1|2	0.0666666666667
-7|4	-1|-7	1.0
4|	5|4	1.0
4|	-3|	0.0512820512821
4|	-7|4	1.0
4|	0|4	0.428571428571
4|	-5|4	0.8
4|	7|	0.384615384615
4|	2|4	0.5
5|0.7	9|	1.0
-7|2.4	-5|-7	1.0
4|7.11	2|4	1.0
-5|5	0|-5.5	1.0
4|0.-5.-8	0|4	0.5
4|0.-5.-8	5|4	0.5
0|-8	2|0	0.5
0|-8	-5|0	0.5
-3|-7	0|-3.-7	1.0
0|-1	-8|0	0.333333333333
0|-1	5|	0.666666666667
4|0.9	7|	1.0
0|9	4|0.9	1.0
0|9	5|0.9	1.0
0|2	-8|0	0.666666666667
0|2	-1|0	0.333333333333
5|2	-3|5.2	1.0
5|2	7|5	0.6
5|2	2|5	0.2
2|5	5|2	0.333333333333
2|5	-1|2	0.666666666667
4|0.-5.-12	7|	1.0
5|	0|5	0.333333333333
5|	-5|5	1.0
5|	2|5	0.333333333333
5|	7|5	0.333333333333
5|	9|	0.379310344828
5|	-3|	0.241379310345
-3|5.2	-7|-3	1.0
5|0.-3	0|5	0.111111111111
5|0.-3	-3|	0.666666666667
5|0.-3	-5|5	0.222222222222
0|-5.-8.-5	-7|0	0.5
0|-5.-8.-5	-5|0	0.5
0|-5.5	4|0.-5.5	1.0
-8|-17	0|-8	1.0
-5|-1	-8|-5	0.25
-5|-1	-7|-5	0.25
-5|-1	-1|	0.5
2|0	5|2	1.0
-5|-12	0|-5.-12	1.0
9|5.9	5|9	1.0
5|0.-3.-7	0|5	1.0
-7|	-3|-7	1.0
-7|	-8|	0.133333333333
-7|	0|-7	1.0
-7|	-5|-7	1.0
-7|	-12|	0.0666666666667
-7|	-1|-7	1.0
-5|0	-8|-5	0.142857142857
-5|0	2|-5	0.142857142857
-5|0	0|-5.0	0.2
0|-5.-8.-7.-3	-5|0	1.0
2|	-7|2	0.142857142857
2|	-1|2	0.75
2|	0|2	0.333333333333
2|	-5|	0.173913043478
2|	5|2	0.2
-1|2	-5|-1.2	0.333333333333
-1|2	-7|-1	0.25
-5|-3	-1|	1.0
-1|-5.-1.2	0|-1	1.0
-12|	-5|-12	1.0
-8|	0|-8	0.5
-8|	-5|-8	1.0
5|0.9	9|	1.0
7|11	4|7.11	1.0
7|5	0|7	0.666666666667
7|5	11|	0.333333333333
-5|-8.0	0|-5.-8.0	0.2
0|-5.-12	4|0.-5.-12	1.0
-5|-8.-7.-3	0|-5.-8.-7.-3	1.0
0|-5.-8.0	4|0.-5.-8	0.2
0|-5.-8.0	-17|	0.8
-7|-5	-12|	1.0
