-12 129 => -5 1.0
129 -17 => 129 0.533333333333
129 -17 => -16 0.466666666667
7 => 12 1.0
129 -17 129 -17 => -16 1.0
-16 => -17 1.0
13 => 12 0.947368421053
13 => -12 0.0526315789474
12 => 129 0.0185185185185
12 => 13 0.351851851852
12 => 7 0.62962962963
-2 => 0 1.0
-11 => -12 0.96
-11 => -17 0.04
-4 => -2 1.0
-5 => -4 1.0
0 => -5 0.5
0 => -12 0.5
-12 => -11 0.961538461538
-12 => 129 0.0384615384615
129 -17 129 => 12 0.125
129 -17 129 => -17 0.75
129 -17 129 => -12 0.125
129 => -5 0.0555555555556
129 => 12 0.0555555555556
129 => -17 0.833333333333
129 => -12 0.0555555555556
-17 => 129 0.666666666667
-17 => -16 0.333333333333
