-25 -21 => -25 0.8
-25 -21 => -16 0.1
-25 -21 => -10 0.1
-14 => -16 1.0
-19 => -20 1.0
-17 => -19 1.0
-16 => -10 0.5
-16 => -14 0.5
-25 => -18 0.0526315789474
-25 => -20 0.0526315789474
-25 => -21 0.526315789474
-25 => -22 0.0526315789474
-25 => -29 0.315789473684
-22 => -18 0.5
-22 => -25 0.5
-20 -29 => -22 1.0
-29 => -18 0.1
-29 => -21 0.8
-29 => -22 0.1
-25 -21 -25 => -18 0.125
-25 -21 -25 => -29 0.625
-25 -21 -25 => -22 0.125
-25 -21 -25 => -21 0.125
-10 => -29 0.5
-10 => -17 0.5
-20 => -18 0.5
-20 => -29 0.5
-21 => -25 0.888888888889
-21 => -10 0.0555555555556
-21 => -16 0.0555555555556
-18 -25 -21 => -16 1.0
-18 -25 => -21 1.0
-18 => -25 0.333333333333
-18 => -29 0.666666666667
-25 -21 -25 -21 => -10 1.0
