24|	7|24	1.0
8|5	12|8	1.0
17|21	14|17	1.0
2|7	5|2	1.0
16|19.21	12|16.19	1.0
7|0	12|7	0.3
7|0	-5|	0.1
7|0	4|7	0.6
0|	14|0	1.0
0|	2|0	1.0
0|	16|0	1.0
0|	9|0	1.0
0|	5|0	0.692307692308
0|	4|0	0.166666666667
0|	-5|	0.0769230769231
0|	7|0	0.1
16|	12|16	0.0684931506849
16|	4|16	0.375
16|	9|16	1.0
16|	17|16	0.142857142857
16|	14|16	0.3
16|	7|16	1.0
16|	19|16	0.375
12|14.12.14	9|12.14	1.0
-1|	2|-1	1.0
-1|	7|-1	1.0
0|-5	-5|	0.4
0|-5	7|0	0.1
0|-5	4|0.-5	0.2
5|4	7|5	1.0
12|14.12.7	13|	0.2
12|14.12.7	7|12.14	0.8
19|	12|19	1.0
19|	21|19	1.0
19|	18|	0.202702702703
19|	15|	0.202702702703
19|	16|19	0.625
19|	17|19	1.0
19|	14|19	1.0
9|16	14|9	1.0
4|0.-5	7|4.0.-5	0.5
4|0.-5	-5|	0.2
4|0	7|4	0.833333333333
4|0	-5|	0.166666666667
19|10	17|19	0.5
19|10	15|	0.5
9|	0|9	1.0
9|	14|9	0.142857142857
9|	12|9	0.578947368421
9|	1|	0.0298507462687
9|	7|9	1.0
9|	5|9	0.590909090909
2|4	0|2	1.0
12|16	7|12	0.41095890411
12|16	14|12.16	1.0
12|16	10|12	0.0684931506849
12|16	16|12.16	0.625
0|7	4|0	1.0
16|14.9	4|16	0.25
16|14.9	14|16	0.5
16|14.9	19|16	0.25
5|0	9|5	0.692307692308
5|0	21|	0.153846153846
5|0	-1|	0.153846153846
1|	7|1	1.0
1|	5|1	0.5
16|19	19|16	0.625
16|19	12|16.19	1.0
16|12	4|16	0.0724637681159
16|12	17|16	0.101449275362
16|12	19|16.12	0.333333333333
16|12	14|16.12	1.0
16|12	7|16	0.0869565217391
16|12	12|16.12	0.121951219512
19|14	16|19	1.0
16|19.16	19|16.19.16	1.0
17|16	18|17	0.142857142857
17|16	16|17	0.857142857143
12|16.7	16|12.16	1.0
18|	19|18	0.454545454545
18|	7|18	1.0
16|12.13	14|16.12	1.0
12|9	9|12.9	0.818181818182
12|9	21|	0.210526315789
12|9	0|12	0.105263157895
12|9	8|	0.105263157895
12|14.0	7|12.14	1.0
0|4	7|0	1.0
10|15	19|10	1.0
7|24	12|7	1.0
4|16	5|4	0.625
4|16	12|4	0.375
7|2	12|7.2	1.0
10|	19|10	0.5
10|	15|10	1.0
16|12.8	17|16	1.0
12|14.16	0|12	1.0
9|12.14	0|9	0.25
9|12.14	12|9	0.75
12|7.4	5|12	0.333333333333
12|7.4	0|12	0.5
12|7.4	14|12.7	0.166666666667
7|0.2	-5|	1.0
14|16	12|14.16	1.0
14|16	16|14.16	1.0
14|16	19|14	0.3
16|12.19	12|16.12	0.357142857143
16|12.19	19|16.12	0.642857142857
0|12	5|0	0.375
0|12	4|0	0.375
0|12	9|0	0.25
14|12.14	12|14.12.14	1.0
19|21	16|19.21	1.0
5|9	0|5	0.409090909091
5|9	9|5	0.590909090909
5|7	21|	0.285714285714
5|7	2|	0.142857142857
5|7	-3|	0.285714285714
5|7	-1|	0.285714285714
-3|	0|-3	1.0
6|	12|6	1.0
0|5	14|0	0.444444444444
0|5	2|0	0.555555555556
10|12	15|10	1.0
16|14.16	9|16	1.0
19|7	18|	1.0
19|16	12|19	0.375
19|16	16|19.16	1.0
19|16	21|19	0.25
19|16	14|19	0.125
4|7	0|4	0.666666666667
4|7	7|4.7	1.0
16|12.16.19	7|16	1.0
