-10 -29 => -19 1.0
-29 -34 => -12 0.5
-29 -34 => -29 0.5
-29 -21 -12 => -29 1.0
-21 -34 -29 => -19 1.0
-34 -29 => -19 0.25
-34 -29 => -12 0.25
-34 -29 => -21 0.5
-29 -21 => -12 1.0
-12 -29 => -34 1.0
-29 => -19 0.605263157895
-29 => -34 0.157894736842
-29 => -21 0.157894736842
-29 => -12 0.0789473684211
-29 -34 -29 => -12 1.0
-10 => -29 1.0
-34 -29 -19 => -12 1.0
-34 => -12 0.2
-34 => -29 0.8
-21 => -12 0.823529411765
-21 => -34 0.176470588235
-19 => -12 0.260869565217
-19 => -34 0.260869565217
-19 => -21 0.478260869565
-12 => -10 0.769230769231
-12 => -29 0.230769230769
-21 -34 => -29 1.0
