-24|	-26|-24	0.266666666667
-24|	-28|	0.0294117647059
-24|	-19|	0.0294117647059
-24|	-29|-24	0.142857142857
-24|	-22|	0.205882352941
-27|-34.-23	-23|-27	1.0
-25|-23.-25.-23	-27|	0.333333333333
-25|-23.-25.-23	-20|-25.-23.-25.-23	1.0
-25|-23.-25.-23	-23|-25.-23	0.5
-26|	-24|-26	0.2
-26|	-34|-26	1.0
-26|	-12|-26	1.0
-26|	-20|-26	0.25
-26|	-28|	0.216216216216
-26|	-22|-26	0.0588235294118
-26|	-19|	0.027027027027
-22|-25	-26|-22.-25	1.0
-22|-26	-26|-22	0.941176470588
-22|-26	-24|	0.0588235294118
-34|	-29|-34	0.285714285714
-34|	-27|	0.688888888889
-34|	-23|-34	0.2
-34|	-20|-34	1.0
-20|-25.-23.-25.-23	-34|-20	1.0
-20|	-27|-20	1.0
-20|	-25|-20	0.0444444444444
-20|	-29|-20	1.0
-20|	-34|-20	1.0
-20|	-12|	0.0754716981132
-20|	-24|-20	1.0
-13|	-22|	1.0
-22|	-26|-22	0.047619047619
-22|	-29|	0.025
-22|	-24|	0.45
-27|-25.-27	-29|	1.0
-24|-20	-28|	1.0
