-3 -5 => -8 0.5
-3 -5 => -3 0.5
-13 -5 -12 -5 => -12 1.0
-12 => -5 0.294117647059
-12 => 0 0.205882352941
-12 => -7 0.0588235294118
-12 => -1 0.0294117647059
-12 => -3 0.235294117647
-12 => -8 0.176470588235
-10 -7 => -5 0.333333333333
-10 -7 => 2 0.333333333333
-10 -7 => -1 0.333333333333
-4 2 => -4 1.0
-4 -1 => 0 0.25
-4 -1 => 2 0.25
-4 -1 => -8 0.25
-4 -1 => -3 0.25
0 -10 => -5 0.333333333333
0 -10 => -1 0.666666666667
2 -8 => 0 1.0
-10 -8 => -1 1.0
-5 -7 => -5 0.333333333333
-5 -7 => -10 0.333333333333
-5 -7 => -8 0.333333333333
-15 => -5 0.333333333333
-15 => -7 0.333333333333
-15 => -13 0.333333333333
