-5|4.-1	-1|-5.4.-1	1.0
-3|3	-5|-3	1.0
-3|5	-4|	1.0
9|5.-5	-5|9	1.0
4|0.5	0|4	0.285714285714
4|0.5	-8|	0.142857142857
4|0.5	-5|4.0	0.571428571429
0|7.4.-1	2|0	1.0
7|0	5|7	0.111111111111
7|0	0|7.0	0.666666666667
7|0	11|7	0.5
7|0	4|7	0.0555555555556
0|	2|0	0.571428571429
0|	-2|	0.0208333333333
0|	-8|	0.0208333333333
0|	5|0	1.0
0|	4|0	0.0487804878049
0|	7|0	0.5
0|	-1|	0.0416666666667
0|	-3|0	1.0
0|	-5|0	0.5
0|	129|	0.0104166666667
9|-5	5|9	1.0
-1|	2|-1	0.333333333333
-1|	4|-1	0.666666666667
-1|	3|	0.0952380952381
-1|	0|-1	1.0
-1|	-5|-1	0.333333333333
0|-5	7|0.-5	1.0
0|-5	4|0.-5	0.7
5|4	7|5	0.666666666667
5|4	-1|5	0.333333333333
9|11	7|9	1.0
4|0.-5	11|4	0.1
4|0.-5	-5|4.0	0.7
4|0.-5	7|4.0.-5	0.333333333333
4|0.-5	2|4	0.05
0|11	5|0	1.0
4|0	11|4	0.0487804878049
4|0	-2|	0.0487804878049
4|0	-8|	0.0243902439024
4|0	-5|4.0	0.5
4|0	-3|4	0.0975609756098
4|0	7|4	0.219512195122
4|0	0|4	0.0975609756098
4|0	2|4	0.0243902439024
9|	0|9	0.222222222222
9|	-5|9	1.0
9|	7|9	1.0
9|	5|9	1.0
2|4	-1|2	1.0
11|	7|11	1.0
11|	4|11	1.0
11|	9|11	1.0
11|	0|11	1.0
4|0.-5.7	11|4	1.0
0|7	2|0	0.0588235294118
0|7	-2|	0.117647058824
0|7	4|0.7	0.666666666667
0|7	-3|0	0.470588235294
5|0	9|	1.0
2|-5	-5|2	0.2
2|-5	5|2	0.8
-1|-6	-5|-1	1.0
4|-1	-5|4.-1	1.0
4|-1	7|4.-1	1.0
-5|7	0|-5.7	0.5
11|5	7|11	0.5
11|5	4|11	0.5
4|-4	0|4	0.285714285714
4|-4	-5|	0.142857142857
4|-4	-4|	0.571428571429
0|4	7|0	0.125
0|4	-5|0	0.25
0|4	129|	0.125
0|4	-1|	0.5
-1|-5.-3	4|-1	1.0
0|-6	2|0	1.0
-3|-4	0|-3	1.0
0|12	7|0.12	1.0
-5|-8	0|-5.-8	1.0
5|9	-1|5	1.0
5|7	-3|5	0.333333333333
5|7	11|5	0.666666666667
4|11	12|	1.0
-3|	5|-3	0.2
-3|	0|-3	1.0
-3|	-5|-3	0.5
-3|	-4|	0.0526315789474
-3|4	0|-3	0.5
-3|4	-5|-3	0.5
4|0.7	-2|	0.333333333333
4|0.7	7|4	0.666666666667
4|7	7|4.7	0.333333333333
4|7	12|	0.666666666667
5|-3.7	-5|5	1.0
-1|5	4|-1	0.5
-1|5	-5|-1	0.5
7|0.9	4|7	0.142857142857
7|0.9	0|7.0	0.857142857143
5|-5.-1	9|5.-5	1.0
-3|0	5|-3	1.0
7|9	4|7	1.0
0|-1	-5|0	1.0
7|	12|7	1.0
7|	5|7	0.666666666667
7|	-3|7	1.0
7|	0|7	0.0588235294118
7|	-5|7	1.0
7|	11|7	0.181818181818
7|	4|7	0.666666666667
-2|	7|-2	1.0
4|0.-3	-3|4	1.0
4|129	0|4	1.0
12|7	4|12	1.0
0|-3	4|0.-3	1.0
12|	0|12	1.0
12|	4|12	1.0
4|12	0|4	1.0
-5|	0|-5	0.909090909091
-5|	9|-5	1.0
-5|	-6|	0.0294117647059
-5|	7|-5	1.0
-5|	4|-5	0.727272727273
-5|	-4|	0.0294117647059
-5|	5|-5	0.888888888889
-5|	-1|	0.176470588235
-5|	2|-5	0.2
2|-1	-5|2	0.333333333333
2|-1	0|2	0.5
2|-1	5|2	0.166666666667
0|5	4|0.5	0.571428571429
4|	5|4	0.333333333333
4|	11|4	1.0
4|	-2|	0.025974025974
4|	-8|	0.038961038961
4|	12|	0.103896103896
4|	7|4	0.538461538462
4|	-5|	0.376623376623
4|	-4|	0.0519480519481
4|	0|4	0.25
4|	-3|4	0.5
4|	2|4	1.0
4|-5.2	5|4	1.0
7|4.0.-5	12|7	0.333333333333
7|4.0.-5	4|7	0.666666666667
-5|2	7|-5	0.8
-5|2	4|-5.2	1.0
5|2	11|5	0.285714285714
5|2	0|5	0.142857142857
5|2	-5|5	0.571428571429
0|7.0	-2|	0.333333333333
0|7.0	4|0.7	0.666666666667
-5|5	0|-5	0.142857142857
-5|5	4|-5	0.285714285714
-5|5	5|-5	0.428571428571
-5|5	2|-5	0.142857142857
4|0.-5.-8	7|4.0.-5	1.0
0|-8	4|0.-8	1.0
0|-5.-8	4|0.-5.-8	1.0
4|0.9	7|4	1.0
0|9	7|0.9	0.857142857143
0|9	4|0.9	1.0
-1|-5.4.-1	3|	1.0
0|2	2|0	0.4
0|2	-8|	0.4
0|2	-5|0	0.2
-4|	4|-4	0.142857142857
-4|	-3|-4	1.0
5|	7|5	1.0
5|	0|5	1.0
5|	-1|5	0.5
5|	11|5	0.5
5|	-4|	0.047619047619
5|	9|	0.238095238095
5|	-3|5	1.0
5|	-5|5	0.142857142857
5|-3	0|5	0.6
5|-3	-4|	0.2
5|-3	-5|5	0.2
-5|4.-5	5|-5	0.25
-5|4.-5	4|-5	0.5
-5|4.-5	-4|	0.25
-5|9	9|-5	1.0
7|4.-1	0|7.4.-1	1.0
5|-5	-5|5	0.888888888889
5|-5	9|5.-5	1.0
4|-5	-8|	0.181818181818
4|-5	5|4	0.0909090909091
4|-5	-5|4.-5	0.25
7|4.7	5|7	0.333333333333
7|4.7	-3|7	0.666666666667
-5|-1	-1|	0.666666666667
-5|-1	5|-5.-1	1.0
2|0	5|2	0.142857142857
2|0	4|2	0.285714285714
2|0	-6|	0.571428571429
11|4	7|11	1.0
11|7.5	9|11	1.0
-5|0	0|-5	0.5
-5|0	-1|	0.5
2|	-5|2	0.2
2|	5|2	0.571428571429
2|	-1|2	1.0
2|	0|2	0.2
2|	-6|	0.16
2|	4|2	1.0
11|7	0|11	0.818181818182
11|7	9|11	0.181818181818
129|	4|129	1.0
129|	-5|	0.5
7|0.12	11|7	1.0
-3|7	5|-3.7	1.0
-1|2	0|-1	1.0
-5|-3	4|-5	0.5
-5|-3	-1|-5.-3	1.0
7|-5	-5|7	1.0
7|0.-5	5|7	1.0
4|0.-8	0|4	1.0
-8|	0|-8	1.0
-8|	-5|-8	1.0
4|2	5|4	1.0
7|11	4|7	1.0
7|5	11|7.5	1.0
7|-2	0|7	1.0
-5|4.0	0|-5	0.5
-5|4.0	2|-5	0.166666666667
-5|4.0	-6|	0.111111111111
-5|4.0	-1|	0.222222222222
3|	-3|3	1.0
0|-5.7	4|0.-5.7	1.0
0|-5.7	7|0.-5	0.5
-6|	0|-6	1.0
-6|	-1|-6	1.0
7|4	12|7	0.0769230769231
7|4	5|7	0.0769230769231
7|4	-3|7	0.153846153846
7|4	0|7	0.538461538462
7|4	4|7	0.153846153846
