24|	23|	1.0
-9|	-7|-9	0.25
-9|	-5|-9	0.5
-9|	-8|	0.125
-9|	-11|-9	0.5
-9|	-36|-9	1.0
-9|	-14|-9	1.0
-9|	1|	0.0416666666667
-9|	-6|-9	1.0
-9|	-10|	0.208333333333
-9|	-21|-9	1.0
-9|	-12|-9	0.666666666667
-29|-28	-30|	0.4
-29|-28	-24|-29	0.2
-29|-28	-31|	0.2
-29|-28	-25|	0.2
-22|-17	-29|-22	0.333333333333
-22|-17	-18|	0.333333333333
-22|-17	-19|-22	0.333333333333
-19|-24	-9|-19	0.5
-19|-24	-15|-19	0.5
-23|-16	-21|	1.0
0|	-2|	0.666666666667
0|	1|	0.333333333333
16|	14|	1.0
-16|-17	-12|-16	0.142857142857
-16|-17	-14|	0.142857142857
-16|-17	-6|-16	0.142857142857
-16|-17	-17|-16	0.285714285714
-16|-17	-15|-16	0.285714285714
-36|-33	-24|-36	1.0
-15|-14	-16|-15	0.5
-15|-14	19|	0.5
-21|-20	-22|-21	0.5
-21|-20	-20|-21	0.5
-9|-14	-14|-9	0.333333333333
-9|-14	1|	0.333333333333
-9|-14	-7|-9	0.333333333333
19|	17|	1.0
-14|-24	-15|-14	1.0
-8|-7	-13|	0.333333333333
-8|-7	-9|-8	0.666666666667
-27|	-29|-27	1.0
-27|	-28|	0.2
-27|	-26|	0.2
-27|	-30|-27	1.0
-33|	-29|-33	1.0
-33|	-34|	0.375
-33|	-32|	0.125
-33|	-36|-33	1.0
-33|	-31|	0.25
-20|-5	-24|-20	1.0
-21|-22	-20|-21	0.5
-21|-22	-19|-21	0.5
-18|-16	-19|-18	1.0
-14|	-15|-14	0.5
-14|	-9|-14	0.333333333333
-14|	-16|-14	0.25
-14|	-13|	0.133333333333
-14|	-12|-14	0.5
11|	-17|11	1.0
-19|-17	-23|	0.125
-19|-17	-22|-19	0.125
-19|-17	-21|-19	0.375
-19|-17	-20|	0.25
-19|-17	-17|-19	0.125
-8|-12	-6|	1.0
-8|	-9|-8	1.0
-8|	-7|-8	0.25
-8|	-12|-8	1.0
-8|	-6|	0.1
-8|	-13|	0.2
-5|-19	-17|-5	1.0
-10|-13	-17|-10	1.0
-9|-5	-12|-9	0.5
-9|-5	-7|-9	0.5
1|	-16|1	1.0
1|	0|	0.666666666667
-17|-10	-10|-17	1.0
-12|-11	-13|	0.5
-12|-11	-15|-12	0.5
-33|-34	-32|	1.0
-17|-21	-12|-17	1.0
-12|-16	-17|-12	1.0
-22|-21	-23|	0.333333333333
-22|-21	-24|-22	0.666666666667
-19|129	-17|-19	1.0
-15|-18	-14|-15	0.5
-15|-18	-12|-15	0.5
-20|	-15|-20	1.0
-20|	-22|-20	1.0
-20|	-21|-20	0.5
-20|	129|-20	1.0
-20|	-19|-20	0.333333333333
-20|	-24|-20	0.5
-16|-12	-19|-16	0.5
-16|-12	-10|-16	0.5
-32|	-36|-32	1.0
-32|	-34|	0.285714285714
-32|	-31|	0.428571428571
-32|	-33|	0.142857142857
-19|-2	-17|-19	0.5
-19|-2	-16|-19	0.5
-6|-16	-5|-6.-16	1.0
-21|-24	-17|-21	1.0
-17|	-16|-17	0.285714285714
-17|	-28|	0.027027027027
-17|	-12|-17	0.333333333333
-17|	0|	0.027027027027
-17|	-7|	0.027027027027
-17|	-18|	0.027027027027
-17|	-15|-17	0.333333333333
-17|	31|	0.027027027027
-17|	-14|	0.027027027027
-17|	-19|-17	0.125
-17|	-10|-17	1.0
-17|	-29|-17	1.0
-17|	-24|-17	1.0
-17|	-22|-17	0.333333333333
-17|	-21|-17	1.0
-9|-10	-8|	1.0
26|	24|	1.0
-17|-16	-16|-17	0.444444444444
-17|-16	-19|-17	0.222222222222
-17|-16	-29|-17	0.111111111111
-17|-16	-12|-17	0.111111111111
-17|-16	-18|	0.111111111111
-13|-22	-15|-13	1.0
-28|	-29|-28	0.2
-28|	129|-28	1.0
-28|	-27|-28	0.5
-12|-17	-9|-12	0.666666666667
-12|-17	-4|	0.333333333333
-10|-7	-13|-10	0.5
-10|-7	-5|-10	0.5
-17|-29	-22|-17	1.0
-10|-15	-12|-10	1.0
-11|-10	-10|-11	0.5
-11|-10	-7|	0.5
-27|-28	-26|	0.5
-27|-28	-30|-27	0.5
-17|-15	-15|-17	0.4
-17|-15	-19|-17	0.6
-16|-13	-19|-16	1.0
-8|23	-12|-8	1.0
-29|129	-30|	1.0
-33|-29	-36|-33	1.0
129|-20	-19|129	1.0
-19|-22	-17|-19	0.333333333333
-19|-22	-15|-19	0.333333333333
-19|-22	-20|	0.333333333333
-21|-9	-8|	1.0
-30|-27	-18|	1.0
-21|	-17|-21	1.0
-21|	-20|-21	0.5
-21|	-16|-21	0.2
-21|	-24|-21	0.25
-21|	-19|-21	1.0
