5|7.5	4|5.7.5	0.5
11|14.12	9|11.14.12	1.0
2|7	4|2	0.5
2|7	14|2	0.5
0|	2|0	0.25
0|	5|0	1.0
0|	4|0	1.0
0|	12|0	0.75
0|	16|	0.0526315789474
0|	-1|	0.210526315789
16|	12|16	1.0
16|	4|16	1.0
16|	18|	0.0666666666667
16|	14|	0.533333333333
16|	17|	0.2
16|	0|	0.0666666666667
11|9.7	12|11.9.7	0.125
11|9.7	9|11.9	0.272727272727
-1|	4|-1	1.0
-1|	0|-1	1.0
-1|	-3|	0.5
0|-5	4|0	0.666666666667
0|-5	2|0	0.333333333333
12|11.7	0|12.11.7	1.0
7|19	11|7	1.0
19|	12|19	1.0
19|	9|19	1.0
19|	7|19	1.0
19|	18|	0.1
19|	17|	0.3
19|	14|19	0.333333333333
14|2	7|14	0.5
14|2	19|14	0.5
4|0	7|4	1.0
9|	2|9	0.5
9|	12|9	0.5
9|	14|	0.047619047619
9|	-3|9	1.0
9|	7|9	0.0625
9|	11|9	0.352941176471
9|	5|	0.0238095238095
7|9.11.9	0|7	0.2
7|9.11.9	129|	0.2
7|9.11.9	9|7	0.6
2|4	19|	0.125
2|4	9|2	0.125
2|4	0|	0.5
2|4	129|	0.125
2|4	4|2	0.125
12|16	14|12.16	1.0
11|	7|11	0.25
11|	-1|11	1.0
11|	2|11	1.0
11|	12|	0.391304347826
11|	14|11	0.5
11|	9|	0.413043478261
11|	129|	0.0217391304348
9|11.14.12	2|9	1.0
0|7	-1|	1.0
5|0	9|5	1.0
14|12.11.12	6|	0.5
14|12.11.12	16|14	0.5
16|12	14|16.12	1.0
2|-5	5|2	0.5
2|-5	0|	0.5
19|14	9|19	0.5
19|14	14|19	0.5
9|19	14|	1.0
4|-1	7|4	1.0
2|11	19|	1.0
18|	19|18	0.5
12|9	11|12.9	1.0
12|9	16|12	0.5
0|4	12|0	1.0
4|16	9|4	1.0
5|4.7	7|5	1.0
7|6	6|	0.5
7|6	2|7	0.5
2|14	7|2	1.0
9|11.9	11|9	0.166666666667
9|11.9	7|9.11.9	0.6
14|11	16|14	0.5
14|11	12|14.11	1.0
11|9	7|11	0.0588235294118
11|9	-1|11	0.0588235294118
11|9	12|	0.529411764706
11|9	9|11.9	0.166666666667
5|7	-7|	0.0909090909091
5|7	4|	0.909090909091
7|9.2	6|	1.0
-3|	2|-3	1.0
-3|	9|	0.2
-3|	-5|	0.4
0|12.11.7	5|0	1.0
6|	7|6	0.5
6|	12|	0.166666666667
6|	4|6	1.0
6|	9|6	1.0
14|9.5	11|14	1.0
19|7	17|	0.5
19|7	18|	0.5
4|7	5|4.7	1.0
-1|11	4|-1	1.0
12|11.9.7	0|	0.125
12|11.9.7	14|12	0.875
2|-3	5|2	1.0
