-19 2 => 5 1.0
-2 14 => 15 1.0
22 19 => 15 1.0
0 11 => 9 1.0
-8 9 => 10 1.0
12 -5 => 11 0.666666666667
12 -5 => 4 0.333333333333
11 9 7 => 9 1.0
19 15 => 19 0.25
19 15 => 10 0.125
19 15 => 12 0.375
19 15 => 14 0.125
19 15 => 17 0.125
2 -9 => 14 1.0
-5 -15 => 13 1.0
-19 14 => 5 1.0
-4 5 => 12 1.0
14 2 => 11 0.0454545454545
14 2 => 14 0.772727272727
14 2 => -10 0.0454545454545
14 2 => -7 0.0454545454545
14 2 => -17 0.0454545454545
14 2 => -9 0.0454545454545
7 12 7 => 2 1.0
-4 19 17 => 16 1.0
9 8 => 9 1.0
19 0 => 17 1.0
9 11 => 9 0.25
9 11 => 12 0.5
9 11 => 7 0.25
-4 15 => 12 1.0
7 5 => -26 0.0625
7 5 => -5 0.125
7 5 => -7 0.0625
7 5 => -12 0.0625
7 5 => 4 0.25
7 5 => 7 0.1875
7 5 => -16 0.0625
7 5 => 9 0.0625
7 5 => 2 0.0625
7 5 => 8 0.0625
2 3 => 0 0.666666666667
2 3 => 2 0.333333333333
0 -12 => -5 0.166666666667
0 -12 => 12 0.666666666667
0 -12 => 15 0.166666666667
-5 14 => 12 0.5
-5 14 => -1 0.25
-5 14 => 17 0.25
15 14 15 => 129 1.0
17 10 => 17 1.0
15 19 => 10 0.111111111111
15 19 => 12 0.222222222222
15 19 => 15 0.111111111111
15 19 => -12 0.111111111111
15 19 => 5 0.222222222222
15 19 => -9 0.222222222222
15 -17 => 14 1.0
15 18 => 7 1.0
-21 => -5 0.2
-21 => 2 0.2
-21 => 7 0.2
-21 => -17 0.4
12 -10 => 6 1.0
7 4 => -12 1.0
17 20 => -19 0.333333333333
17 20 => 17 0.666666666667
3 7 => -5 0.111111111111
3 7 => 10 0.222222222222
3 7 => 12 0.444444444444
3 7 => 5 0.222222222222
9 -9 => 12 1.0
12 11 7 => 19 0.5
12 11 7 => 12 0.5
4 5 => -5 0.25
4 5 => -4 0.5
4 5 => 6 0.25
-3 2 => 6 1.0
-3 7 -2 => -17 1.0
18 15 12 => 6 1.0
9 7 => 11 0.0833333333333
9 7 => -10 0.166666666667
9 7 => 0 0.0833333333333
9 7 => -7 0.0833333333333
9 7 => 5 0.166666666667
9 7 => 6 0.333333333333
9 7 => 9 0.0833333333333
2 5 => 3 0.428571428571
2 5 => 2 0.285714285714
2 5 => -1 0.142857142857
2 5 => 4 0.142857142857
-2 5 4 => 5 0.5
-2 5 4 => 7 0.5
7 8 7 => -5 1.0
11 -17 => 14 0.5
11 -17 => 7 0.5
5 6 => 7 1.0
-2 => 15 0.0526315789474
-2 => -3 0.0526315789474
-2 => 0 0.0526315789474
-2 => 18 0.0526315789474
-2 => -17 0.157894736842
-2 => -10 0.0526315789474
-2 => 3 0.105263157895
-2 => 2 0.0526315789474
-2 => 5 0.210526315789
-2 => -14 0.0526315789474
-2 => 7 0.0526315789474
-2 => 14 0.105263157895
2 8 7 => 5 1.0
-10 7 5 => -12 0.25
-10 7 5 => 7 0.75
8 17 => 7 1.0
20 7 => 19 1.0
7 12 0 => 12 0.5
7 12 0 => 14 0.5
12 9 => 11 0.6
12 9 => 3 0.2
12 9 => 12 0.2
21 17 => 19 1.0
-10 -5 => 19 1.0
-17 14 12 11 => 14 1.0
19 15 14 => 17 1.0
-4 -13 => 2 1.0
11 9 => -5 0.25
11 9 => 0 0.25
11 9 => 12 0.25
11 9 => 7 0.25
12 -17 => -9 1.0
7 -4 => 5 1.0
12 => 0 0.274193548387
12 => 3 0.0376344086022
12 => 2 0.0376344086022
12 => 5 0.0268817204301
12 => 4 0.0161290322581
12 => 7 0.0591397849462
12 => 6 0.0161290322581
12 => 9 0.0268817204301
12 => 8 0.010752688172
12 => -10 0.00537634408602
12 => -12 0.00537634408602
12 => -17 0.00537634408602
12 => 129 0.00537634408602
12 => 11 0.123655913978
12 => 10 0.0645161290323
12 => 13 0.0268817204301
12 => 15 0.0860215053763
12 => 14 0.0537634408602
12 => 17 0.0161290322581
12 => 16 0.010752688172
12 => 19 0.010752688172
12 => 18 0.010752688172
12 => -5 0.0161290322581
12 => -7 0.00537634408602
12 => -6 0.00537634408602
12 => -1 0.0161290322581
12 => -9 0.0268817204301
-12 3 => 2 1.0
-5 -2 => 0 0.333333333333
-5 -2 => 3 0.666666666667
15 -5 => 14 0.75
15 -5 => 7 0.25
-5 => 20 0.0408163265306
-5 => -25 0.0204081632653
-5 => 3 0.0408163265306
-5 => 2 0.0612244897959
-5 => 5 0.0408163265306
-5 => 4 0.0612244897959
-5 => 7 0.0816326530612
-5 => 9 0.0612244897959
-5 => -10 0.0816326530612
-5 => -15 0.0204081632653
-5 => 11 0.0408163265306
-5 => 12 0.0612244897959
-5 => 15 0.0408163265306
-5 => 14 0.0816326530612
-5 => 16 0.0204081632653
-5 => 19 0.0408163265306
-5 => -7 0.0204081632653
-5 => -6 0.0204081632653
-5 => -1 0.0204081632653
-5 => -3 0.0408163265306
-5 => -2 0.0612244897959
-5 => -9 0.0408163265306
3 -6 => -5 1.0
2 7 => 10 0.428571428571
2 7 => 14 0.142857142857
2 7 => -17 0.142857142857
2 7 => -2 0.285714285714
-3 -2 => 2 0.5
-3 -2 => -17 0.5
3 4 => 7 1.0
-5 9 7 => -7 0.5
-5 9 7 => 5 0.5
12 129 => -6 1.0
10 8 => 10 0.181818181818
10 8 => 7 0.727272727273
10 8 => 129 0.0909090909091
2 -5 => 5 0.5
2 -5 => 2 0.25
2 -5 => -6 0.25
17 15 14 => 12 1.0
11 5 => 0 0.166666666667
11 5 => 3 0.333333333333
11 5 => 2 0.333333333333
11 5 => 8 0.166666666667
19 14 15 => 11 1.0
6 18 => 20 0.285714285714
6 18 => 7 0.142857142857
6 18 => 6 0.571428571429
12 15 14 12 => -9 1.0
19 -12 => 15 1.0
0 15 => 4 1.0
-15 13 => 15 1.0
5 -5 => 9 0.25
5 -5 => 3 0.5
5 -5 => 4 0.25
15 16 => 19 0.333333333333
15 16 => 17 0.666666666667
17 14 17 => 11 0.5
17 14 17 => 8 0.5
12 11 => 12 0.347826086957
12 11 => 7 0.0869565217391
12 11 => -5 0.173913043478
12 11 => 0 0.0434782608696
12 11 => -7 0.0434782608696
12 11 => 2 0.0434782608696
