-19 => 129 1.0
-17 => 0 0.666666666667
-17 => -1 0.333333333333
-12 => -8 1.0
-8 => -3 1.0
129 2 => 129 1.0
-3 => -7 0.5
-3 => -17 0.5
-5 => 129 0.5
-5 => 0 0.5
-10 => 0 0.5
-10 => -1 0.5
-7 => -19 0.5
-7 => 129 0.5
0 => -7 0.25
0 => -12 0.25
0 => -15 0.25
0 => -27 0.25
-1 => -10 0.25
-1 => 2 0.75
2 => -5 0.2
2 => 129 0.2
2 => -17 0.4
2 => -10 0.2
129 => -5 0.25
129 => 2 0.25
129 => -1 0.5
-15 => -12 1.0
