5 -21 => -25 1.0
-24 -18 => -25 1.0
-24 -18 -25 -21 => -25 1.0
-24 -18 -25 -21 -25 => 5 1.0
-16 => -31 1.0
5 -21 -25 => -18 0.333333333333
5 -21 -25 => 5 0.666666666667
-31 -25 => -22 1.0
-24 => -18 1.0
-25 => -24 0.0322580645161
-25 => -18 0.0967741935484
-25 => 5 0.0645161290323
-25 => -21 0.58064516129
-25 => -22 0.225806451613
-18 -25 => -21 1.0
-22 -25 => -24 0.142857142857
-22 -25 => -22 0.857142857143
129 => -25 1.0
-31 => -25 0.125
-31 => -16 0.875
-24 -18 -25 => -21 1.0
-21 -25 => -18 0.157894736842
-21 -25 => 5 0.105263157895
-21 -25 => -21 0.736842105263
-21 => -25 0.95
-21 => -16 0.05
-22 => -25 1.0
-18 => -25 1.0
5 => -21 1.0
