24|	19|24	1.0
24|	11|24	1.0
24|	9|24	1.0
11|7.12	7|	0.333333333333
11|7.12	14|11.7	0.666666666667
16|23	19|16	1.0
23|19	24|	1.0
16|	24|	0.130434782609
16|	9|16	1.0
16|	15|	0.0434782608696
16|	14|16	0.25
16|	17|	0.217391304348
16|	19|16	0.25
16|	129|	0.0434782608696
16|	18|16	0.666666666667
-1|	7|-1	0.5
-1|	9|-1	1.0
11|7.14	9|11	0.8
11|7.14	6|11	0.2
21|14	19|21	1.0
19|	12|19	1.0
19|	11|	0.0625
19|	7|	0.125
19|	6|	0.03125
19|	13|	0.03125
19|	16|19	0.666666666667
19|	18|19	1.0
19|	9|19	1.0
19|	24|	0.03125
19|	17|	0.03125
19|	23|19	1.0
19|	28|	0.09375
19|	14|19	1.0
19|	21|19	1.0
9|16	18|	1.0
14|11.7	7|14	0.5
14|11.7	9|14	0.5
9|	14|9	1.0
9|	12|9	0.25
9|	18|	0.210526315789
9|	6|9	1.0
9|	7|9	0.333333333333
9|	11|9	0.142857142857
9|	-1|	0.0526315789474
11|	9|11	0.222222222222
11|	7|	0.0144927536232
11|	14|11	0.0833333333333
11|	12|11	0.176470588235
11|	19|11	0.133333333333
11|	6|11	1.0
18|9.6	6|	0.333333333333
18|9.6	7|	0.666666666667
12|26	16|12	1.0
16|19	19|16	0.666666666667
16|19	17|	0.333333333333
11|2	9|11	1.0
16|12	24|	0.5
16|12	9|16	0.333333333333
16|12	129|	0.166666666667
19|14	14|19	1.0
9|19	12|9	1.0
28|12	26|	0.5
28|12	19|28	0.5
18|	11|18	1.0
18|	7|	0.294117647059
18|	6|	0.117647058824
18|	26|	0.117647058824
18|	19|18	0.166666666667
18|	16|18	1.0
12|9	28|12	0.0625
12|9	7|12	0.1875
12|9	11|12.9	1.0
12|9	21|	0.5
19|129	13|	1.0
12|23	16|12	1.0
26|	12|26	1.0
26|	24|26	1.0
9|6.11	7|9	0.333333333333
9|6.11	6|9	0.333333333333
9|6.11	-1|	0.333333333333
14|16	19|14	0.25
14|16	12|14	0.75
14|11	9|14	0.0833333333333
14|11	7|14	0.208333333333
14|11	11|14.11	0.25
14|11	23|	0.416666666667
14|11	12|14	0.125
12|9.24	28|12	1.0
11|9	9|11	0.142857142857
11|9	14|11	0.142857142857
11|9	12|11	0.714285714286
19|21	23|19	1.0
11|18	19|11	1.0
9|-1	-1|	1.0
6|	9|6	0.1
6|	18|	0.0909090909091
28|129	12|	1.0
24|26	9|24	1.0
19|7	24|	1.0
18|16	19|18	0.666666666667
18|16	16|18	0.333333333333
19|16	18|19	0.25
19|16	17|	0.25
19|16	28|	0.5
11|24	14|11	1.0
13|	14|13	0.5
9|14	12|9.14	1.0
14|28	18|14	1.0
12|9.11	11|12.9	1.0
7|9	9|7	0.333333333333
7|9	19|7	0.333333333333
7|9	11|7	0.333333333333
21|19	23|21	1.0
6|11	9|6.11	0.333333333333
7|	9|7	1.0
7|	19|7	1.0
7|	2|	0.037037037037
7|	11|7	0.565217391304
7|	-1|	0.037037037037
9|24	12|9.24	1.0
14|11.12	11|14.11	0.285714285714
14|11.12	7|14	0.285714285714
14|11.12	12|14	0.428571428571
28|	26|	0.166666666667
28|	12|	0.166666666667
28|	14|28	1.0
28|	129|	0.166666666667
28|	19|28	1.0
9|11	14|9	0.111111111111
9|11	12|9.11	1.0
9|11	7|9	0.222222222222
9|11	11|9	0.222222222222
12|	9|12	1.0
12|	28|12	0.5
12|	7|12	1.0
12|	11|12	0.142857142857
12|	21|	0.156862745098
12|	15|	0.0196078431373
12|	16|12	0.333333333333
12|	2|	0.0196078431373
12|	14|12	0.384615384615
14|19	12|14	1.0
14|17	16|14	1.0
14|12	13|	0.0769230769231
14|12	16|14	0.307692307692
14|12	11|14	0.384615384615
14|12	3|	0.0769230769231
14|12	12|14	0.153846153846
16|14	17|	0.6
16|14	18|16	0.4
7|14	11|7.14	0.8
16|18	15|	1.0
16|15	14|16	0.666666666667
16|15	18|16	0.333333333333
9|7	11|9	1.0
11|12	9|11	0.142857142857
11|12	12|11	0.357142857143
11|12	14|11.12	0.285714285714
16|17	19|16	0.25
16|17	14|16	0.5
16|17	17|	0.25
15|	16|15	0.333333333333
21|	7|	0.1
21|	6|	0.3
21|	23|21	1.0
21|	11|21	1.0
21|	9|	0.1
21|	19|21	1.0
12|3	2|	1.0
12|11	9|12	0.176470588235
12|11	28|12	0.0588235294118
12|11	16|12	0.0588235294118
12|11	14|12	0.705882352941
7|12	11|7.12	0.666666666667
14|129	11|14	1.0
11|14	9|11	0.0909090909091
11|14	12|11	0.636363636364
11|14	14|11.14	0.333333333333
7|-1	2|	0.5
7|-1	-1|	0.5
19|18	12|19	0.166666666667
19|18	9|19	0.166666666667
19|18	21|19	0.166666666667
19|18	18|19	0.333333333333
19|18	14|19	0.166666666667
18|19	19|18	1.0
14|	18|14	1.0
14|	13|	0.02
14|	16|14	0.4
14|	23|	0.2
14|	9|14	1.0
14|	11|14	0.0909090909091
14|	7|14	1.0
14|	3|	0.02
14|	12|14	0.636363636364
14|	19|14	1.0
14|	21|14	1.0
2|	11|2	1.0
2|	6|2	1.0
11|7	19|11	0.565217391304
11|7	7|	0.0434782608696
11|7	9|11	0.173913043478
11|7	14|11.7	0.5
11|7	6|11	0.130434782609
129|	14|129	1.0
129|	28|129	1.0
129|	15|	0.25
