0|2.-3	2|0.2.-3	1.0
4|5.0	2|	0.214285714286
4|5.0	5|	0.785714285714
2|0	0|2.0	0.1
2|0	4|2	0.62962962963
-4|	-3|	1.0
5|7.5	4|5	0.125
5|7.5	7|5.7	0.125
5|7.5	0|5	0.75
0|5.6	2|0.5	1.0
6|7.2	2|6	0.5
6|7.2	4|6.7.2	1.0
7|6	9|	0.269230769231
7|6	5|7.6	1.0
7|6	6|7.6	0.307692307692
6|7.5	4|6	1.0
-1|0.-1	-5|	0.666666666667
-1|0.-1	-3|-1	0.333333333333
5|4.5.0.2	7|5	1.0
5|7.2	4|5.7.2	1.0
-5|	0|-5	1.0
-5|	-3|-5	1.0
7|0	9|	1.0
7|2	5|7.2	1.0
7|2	6|7.2	0.5
4|6.4	7|4	1.0
2|0.2.-3	0|2.0	1.0
2|1	1|	0.454545454545
2|1	-3|2	0.181818181818
2|1	0|2.1	0.5
2|1	4|2	0.181818181818
2|	-3|2	0.5
2|	7|2	0.333333333333
2|	0|2	0.0212765957447
2|	1|	0.116504854369
2|	5|	0.00970873786408
2|	4|2	0.130434782609
7|4	5|7	1.0
-1|	-5|	0.0869565217391
-1|	0|-1	0.6
-1|	2|-1	0.125
-1|	-3|-1	1.0
0|-5	2|0	1.0
5|7	4|5	0.458333333333
5|7	7|5.7	1.0
5|7	0|5	0.25
4|	7|4	1.0
4|	6|4	0.0909090909091
4|	1|	0.0285714285714
4|	0|4	1.0
4|	2|	0.314285714286
4|	5|	0.304761904762
0|2.0	2|0	0.1
0|2.0	-1|	0.9
-3|	-2|	0.0714285714286
-3|	2|-3	0.142857142857
-3|	-5|	0.0714285714286
-3|	-4|	0.0714285714286
-3|	-1|	0.285714285714
4|6.7.2	6|4.6.7.2	0.5
6|	2|6	0.411764705882
6|	7|6	0.269230769231
6|	5|6	1.0
6|	4|6	0.12
6|	9|	0.0405405405405
0|5	2|0.5	1.0
0|5	5|0	0.666666666667
7|5.7	5|7.5	1.0
-3|1	-5|	1.0
4|5.0.2	5|4.5.0.2	1.0
4|5.0.2	2|	0.285714285714
4|6	7|4	0.12
4|6	6|4.6	0.157894736842
4|6	2|4.6	1.0
5|0.2	4|5.0.2	0.285714285714
9|	7|	1.0
4|5	6|4.5	1.0
4|5	2|	0.42
4|5	5|	0.38
4|7	0|4	1.0
4|2	5|4.2	0.875
4|2	1|	0.130434782609
4|2	2|	0.391304347826
4|2	6|4.2	1.0
0|2.1	-5|	0.5
0|2.1	-1|	0.5
2|-1	0|2	0.125
2|-1	7|2	0.75
2|-1	4|2	0.125
6|4	2|6	0.212121212121
6|4	7|6	0.606060606061
6|4	4|6.4	1.0
6|4	9|	0.0909090909091
-3|-1	-1|	1.0
2|0.5	4|2.0.5	1.0
0|2	4|	0.0425531914894
0|2	2|0	0.297872340426
0|2	-5|	0.0212765957447
0|2	5|0.2	1.0
0|2	-1|	0.340425531915
0|2	-3|0	0.127659574468
0|2	7|0	0.0212765957447
5|0	4|5.0	0.214285714286
5|6	0|5.6	1.0
1|	-3|1	1.0
1|	4|1	1.0
1|	0|	0.0666666666667
1|	2|1	0.454545454545
-3|0	2|-3	1.0
6|4.5	7|6.4.5	0.6
-3|2	-2|	0.5
-3|2	2|-3	0.5
0|4	5|0	1.0
7|5	5|7.5	0.75
7|5	6|7.5	1.0
7|5	4|7	0.0666666666667
0|-1	4|	0.1
0|-1	2|0	0.6
0|-1	-1|0.-1	0.666666666667
1|2.-3	-3|1	1.0
5|	7|5	0.533333333333
5|	4|5	0.42
5|	0|5	0.333333333333
7|6.4.5	9|	0.6
7|6.4.5	6|7.6	0.4
2|6	0|2.6	0.142857142857
2|6	7|2	0.529411764706
2|6	5|	0.0588235294118
6|4.6	2|6	0.368421052632
6|4.6	7|6.4.6	1.0
6|4.6	4|6.4	0.157894736842
6|4.6	9|	0.157894736842
6|4.6.7.6	2|6	1.0
5|7.6	7|5.7	1.0
7|	5|7	0.25
7|	6|	0.554054054054
7|	9|	0.108108108108
7|	4|7	1.0
-2|	0|	1.0
4|6.7.6	6|4.6.7.6	1.0
7|5.4.2	4|7	1.0
2|-3	0|2.-3	1.0
2|-3	1|2.-3	1.0
6|7.6	2|6	0.307692307692
6|7.6	4|6.7.6	1.0
6|7.6	5|6	0.230769230769
7|6.4.6	5|7.6	1.0
4|2.0.5	1|	1.0
-3|-5	-4|	1.0
5|4.2	4|5	0.875
5|4.2	7|5.4.2	1.0
6|4.2	7|6	1.0
0|2.6	-3|0	0.857142857143
0|2.6	2|0	0.142857142857
4|5.7.2	6|4.5	1.0
4|1	5|	1.0
0|	4|	0.0416666666667
0|	2|0	0.37037037037
0|	5|0	1.0
0|	-5|	0.0138888888889
0|	7|0	1.0
0|	-3|0	1.0
0|	-1|	0.277777777778
2|4.6	7|2	1.0
6|4.6.7.2	4|6.4	0.5
6|4.6.7.2	9|	0.5
