-4|-9	-5|-4.-9	1.0
-2|-3	-6|	0.5
-2|-3	0|-2	0.5
-3|	-2|-3	0.5
-3|	-5|-3	1.0
-9|	-4|-9	1.0
-2|	-6|	0.2
-2|	-3|	0.4
-2|	-4|	0.2
-2|	0|-2	1.0
2|	-5|	0.5
2|	-1|	0.5
0|-2	2|	1.0
-5|-3	-6|	1.0
-5|-6	-2|	0.5
-5|-6	-3|	0.5
-5|	-4|	0.266666666667
-5|	-2|	0.0666666666667
-5|	0|	0.2
-5|	-7|	0.333333333333
-5|	-6|	0.0666666666667
-5|	-3|	0.0666666666667
-5|-4.-9	-4|	1.0
-4|	-5|	1.0
-7|	-8|	0.2
-7|	-5|	0.2
-7|	2|	0.2
-7|	-9|	0.4
0|	-2|	0.25
0|	2|	0.125
0|	-1|	0.625
-6|	-5|-6	0.5
-1|	-5|	0.333333333333
-1|	0|	0.666666666667
