-2 -12 => -5 1.0
0 11 -12 => -5 1.0
5 -18 -17 => 2 1.0
0 4 -5 => -13 0.125
0 4 -5 => 2 0.75
0 4 -5 => -29 0.125
0 -12 -24 => 12 1.0
2 7 5 => -5 0.5
2 7 5 => 3 0.166666666667
2 7 5 => 4 0.333333333333
-5 7 5 2 => 0 0.25
-5 7 5 2 => -14 0.75
3 4 -5 16 => 17 1.0
-5 7 2 => 5 1.0
12 -12 14 12 11 => -5 1.0
6 7 -20 => -12 1.0
-2 -5 0 => -3 1.0
5 -3 0 => 9 0.333333333333
5 -3 0 => 5 0.666666666667
4 -5 9 => 7 1.0
5 7 8 10 => -9 1.0
-12 5 7 => 9 0.25
-12 5 7 => -12 0.75
-7 -5 5 => -10 1.0
4 -29 => -5 0.375
4 -29 => 2 0.25
4 -29 => -17 0.375
16 12 => -24 0.2
16 12 => 9 0.2
16 12 => 7 0.4
16 12 => -31 0.2
-3 -10 5 => -7 0.333333333333
-3 -10 5 => 2 0.666666666667
-1 -3 => -5 1.0
17 -27 => -24 1.0
5 7 9 11 => 12 0.857142857143
5 7 9 11 => -12 0.142857142857
-12 11 9 => 8 0.4
-12 11 9 => -7 0.4
-12 11 9 => 7 0.2
-12 6 8 => -9 1.0
12 16 => -5 0.333333333333
12 16 => -8 0.166666666667
12 16 => 17 0.166666666667
12 16 => 14 0.333333333333
-3 9 8 => -7 1.0
-17 5 -5 => 4 1.0
-17 -12 -8 => 2 0.333333333333
-17 -12 -8 => 4 0.333333333333
-17 -12 -8 => -17 0.333333333333
12 -14 => 12 1.0
-17 14 -18 => 12 1.0
4 -5 2 => -17 0.12
4 -5 2 => -13 0.08
4 -5 2 => 0 0.08
4 -5 2 => 3 0.08
4 -5 2 => -12 0.2
4 -5 2 => 4 0.32
4 -5 2 => 7 0.08
4 -5 2 => -29 0.04
7 4 9 => 7 1.0
-17 5 4 2 => -12 1.0
-17 2 => 7 0.06
-17 2 => 0 0.56
-17 2 => -24 0.02
-17 2 => -32 0.02
-17 2 => -5 0.08
-17 2 => -10 0.04
-17 2 => -12 0.02
-17 2 => 4 0.12
-17 2 => -17 0.06
-17 2 => -8 0.02
-5 8 7 => 5 0.6
-5 8 7 => 6 0.4
4 12 -10 => 9 0.5
4 12 -10 => 12 0.25
4 12 -10 => -15 0.25
7 -8 7 => -5 0.833333333333
7 -8 7 => -8 0.166666666667
5 2 0 -17 => 7 1.0
0 4 0 => -5 0.153846153846
0 4 0 => -10 0.0769230769231
0 4 0 => -7 0.153846153846
0 4 0 => 2 0.230769230769
0 4 0 => 5 0.230769230769
0 4 0 => 7 0.153846153846
-20 4 12 => 7 1.0
12 -36 => -33 1.0
-8 -19 => 11 1.0
-9 -5 => 10 0.833333333333
-9 -5 => 12 0.166666666667
9 11 => 12 0.363636363636
9 11 => -5 0.386363636364
9 11 => -12 0.0227272727273
9 11 => -3 0.0454545454545
9 11 => 9 0.0227272727273
9 11 => -8 0.159090909091
2 -5 5 => -18 0.666666666667
2 -5 5 => 0 0.333333333333
2 -2 -5 => 0 0.5
2 -2 -5 => -3 0.5
-12 -13 => 3 0.5
-12 -13 => 2 0.166666666667
-12 -13 => 7 0.166666666667
-12 -13 => -12 0.166666666667
-5 7 -10 => -5 0.333333333333
-5 7 -10 => 5 0.666666666667
-17 0 -5 => 0 0.384615384615
-17 0 -5 => 16 0.0769230769231
-17 0 -5 => 2 0.307692307692
-17 0 -5 => 4 0.153846153846
-17 0 -5 => -10 0.0769230769231
3 7 5 => -16 1.0
-12 16 4 => -24 0.5
-12 16 4 => -12 0.5
-8 11 12 => -12 0.0769230769231
-8 11 12 => -8 0.923076923077
-15 0 -5 => 4 1.0
4 -12 2 => -10 0.333333333333
4 -12 2 => -29 0.666666666667
7 -24 -20 => 7 1.0
-12 7 -5 => 9 0.333333333333
-12 7 -5 => 7 0.666666666667
9 -12 => 11 0.2
9 -12 => -7 0.16
9 -12 => 7 0.6
9 -12 => 6 0.04
14 -6 => 15 1.0
5 -5 -10 => 5 1.0
-13 5 -5 => 4 1.0
-5 129 => 5 1.0
-20 14 16 => -12 1.0
5 -22 => 9 0.333333333333
5 -22 => 2 0.666666666667
12 -31 => 17 1.0
-8 -10 => -11 0.166666666667
-8 -10 => 19 0.166666666667
-8 -10 => 2 0.166666666667
-8 -10 => 4 0.0833333333333
-8 -10 => -12 0.416666666667
-10 19 => -5 0.5
-10 19 => -12 0.5
12 -20 => 14 0.4
12 -20 => -17 0.3
12 -20 => 16 0.3
5 -5 3 => 2 0.769230769231
5 -5 3 => 4 0.0769230769231
5 -5 3 => -12 0.153846153846
-10 7 5 => -5 0.444444444444
-10 7 5 => 3 0.111111111111
-10 7 5 => 2 0.111111111111
-10 7 5 => 4 0.111111111111
-10 7 5 => -17 0.222222222222
-16 -12 -13 => -12 1.0
-15 7 6 => -22 1.0
-17 -5 -13 => -5 1.0
-10 9 7 => 5 1.0
0 2 -5 2 => 3 1.0
-10 -5 => -6 0.2
-10 -5 => 5 0.4
-10 -5 => -8 0.2
-10 -5 => 7 0.2
0 4 7 => -5 0.25
0 4 7 => 12 0.25
0 4 7 => 4 0.5
-8 -5 17 => -12 1.0
-2 7 8 => 10 1.0
-5 -2 => -5 1.0
-9 3 7 => 5 1.0
11 -12 9 => 8 1.0
0 7 4 => 0 0.4
0 7 4 => -6 0.4
0 7 4 => -12 0.2
-5 => -29 0.00307062436029
-5 => -24 0.007164790174
-5 => -20 0.00409416581372
-5 => 0 0.0696008188332
-5 => 3 0.0317297850563
-5 => 2 0.0890481064483
-5 => 5 0.0747185261003
-5 => 4 0.118730808598
-5 => 7 0.0992835209826
-5 => 6 0.0112589559877
-5 => 9 0.0337768679632
-5 => 8 0.0174002047083
-5 => -10 0.021494370522
-5 => -13 0.0194472876151
-5 => -12 0.0307062436029
-5 => -15 0.0112589559877
-5 => -14 0.00204708290686
-5 => -17 0.00409416581372
-5 => -19 0.00409416581372
-5 => 129 0.00102354145343
-5 => 11 0.0112589559877
-5 => 10 0.0163766632549
-5 => 12 0.0562947799386
-5 => 15 0.00409416581372
-5 => 14 0.0276356192426
-5 => 17 0.0348004094166
-5 => 16 0.0522006141249
-5 => 19 0.0112589559877
-5 => 18 0.00409416581372
-5 => -32 0.00204708290686
-5 => -4 0.00614124872057
-5 => -7 0.014329580348
-5 => -6 0.0102354145343
-5 => -3 0.0102354145343
-5 => -2 0.00409416581372
-5 => -9 0.00614124872057
-5 => -8 0.0747185261003
-13 -12 => 0 0.5
-13 -12 => -9 0.25
-13 -12 => 4 0.25
-3 -2 => 0 0.666666666667
-3 -2 => -15 0.333333333333
14 -9 => 15 1.0
-17 -5 17 => 16 1.0
-5 0 2 => -5 0.333333333333
-5 0 2 => 0 0.333333333333
-5 0 2 => 4 0.333333333333
-15 7 => 9 0.4
-15 7 => 6 0.6
-10 -12 0 => -5 0.5
-10 -12 0 => -17 0.5
6 11 9 7 => -17 1.0
-8 -12 -7 -3 => -19 1.0
-16 16 => 15 1.0
5 -5 => 12 0.0161290322581
5 -5 => 0 0.0322580645161
5 -5 => 3 0.209677419355
5 -5 => -10 0.0322580645161
5 -5 => -13 0.0322580645161
5 -5 => -12 0.0483870967742
5 -5 => 5 0.0161290322581
5 -5 => 4 0.403225806452
5 -5 => 7 0.0967741935484
5 -5 => 9 0.0483870967742
5 -5 => 2 0.0161290322581
5 -5 => -8 0.0483870967742
-3 -15 => -5 1.0
-12 -5 16 => -5 0.857142857143
-12 -5 16 => 14 0.142857142857
-8 12 -12 => 11 0.333333333333
-8 12 -12 => 10 0.666666666667
-3 0 -10 0 => -26 1.0
-13 2 -5 2 => -5 0.4
-13 2 -5 2 => -12 0.4
-13 2 -5 2 => -6 0.2
-12 12 => 11 0.38
-12 12 => 14 0.34
-12 12 => 17 0.02
-12 12 => 16 0.1
-12 12 => -5 0.06
-12 12 => 9 0.1
18 20 => -9 1.0
-8 15 => -8 0.133333333333
-8 15 => 17 0.2
-8 15 => 16 0.666666666667
-8 12 11 => 9 0.0909090909091
-8 12 11 => 12 0.181818181818
-8 12 11 => -8 0.727272727273
19 -5 0 => 18 1.0
18 0 -8 => 19 1.0
-2 -7 0 => -3 1.0
5 -5 0 => 2 0.5
5 -5 0 => -3 0.5
-3 11 14 => -7 1.0
-13 => 11 0.0132450331126
-13 => 7 0.0596026490066
-13 => 17 0.0264900662252
-13 => -10 0.0331125827815
-13 => 3 0.0529801324503
-13 => -5 0.139072847682
-13 => 0 0.0529801324503
-13 => -7 0.0132450331126
-13 => 2 0.264900662252
-13 => 5 0.145695364238
-13 => 4 0.0331125827815
-13 => -17 0.00662251655629
-13 => 9 0.0794701986755
-13 => -15 0.0264900662252
-13 => -12 0.0529801324503
2 -13 => -5 0.35
2 -13 => 0 0.3
2 -13 => 5 0.2
2 -13 => 4 0.05
2 -13 => -10 0.1
11 0 -10 => 12 1.0
-4 10 => 15 1.0
-13 -5 => -6 0.0952380952381
-13 -5 => 7 0.0952380952381
-13 -5 => 0 0.0952380952381
-13 -5 => -7 0.0952380952381
-13 -5 => 2 0.47619047619
-13 -5 => 4 0.0952380952381
-13 -5 => -17 0.047619047619
0 -9 3 2 => -13 1.0
0 2 0 => 16 0.0714285714286
0 2 0 => -24 0.285714285714
0 2 0 => 2 0.0714285714286
0 2 0 => 5 0.142857142857
0 2 0 => 4 0.214285714286
0 2 0 => -12 0.214285714286
-12 19 => -13 0.5
-12 19 => -12 0.25
-12 19 => 17 0.25
5 3 2 => -5 0.25
5 3 2 => 0 0.375
5 3 2 => 3 0.25
5 3 2 => -1 0.125
0 17 => 16 1.0
-3 -12 -7 => -3 1.0
-14 -5 -8 => -15 1.0
4 5 4 => 0 0.2
4 5 4 => 3 0.1
4 5 4 => 2 0.4
4 5 4 => -13 0.2
4 5 4 => -12 0.1
2 4 -5 => -10 0.153846153846
2 4 -5 => 2 0.115384615385
2 4 -5 => 5 0.615384615385
2 4 -5 => 7 0.0769230769231
2 4 -5 => 129 0.0384615384615
-8 0 4 => 7 1.0
-5 6 7 => -5 0.444444444444
-5 6 7 => -20 0.222222222222
-5 6 7 => 14 0.111111111111
-5 6 7 => -17 0.111111111111
-5 6 7 => 6 0.111111111111
0 -24 => 12 0.0526315789474
0 -24 => -20 0.105263157895
0 -24 => -5 0.263157894737
0 -24 => 0 0.105263157895
