4 0 => 3 0.5
4 0 => 5 0.5
19 15 => 14 1.0
19 23 => 8 0.5
19 23 => 26 0.5
-4 5 => 0 0.666666666667
-4 5 => -1 0.333333333333
4 1 => -5 0.142857142857
4 1 => -4 0.142857142857
4 1 => -1 0.285714285714
4 1 => -3 0.285714285714
4 1 => -2 0.142857142857
19 0 => 3 1.0
-8 -5 => 0 0.8
-8 -5 => -8 0.2
7 5 => 3 0.6875
7 5 => 4 0.3125
2 3 => 4 1.0
-1 3 => -1 1.0
3 8 => 3 0.333333333333
3 8 => -3 0.333333333333
3 8 => 7 0.333333333333
5 4 => 0 0.0909090909091
5 4 => 3 0.545454545455
5 4 => 2 0.363636363636
-4 -7 -9 => 11 0.142857142857
-4 -7 -9 => -5 0.285714285714
-4 -7 -9 => 0 0.142857142857
-4 -7 -9 => 3 0.142857142857
-4 -7 -9 => -12 0.142857142857
-4 -7 -9 => -2 0.142857142857
26 24 => 23 1.0
7 4 => 1 0.2
7 4 => 0 0.2
7 4 => 12 0.2
7 4 => 5 0.2
7 4 => -2 0.2
-4 -7 => -9 0.875
-4 -7 => -14 0.125
3 7 => -4 0.125
3 7 => 3 0.375
3 7 => 12 0.5
6 1 => -3 0.5
6 1 => -2 0.5
-3 2 => 6 1.0
3 -1 -2 => -1 1.0
0 8 => 14 1.0
9 7 => 11 0.166666666667
9 7 => 5 0.666666666667
9 7 => 6 0.166666666667
2 5 => -5 0.25
2 5 => 10 0.25
2 5 => 7 0.5
-8 -10 => -12 0.8
-8 -10 => -1 0.2
5 6 => 10 0.333333333333
5 6 => 7 0.666666666667
-2 -1 -3 => -6 1.0
-9 -11 => 1 0.333333333333
-9 -11 => 0 0.333333333333
-9 -11 => -2 0.333333333333
-2 => 10 0.02
-2 => -3 0.16
-2 => 0 0.02
-2 => 18 0.02
-2 => 3 0.08
-2 => -5 0.1
-2 => -10 0.06
-2 => -7 0.02
-2 => -6 0.06
-2 => -1 0.06
-2 => 7 0.04
-2 => 6 0.04
-2 => 8 0.02
-2 => 1 0.06
-2 => -8 0.02
-2 => -4 0.22
8 17 => 14 1.0
-2 -7 => -10 1.0
-7 -14 => -10 1.0
19 15 14 => 17 1.0
0 -4 => -5 0.4
0 -4 => 0 0.4
0 -4 => -6 0.2
-4 -13 => -14 1.0
11 9 => 7 1.0
21 19 17 => 16 1.0
12 => 11 0.311111111111
12 => 10 0.177777777778
12 => 15 0.155555555556
12 => 17 0.0666666666667
12 => 16 0.0888888888889
12 => 18 0.0222222222222
12 => -12 0.0222222222222
12 => 7 0.0666666666667
12 => 9 0.0444444444444
12 => 8 0.0444444444444
-5 -2 => 3 1.0
20 => 19 1.0
-5 => -11 0.0322580645161
-5 => 12 0.0322580645161
-5 => 0 0.161290322581
-5 => -7 0.225806451613
-5 => 1 0.0161290322581
-5 => -4 0.0645161290323
-5 => 3 0.0161290322581
-5 => -6 0.0967741935484
-5 => -1 0.0483870967742
-5 => -14 0.0322580645161
-5 => -2 0.0483870967742
-5 => -13 0.0806451612903
-5 => -9 0.0967741935484
-5 => -8 0.0322580645161
-5 => 4 0.0161290322581
-13 -12 => 12 1.0
2 7 => 11 0.4
2 7 => 2 0.4
2 7 => 12 0.2
8 4 => 1 0.5
8 4 => 7 0.5
3 4 => 5 1.0
10 8 => 7 0.888888888889
10 8 => 17 0.111111111111
-3 -2 => 0 0.333333333333
-3 -2 => -1 0.666666666667
31 => 29 0.571428571429
31 => 35 0.142857142857
31 => 36 0.285714285714
0 -2 -4 => -5 1.0
29 => 27 0.5
29 => 28 0.5
5 -5 => -2 1.0
-9 -7 => 13 1.0
-8 -9 => -11 0.2
-8 -9 => -10 0.8
-3 6 => 3 1.0
3 13 => 11 1.0
12 11 => 9 0.285714285714
12 11 => 8 0.285714285714
12 11 => 7 0.0714285714286
12 11 => 10 0.357142857143
-1 -4 -7 -9 => 3 1.0
-4 -5 => -13 0.0666666666667
-4 -5 => -6 0.4
-4 -5 => -2 0.0666666666667
-4 -5 => -7 0.4
-4 -5 => 4 0.0666666666667
-8 1 => -2 1.0
5 -1 -4 => -2 1.0
13 8 => 5 1.0
-13 => -10 0.5
-13 => -5 0.0833333333333
-13 => -4 0.0833333333333
-13 => -12 0.0833333333333
-13 => -1 0.0833333333333
-13 => -14 0.0833333333333
-13 => -9 0.0833333333333
4 9 => 4 1.0
-1 -5 => -4 1.0
11 5 => 2 1.0
-4 -7 -9 -5 => -14 1.0
3 0 => -5 0.142857142857
3 0 => 1 0.142857142857
3 0 => 3 0.142857142857
3 0 => -6 0.285714285714
3 0 => -2 0.285714285714
-13 -5 => -7 1.0
-8 -9 -10 => -11 0.75
-8 -9 -10 => -12 0.25
14 12 => 11 0.6
14 12 => 10 0.266666666667
14 12 => 15 0.0666666666667
14 12 => 8 0.0666666666667
-6 1 => 4 1.0
13 11 => 8 1.0
-14 -5 => -11 1.0
9 4 => 2 1.0
-6 -9 -10 => -3 1.0
10 7 3 => -2 1.0
-14 14 => 10 1.0
3 -1 -3 => 6 1.0
2 0 -1 => -4 0.444444444444
2 0 -1 => 2 0.111111111111
2 0 -1 => -3 0.444444444444
6 2 => 5 0.5
6 2 => 7 0.5
-6 3 => 0 1.0
17 16 => 12 0.2
17 16 => 14 0.8
-1 -4 -7 => -9 1.0
-5 -7 => -10 0.0714285714286
-5 -7 => -9 0.571428571429
-5 -7 => -8 0.285714285714
-5 -7 => -4 0.0714285714286
-2 8 => 5 1.0
3 -3 => -4 1.0
9 8 7 => 6 1.0
16 => 19 0.444444444444
16 => 12 0.111111111111
16 => 14 0.444444444444
3 7 12 => 15 1.0
-1 => -5 0.02
-1 => -4 0.18
-1 => -7 0.04
-1 => 1 0.02
-1 => 0 0.04
-1 => 3 0.02
-1 => -6 0.04
-1 => 8 0.04
-1 => -3 0.2
-1 => -2 0.24
-1 => 2 0.16
-3 -1 => -3 1.0
16 19 24 => 28 0.75
16 19 24 => 23 0.25
-10 -3 => -6 1.0
-13 -9 => -4 1.0
-9 -4 -5 => -13 1.0
0 -2 => -4 0.285714285714
0 -2 => 10 0.142857142857
0 -2 => -3 0.285714285714
0 -2 => 7 0.142857142857
0 -2 => -10 0.142857142857
35 => 33 0.5
35 => 12 0.5
4 2 => 0 0.8
4 2 => 6 0.2
10 9 => 8 0.857142857143
10 9 => 7 0.142857142857
11 => 10 0.214285714286
11 => 12 0.0714285714286
11 => 14 0.178571428571
11 => 5 0.0357142857143
11 => 7 0.0714285714286
11 => 6 0.0714285714286
11 => 9 0.142857142857
11 => 8 0.214285714286
-4 -8 => -10 0.5
-4 -8 => -1 0.5
-8 => -5 0.192307692308
-8 => -10 0.192307692308
-8 => -11 0.153846153846
-8 => -4 0.0769230769231
-8 => -7 0.0769230769231
-8 => -12 0.0384615384615
