34 => 33 1.0
24 => 26 0.1875
24 => 16 0.0625
24 => 23 0.75
7 6 => 7 1.0
33 26 => 33 1.0
26 => 33 0.0909090909091
26 => 24 0.636363636364
26 => 31 0.0909090909091
26 => 27 0.0909090909091
26 => 29 0.0909090909091
12 => -5 0.5
12 => 16 0.5
14 => 12 1.0
-5 => 0 0.47619047619
-5 => 2 0.047619047619
-5 => -1 0.285714285714
-5 => 4 0.142857142857
-5 => -3 0.047619047619
-5 4 => 5 0.333333333333
-5 4 => 7 0.666666666667
0 => 4 1.0
16 => 19 0.428571428571
16 => 12 0.571428571429
2 => 5 1.0
2 5 -5 => 4 1.0
-1 => 5 1.0
7 5 => -5 1.0
4 => -5 0.666666666667
4 => 19 0.0666666666667
4 => 5 0.133333333333
4 => 7 0.133333333333
23 24 => 26 0.333333333333
23 24 => 23 0.666666666667
-3 => -5 0.333333333333
-3 => 2 0.666666666667
31 => 33 0.166666666667
31 => 29 0.666666666667
31 => 35 0.166666666667
5 4 => 19 0.5
5 4 => 5 0.5
19 21 => 23 1.0
33 => 31 0.6
33 => 26 0.2
33 => 34 0.2
-3 -5 => 0 1.0
0 4 => -5 1.0
21 19 => 16 1.0
23 24 23 24 => 26 1.0
29 => 26 0.125
29 => 28 0.875
5 => -5 0.692307692308
5 => 4 0.153846153846
5 => -3 0.153846153846
16 19 => 17 1.0
35 => 33 1.0
5 -5 => 0 0.555555555556
5 -5 => -1 0.333333333333
5 -5 => 4 0.111111111111
29 26 => 31 1.0
31 33 => 34 1.0
7 6 7 => 9 1.0
5 -5 4 => 5 1.0
-1 5 => -5 1.0
27 => 28 1.0
4 5 => 4 1.0
26 31 => 35 1.0
19 => 21 0.333333333333
19 => 17 0.333333333333
19 => 16 0.333333333333
21 => 19 0.333333333333
21 => 17 0.333333333333
21 => 23 0.333333333333
34 33 => 26 1.0
17 => 29 0.5
17 => 14 0.5
19 16 => 19 1.0
23 => 24 0.6
23 => 21 0.4
27 28 => 31 1.0
-5 2 => 5 1.0
2 5 => -5 0.333333333333
2 5 => -3 0.666666666667
23 24 23 => 24 0.5
23 24 23 => 21 0.5
9 => 6 1.0
7 => 9 0.25
7 => 5 0.5
7 => 6 0.25
4 19 => 21 1.0
6 => 7 1.0
-5 2 5 => -5 1.0
28 => 33 0.111111111111
28 => 26 0.666666666667
28 => 31 0.222222222222
12 -5 => 0 1.0
7 5 -5 => 0 1.0
