-12|-5.-1	-5|-12.-5.-1	1.0
-5|-17.-3.0	-1|-5	1.0
2|-22	6|2.-22	1.0
9|-22	14|	1.0
-1|0	-10|-1.0	1.0
-1|0	-3|-1	0.25
2|7	-1|2	1.0
0|	-22|0	1.0
0|	4|0	1.0
0|	-6|	0.109090909091
0|	-8|	0.218181818182
0|	2|0	0.428571428571
0|	-1|0	0.75
0|	-3|0	1.0
0|	6|0	1.0
0|	-17|0	1.0
0|	-5|0	1.0
0|	-10|0	0.444444444444
0|	129|	0.0181818181818
-1|	-17|	0.0222222222222
-1|	7|-1	1.0
-1|	-10|-1	0.0526315789474
-1|	-3|-1	1.0
-1|	2|-1	0.5
-1|	-5|-1	1.0
0|-5	4|0	0.25
0|-5	-8|0.-5	1.0
0|-5	-22|0	0.25
-10|7	-3|-10	1.0
-8|-15	1|	1.0
4|0	7|4	1.0
-3|-10	-10|-3	0.25
-3|-10	6|-3	0.75
9|	-3|9	1.0
9|	14|	0.333333333333
9|	2|9	1.0
-10|-1	-12|-10	0.157894736842
-10|-1	-22|-10	0.157894736842
-10|-1	-1|-10	0.473684210526
-10|-1	-13|	0.157894736842
-10|-1	-5|-10	0.0526315789474
-10|-5	-17|-10	1.0
-3|-1	-5|-3	1.0
0|7	2|0	1.0
0|-3.-22	2|0	1.0
1|	7|1	1.0
1|	-8|1	1.0
-17|-10	-10|-17	1.0
-5|4	-12|-5	0.4
-5|4	-17|	0.6
2|-5	-5|2	1.0
-22|-10	-10|-22	1.0
-10|-22	-6|-10	0.285714285714
-10|-22	-1|-10	0.142857142857
-10|-22	-3|-10	0.142857142857
-10|-22	0|-10	0.428571428571
2|-1.-17	7|2	1.0
-5|2.-1	-1|-5	1.0
-22|-3	-3|-22	1.0
2|-17	0|2	1.0
6|2.0	2|6	1.0
0|4	-5|0	1.0
-8|	-10|-8	1.0
-8|	0|-8	1.0
-8|	-17|-8	0.5
-8|	1|	0.047619047619
-8|	-22|-8	1.0
-8|	-12|	0.047619047619
-8|	-5|-8	1.0
-17|	-1|-17	1.0
-17|	-10|-17	0.142857142857
-17|	-5|-17	0.8125
-17|	2|-17	1.0
0|-6	129|	0.25
0|-6	-17|0	0.25
0|-6	-10|0.-6	1.0
6|2.-22	9|6	1.0
-5|-8	0|-5	1.0
-3|	6|-3	1.0
-3|	-17|	0.12
-3|	0|-3	0.25
-3|	7|-3	1.0
-3|	-5|-3	1.0
-3|	-22|-3	1.0
-3|	2|-3	0.857142857143
-3|	1|	0.04
-3|	-10|-3	0.5
-3|	-15|	0.04
6|	2|6	1.0
6|	-17|	0.142857142857
6|	0|6	1.0
6|	9|6	1.0
6|	-3|6	0.5
6|	-22|6	1.0
-8|1	-10|-8	1.0
-5|-17.14	-1|-5	1.0
-3|-22	2|-3	0.75
-3|-22	6|-3	0.125
-3|-22	0|-3.-22	1.0
-17|129	-10|-17	1.0
4|7	0|4	1.0
-17|7	-5|-17.7	1.0
2|-3	6|2.-3	1.0
2|-3	-3|2	0.857142857143
-3|0	-17|-3.0	1.0
-3|2	-22|-3	0.666666666667
-3|2	-17|	0.333333333333
-17|14	-5|-17.14	1.0
-10|-8	-22|-10	1.0
-12|2	-8|	1.0
-10|0.-6	-6|-10	1.0
-5|-10	-10|-5	0.5
-5|-10	-1|-5.-10	1.0
-22|0	-6|	1.0
-22|	-10|-22	0.428571428571
-22|	2|-22	1.0
-22|	9|-22	1.0
-22|	-6|	0.075
-22|	-3|-22	0.125
-22|-5.0	-3|-22.-5.0	1.0
0|-3	-6|	0.5
0|-3	2|0	0.25
0|-3	-1|0	0.25
-5|	0|-5	0.5
-5|	-10|-5	1.0
-5|	4|	0.102040816327
-5|	-12|-5	1.0
-5|	-17|	0.204081632653
-5|	-1|-5	0.789473684211
-5|	2|-5	1.0
-5|	-22|	0.0884353741497
7|2	2|7	0.5
7|2	0|7	0.5
-3|9	1|	1.0
-10|-1.0	-13|	1.0
0|-10	-10|0	1.0
6|2.9	-22|6	1.0
4|	7|4	1.0
4|	-5|4	0.4
4|	0|4	1.0
-6|-10	-3|-6.-10	1.0
-6|-10	0|-6	0.75
7|-3	-3|7	1.0
-5|2	-17|	0.4375
-5|2	-1|-5	0.1875
-5|2	-12|-5	0.1875
-5|2	-22|	0.1875
-6|	0|-6	0.5
-6|	-3|-6	0.9
-10|	-22|-10	1.0
-10|	-6|-10	0.75
-10|	-1|-10	1.0
-10|	-17|-10	1.0
-10|	-12|-10	1.0
-10|	-3|-10	0.25
-10|	-13|	0.0612244897959
-10|	-5|-10	0.5
-10|	0|-10	1.0
-10|	129|	0.0408163265306
-10|	-15|	0.0204081632653
-1|-5	7|-1	0.157894736842
-1|-5	2|-1	0.789473684211
-1|-5	-17|	0.0526315789474
-8|-12.-10	0|-8	1.0
-3|-22.-5.0	0|-3.-22	1.0
0|-8	-8|0.-8	0.333333333333
2|-1	-5|2.-1	1.0
2|-1	7|2	0.333333333333
2|-1	-12|2	0.166666666667
-12|-10	-8|-12.-10	1.0
6|-3	-3|6	1.0
0|2	2|0	0.2
0|2	-1|0	0.2
0|2	-3|0	0.6
-5|-17	2|-5	0.8125
-5|-17	-1|-5	0.1875
9|2	-3|9	1.0
-17|-3.0	-5|-17.-3.0	1.0
-3|-6.-10	-10|-3	1.0
7|	-17|7	1.0
7|	-10|7	1.0
7|	-3|7	1.0
7|	2|7	1.0
7|	0|7	1.0
7|	4|7	1.0
-10|-3	129|	0.5
-10|-3	-15|	0.5
-1|-10	-10|-1	1.0
-13|	-17|	1.0
-12|-5	-5|-12	1.0
-5|-1	-12|-5.-1	1.0
2|-3.6	6|2.-3	1.0
2|9	6|2.9	1.0
2|0	9|2	0.428571428571
2|0	6|2.0	1.0
2|0	0|2	0.142857142857
7|-1	-17|7	1.0
-5|-12	0|-5.-12	1.0
-5|-12	4|	0.833333333333
-8|0.-8	0|-8	0.333333333333
-8|0.-8	-17|-8	0.333333333333
-8|0.-8	-22|-8	0.166666666667
-8|0.-8	-12|	0.166666666667
-5|-17.7	-1|-5	1.0
14|	-17|14	1.0
-3|-6	-10|-3	0.1
-3|-6	0|-3	0.9
-5|0	-22|-5.0	1.0
2|	-3|2	0.666666666667
2|	7|2	0.5
2|	6|	0.122448979592
2|	0|2	0.2
2|	9|2	1.0
2|	-5|2	0.1875
2|	-1|2	1.0
2|	-12|2	1.0
129|	-17|129	1.0
129|	-6|	0.25
129|	-1|	0.25
0|6	6|0	1.0
-5|-12.-5.-1	0|-5.-12	1.0
-1|2	-5|-1	1.0
6|2.-3	0|6	1.0
-5|-3	-22|	1.0
-17|0	-10|-17	1.0
-8|0.-5	-5|-8	1.0
-12|	-5|-12	0.166666666667
-12|	-8|	0.28
-3|6	2|-3.6	1.0
-3|6	-15|	0.5
-1|-17	2|-1.-17	1.0
-10|-17	-5|-10	0.142857142857
-10|-17	-1|-10	0.714285714286
-10|-17	129|	0.142857142857
-17|-8	2|-17	0.5
-17|-8	-10|-17	0.5
-22|6	9|-22	1.0
-1|-5.-10	-17|	1.0
9|6	2|9	1.0
-10|0	-6|-10	0.222222222222
-10|0	0|-10	0.444444444444
-10|0	-17|-10	0.222222222222
-10|0	-22|-10	0.111111111111
2|6	0|2	1.0
