24 => 19 0.2
24 => 0 0.2
24 => 12 0.2
24 => 27 0.2
24 => 23 0.2
4 -5 => 0 0.142857142857
4 -5 => 2 0.285714285714
4 -5 => 5 0.285714285714
4 -5 => 7 0.285714285714
5 7 5 => 7 1.0
0 -1 => 0 1.0
7 2 => 0 1.0
0 7 => -5 0.222222222222
0 7 => 5 0.111111111111
0 7 => 4 0.666666666667
0 => 12 0.0851063829787
0 => -5 0.265957446809
0 => 3 0.0106382978723
0 => 2 0.0531914893617
0 => 5 0.0425531914894
0 => 4 0.244680851064
0 => 7 0.0957446808511
0 => 9 0.0957446808511
0 => -1 0.0957446808511
0 => -12 0.0106382978723
16 => 12 0.0434782608696
16 => 15 0.0434782608696
16 => 14 0.260869565217
16 => 17 0.130434782609
16 => 19 0.304347826087
16 => 4 0.0869565217391
16 => 7 0.130434782609
-1 => -5 0.375
-1 => 0 0.375
-1 => 2 0.25
-5 0 => -5 0.230769230769
-5 0 => 3 0.0769230769231
-5 0 => 12 0.0769230769231
-5 0 => 4 0.615384615385
4 5 => 4 0.285714285714
4 5 => -3 0.285714285714
4 5 => 7 0.428571428571
23 24 => 27 1.0
19 7 => 17 1.0
19 => 24 0.166666666667
19 => 21 0.166666666667
19 => 17 0.388888888889
19 => 16 0.111111111111
19 => 18 0.111111111111
19 => 7 0.0555555555556
-1 -5 0 => -5 1.0
0 4 => -5 0.0869565217391
0 4 => 0 0.304347826087
0 4 => 3 0.0434782608696
0 4 => 2 0.0869565217391
0 4 => 7 0.434782608696
0 4 => -8 0.0434782608696
9 => 11 0.0333333333333
9 => 0 0.266666666667
9 => 12 0.133333333333
9 => 5 0.333333333333
9 => 7 0.233333333333
4 2 => 0 0.615384615385
4 2 => 4 0.384615384615
16 12 => 7 1.0
11 => 9 0.454545454545
11 => 12 0.363636363636
11 => 14 0.181818181818
5 12 => 0 1.0
-8 => -5 0.666666666667
-8 => -12 0.333333333333
-1 -5 4 => 0 0.75
-1 -5 4 => 7 0.25
-7 0 => -12 1.0
11 9 => 7 1.0
19 16 => 12 0.5
19 16 => 14 0.5
12 16 => 19 0.428571428571
12 16 => 15 0.142857142857
12 16 => 4 0.142857142857
12 16 => 7 0.285714285714
-5 2 => -5 0.2
-5 2 => -7 0.2
-5 2 => -1 0.6
4 3 => 4 1.0
14 19 => 17 1.0
5 -5 2 => -5 1.0
4 -5 2 => -7 1.0
7 -5 => 0 0.4
7 -5 => 5 0.2
7 -5 => 4 0.4
18 => 19 1.0
6 7 12 => 11 1.0
9 12 => 11 0.5
9 12 => 0 0.5
4 14 => 12 1.0
4 0 => 12 0.0277777777778
4 0 => -5 0.611111111111
4 0 => 2 0.0277777777778
4 0 => 5 0.0555555555556
4 0 => 4 0.166666666667
4 0 => 7 0.0833333333333
4 0 => 9 0.0277777777778
16 4 => 7 1.0
2 7 => 5 1.0
26 => 24 1.0
6 7 => 9 0.5
6 7 => 12 0.5
2 0 7 => 5 1.0
16 14 => 12 0.666666666667
16 14 => 16 0.333333333333
11 14 => 19 1.0
24 12 => 2 1.0
12 0 => 9 0.4
12 0 => 5 0.4
12 0 => 4 0.2
-8 -5 => 0 1.0
9 5 => 9 0.2
9 5 => 0 0.5
9 5 => 7 0.3
5 7 12 => 9 1.0
7 5 => 3 0.0909090909091
7 5 => 2 0.0909090909091
7 5 => 4 0.727272727273
7 5 => 7 0.0909090909091
-1 0 4 0 => 4 1.0
-3 => -5 1.0
6 => 7 1.0
7 -5 4 0 => 5 1.0
7 14 => 5 1.0
-1 -5 4 0 => -5 1.0
26 24 => 23 1.0
7 4 => -5 0.222222222222
7 4 => 0 0.5
7 4 => 2 0.222222222222
7 4 => 9 0.0555555555556
3 7 => 3 0.666666666667
3 7 => 5 0.333333333333
3 7 5 => 3 1.0
9 0 7 => -5 1.0
-5 0 -5 => -8 1.0
27 => 28 1.0
-1 -5 4 0 -5 => 7 1.0
12 2 => 0 1.0
7 17 => 7 1.0
9 7 => 2 0.285714285714
9 7 => 5 0.428571428571
9 7 => 4 0.142857142857
9 7 => 6 0.142857142857
16 7 => 12 0.333333333333
16 7 => 14 0.666666666667
-1 0 => 9 0.222222222222
-1 0 => 2 0.444444444444
-1 0 => 4 0.333333333333
7 => 11 0.0327868852459
7 => 12 0.16393442623
7 => 14 0.0327868852459
7 => 17 0.016393442623
7 => 16 0.016393442623
7 => -5 0.0819672131148
7 => 3 0.0655737704918
7 => 2 0.0327868852459
7 => 5 0.180327868852
7 => 4 0.295081967213
7 => 6 0.0327868852459
7 => 9 0.0491803278689
5 9 => 12 1.0
-5 7 4 => -5 0.8
-5 7 4 => 0 0.2
-5 -8 => -12 1.0
0 9 => 0 0.222222222222
0 9 => 5 0.777777777778
2 12 => 8 1.0
28 => 31 0.5
28 => 26 0.5
8 7 => 3 1.0
7 12 => 9 0.1
7 12 => 0 0.2
7 12 => 16 0.6
7 12 => 11 0.1
14 16 => 14 0.333333333333
14 16 => 17 0.666666666667
12 => 11 0.216216216216
12 => 15 0.027027027027
12 => 14 0.0810810810811
12 => 16 0.189189189189
12 => 0 0.135135135135
12 => 2 0.0540540540541
12 => 7 0.027027027027
12 => 9 0.216216216216
12 => 8 0.0540540540541
12 16 19 => 24 0.666666666667
12 16 19 => 7 0.333333333333
-5 => 12 0.0149253731343
-5 => 0 0.194029850746
-5 => 2 0.149253731343
-5 => -1 0.119402985075
-5 => 4 0.328358208955
-5 => 7 0.0746268656716
-5 => 5 0.044776119403
-5 => -6 0.0298507462687
-5 => -8 0.044776119403
-1 2 => 0 0.333333333333
-1 2 => 5 0.333333333333
-1 2 => 7 0.333333333333
2 0 4 => 2 0.4
2 0 4 => -8 0.2
2 0 4 => 7 0.4
3 4 => 7 1.0
5 0 => 9 0.4
5 0 => 7 0.6
12 14 => 7 0.666666666667
12 14 => 16 0.333333333333
4 => 14 0.0235294117647
4 => -5 0.0823529411765
4 => 0 0.423529411765
4 => 3 0.0117647058824
4 => 2 0.152941176471
4 => 5 0.0823529411765
4 => 7 0.188235294118
4 => 9 0.0117647058824
4 => -8 0.0235294117647
17 19 => 21 0.666666666667
17 19 => 17 0.333333333333
3 4 7 => 6 1.0
2 -5 => 0 0.166666666667
2 -5 => -1 0.333333333333
2 -5 => 4 0.5
19 21 => 19 0.666666666667
19 21 => 23 0.333333333333
7 4 0 => 9 0.111111111111
7 4 0 => 2 0.111111111111
7 4 0 => 12 0.111111111111
7 4 0 => 4 0.333333333333
7 4 0 => 7 0.333333333333
31 => 29 1.0
-5 -1 => -5 0.25
-5 -1 => 2 0.75
14 7 => 11 1.0
29 => 28 1.0
0 7 5 => 2 1.0
-5 -1 -5 => -1 1.0
15 16 => 19 1.0
7 9 => 11 0.333333333333
7 9 => 7 0.666666666667
9 0 => 9 0.25
9 0 => 12 0.5
9 0 => 7 0.25
-1 0 4 => 0 0.666666666667
-1 0 4 => 3 0.333333333333
0 5 => 9 0.5
0 5 => -5 0.5
2 0 => 12 0.117647058824
2 0 => -1 0.529411764706
2 0 => 4 0.294117647059
2 0 => 7 0.0588235294118
15 => 16 1.0
2 5 => -5 1.0
