-11|129	-24|-11.129	1.0
-9|	-20|-9	1.0
-9|	-24|-9	0.5625
-18|-20	-24|-18	1.0
-24|-11	-18|-24	0.0697674418605
-24|-11	-20|-24	0.0232558139535
-24|-11	-14|-24	0.581395348837
-24|-11	-9|-24	0.302325581395
-24|-11	-11|-24	0.0232558139535
-24|-14	-14|-24	1.0
-24|-9	-11|-24	0.5625
-24|-9	-20|-24	0.4375
-20|129	-19|	1.0
-20|-19	-19|	0.666666666667
-20|-19	129|	0.333333333333
-24|-11.129	-18|-24	1.0
-20|-14	-14|-20	0.431818181818
-20|-14	-11|	0.568181818182
-20|-9	-11|	1.0
129|	-11|129	1.0
129|	-20|129	1.0
-14|-20	-24|-14	1.0
-11|-24	-9|-11.-24	1.0
-11|-24	-20|	0.111111111111
-11|-24	129|	0.111111111111
-24|-11.-20.-24	-18|-24	0.125
-24|-11.-20.-24	-9|-24	0.75
-24|-11.-20.-24	-11|-24	0.125
-14|-24	-20|-14	0.936170212766
-14|-24	-11|	0.063829787234
-20|-18	-14|-20	0.0833333333333
-20|-18	-18|-20	0.916666666667
-18|	-24|-18	1.0
-18|	-20|-18	0.916666666667
-9|-11.-24	-20|-9	1.0
-24|-18	-18|-24	1.0
-18|-24	-20|-18	1.0
-14|	-20|-14	0.568181818182
-14|	-24|-14	1.0
-14|	-11|	0.0434782608696
-24|-9.-24	-20|-24	1.0
-11|-20.-24	-24|-11.-20.-24	0.125
-9|-24	-20|-9	0.461538461538
-9|-24	-24|-9.-24	1.0
-19|	-11|	0.142857142857
-19|	-20|-19	0.666666666667
-20|-24	-11|-20.-24	1.0
-24|	-18|-24	1.0
-24|	-20|-24	1.0
-24|	-9|-24	0.538461538462
-24|	-14|-24	0.063829787234
-24|	-11|-24	0.111111111111
-11|	-24|-11	0.0232558139535
-11|	-20|	0.016393442623
-11|	129|	0.016393442623
-11|	-9|	0.262295081967
-20|	-14|-20	1.0
-20|	-18|-20	1.0
-20|	-11|	0.423423423423
-20|	-19|	0.0630630630631
-20|	129|	0.018018018018
