-12|	-19|	0.0178571428571
-12|	-3|	0.169642857143
-3|-12.-3	-10|-3	0.333333333333
-3|-12.-3	-19|	0.666666666667
-10|-17	-13|-10	0.0625
-10|-17	-12|-10	0.03125
-10|-17	-17|	0.34375
-10|-17	-16|	0.125
-10|-17	-15|	0.4375
-17|-8	-7|-17.-8	1.0
-17|-8	-10|-17	0.5
-10|0	0|	1.0
-15|-19	-10|-15.-19	0.333333333333
-13|-10	-5|-13.-10	1.0
-8|-16	-15|-8	1.0
-17|-10.-19	-10|-17	0.0714285714286
-17|-10.-19	-7|	0.714285714286
-17|-10.-19	-8|-17	0.214285714286
-13|-17	-10|-13	0.285714285714
-13|-17	-7|-13	0.714285714286
-7|-5	-8|-7	1.0
-15|	-8|-15	0.166666666667
-15|	-10|-15	0.125
-15|	-5|-15	1.0
