-33|-12.-31	-12|-33.-12.-31	0.666666666667
-31|-33	-29|	1.0
-12|-31.-34	-31|	0.5
-12|-31.-34	129|	0.5
-12|-33.-12.-31	-31|-12.-33.-12.-31	1.0
-12|-33.-12.-31	-33|	0.666666666667
-12|-31	-33|-12.-31	1.0
-12|-31	-29|	0.0555555555556
-12|-31	-34|	0.0555555555556
-12|-31	-31|	0.694444444444
-12|-31	129|	0.0277777777778
-12|129	-29|	1.0
-12|-29	-31|	1.0
-33|-31	-31|-33	1.0
-29|	-31|	0.2
-29|	-12|-29	1.0
-34|	-31|-34	1.0
-31|-34	-12|-31.-34	0.5
-33|	-12|	0.9
-33|	-31|-33	1.0
-33|	-15|	0.0333333333333
-12|-15	-33|	1.0
-31|-12.-33.-12.-31	-33|-31	1.0
-12|	-29|	0.0428571428571
-12|	-34|	0.0285714285714
-12|	-31|	0.514285714286
-12|	129|	0.0142857142857
-12|	-33|	0.4
-31|	-12|-31	0.0277777777778
-31|	-33|-31	1.0
-31|	-29|	0.047619047619
-31|	129|	0.0238095238095
129|	-12|129	1.0
129|	-31|	0.333333333333
129|	-15|	0.333333333333
-15|	-12|-15	1.0
