-17|-3	2|-17.-3	1.0
2|-22	-17|	0.25
2|-22	-10|	0.75
-5|-20	-1|-5	1.0
2|-7	-17|2.-7	1.0
2|-7	-7|	0.8
0|	-12|0	0.333333333333
0|	-3|	0.025
0|	6|0	1.0
0|	-24|	0.075
0|	2|0	0.857142857143
0|	-27|	0.05
0|	129|0	1.0
0|	-8|0	0.8
0|	-5|0	0.5
0|	-15|	0.1
-24|-7	0|-24	0.5
-24|-7	-8|-24	0.5
-8|-1.-5	4|-8	1.0
-5|-1.-17	-6|-5	1.0
-1|	-25|-1	1.0
-1|	7|-1	0.8
-1|	-20|-1	0.333333333333
-1|	4|-1	0.166666666667
-1|	0|-1	0.333333333333
-1|	-13|-1	0.8
-1|	-8|-1	0.333333333333
-1|	-27|	0.0172413793103
-1|	2|-1	0.692307692308
-1|	-3|-1	1.0
-1|	-5|-1	0.0833333333333
0|-5	2|0	0.5
0|-5	-8|0	0.0833333333333
0|-5	-24|	0.0833333333333
0|-5	6|0	0.0833333333333
0|-5	-5|0	0.25
-1|-8	-5|-1.-8	1.0
-1|-8	-8|-1	0.333333333333
0|-12	-24|	0.2
0|-12	-12|0	0.8
-3|4.-1	-27|	1.0
-8|4	4|-8	0.75
-8|4	2|-8	0.25
-20|129	129|-20	1.0
-27|	0|-27	0.25
-27|	-3|-27	1.0
-27|	4|-27	1.0
-1|2.-20	4|-1	1.0
2|4	-25|2	0.333333333333
2|4	-5|2	0.333333333333
2|4	-1|2	0.333333333333
129|4	4|129	1.0
-5|-1.-20	-1|-5	1.0
-3|-1	-27|	1.0
0|7	-5|0	1.0
129|-17	6|129	1.0
-1|2.-25	-20|-1	1.0
-1|2.-1	-8|-1	0.25
-1|2.-1	0|-1	0.75
-17|-10	-1|-17	1.0
-5|4	-1|-5	0.333333333333
-5|4	7|	0.666666666667
2|-5	-17|	1.0
-5|-1.2	-17|-5	1.0
-10|-22	2|-10.-22	1.0
4|-1	129|4	0.166666666667
4|-1	-3|4.-1	1.0
4|-1	-8|4	0.666666666667
-3|-27	4|-3	1.0
-22|-3	6|	0.5
-22|-3	2|-22	0.5
2|-17	-24|2	0.1
2|-17	-10|2.-17	1.0
2|-17	-17|2.-17	0.142857142857
2|-17	-7|	0.1
-25|-1	-13|-25	1.0
129|0	-3|	1.0
-20|	-1|-20	0.333333333333
-20|	-6|	0.2
-20|	129|-20	1.0
-20|	2|-20	1.0
-20|	-5|-20	1.0
-20|	-8|-20	0.666666666667
-13|-25	-1|-13	1.0
-32|	-20|-32	1.0
-32|	-5|-32	1.0
2|-25	-1|2.-25	1.0
2|-25	-20|2	0.571428571429
-24|2	4|-24	1.0
-10|2.-10.-22	7|-10	0.2
-10|2.-10.-22	-12|	0.2
-10|2.-10.-22	0|-10	0.6
6|7	4|6	1.0
-17|	-1|-17	0.2
-17|	129|-17	1.0
-17|	2|-17	0.1
-17|	-29|	0.0833333333333
-17|	-10|	0.0416666666667
-17|	-7|	0.208333333333
-8|0	-22|	0.2
-8|0	-5|-8	0.8
-8|-1	0|-8	0.166666666667
-8|-1	-1|-8	0.166666666667
-8|-1	4|-8	0.333333333333
-8|-1	-5|-8.-1	1.0
4|-5	-1|4	0.5
4|-5	-5|4	0.5
2|-20	-1|2.-20	1.0
-17|-29	2|-17	1.0
-6|-5	-5|-6	1.0
-25|6	6|-25	1.0
-10|-15	2|-10.-15	1.0
-5|-8	0|-5	0.7
-5|-8	-8|-5	0.1
-5|-8	4|-5	0.2
-12|0	-24|	0.333333333333
-12|0	-1|-12	0.666666666667
-17|2.-17	2|-17	0.857142857143
-17|2.-17	-10|	0.142857142857
-3|	-17|-3	1.0
-3|	6|	0.2
-3|	-22|-3	0.5
-3|	2|-3	0.5
-3|	-27|	0.1
-3|	-7|	0.05
-3|	4|-3	1.0
6|	2|6	1.0
6|	-3|6	0.2
6|	-25|6	1.0
6|	-22|6	1.0
6|	4|6	0.5
129|-20	-6|	1.0
0|-10	-24|	0.333333333333
0|-10	-12|0	0.666666666667
6|-3.4	-22|6	1.0
