9|7	11|9	0.375
0|9	9|0	0.5
0|9	7|0	0.5
4|5.2	-3|4	1.0
0|2	2|0	0.3
0|2	-8|0	0.1
0|2	7|0	0.2
0|2	-1|	0.4
-7|-2	-2|	0.75
-7|-2	-3|-7	0.25
2|5	0|2	0.666666666667
2|5	-1|2	0.333333333333
12|11	11|	0.4
12|11	0|12	0.2
12|11	-8|12	0.3
12|11	9|	0.1
5|	4|5	0.7
5|	2|5	0.666666666667
5|	7|5	1.0
5|-3	2|5	1.0
-7|-8	-10|-7	0.333333333333
-7|-8	-8|-7	0.666666666667
7|12	12|7	0.5
7|12	4|7.12	1.0
-10|-3	-6|	0.5
-10|-3	-1|-10	0.5
-1|-10	-6|	0.166666666667
-1|-10	-10|	0.833333333333
12|17	14|	1.0
-5|-6	2|-5	1.0
7|9.7	12|7	0.4
7|9.7	17|	0.6
-13|	-8|-13	0.75
-13|	4|-13	1.0
9|4	4|9	1.0
2|0	4|2	0.8
2|0	-1|2	0.2
9|11.12.-3	12|	1.0
14|	12|14	0.875
-3|-6	-10|-3	0.333333333333
-3|-6	-5|-3	0.666666666667
4|7.2	12|4	1.0
-7|	-3|-7	1.0
-7|	-2|	0.125
-7|	-10|-7	1.0
-7|	-5|-7	0.333333333333
-7|	-8|-7	0.111111111111
-7|	2|-7	1.0
-5|0	0|-5	0.375
-5|0	-8|-5	0.25
-5|0	-3|-5	0.375
2|	5|2	1.0
2|	-1|2	0.666666666667
2|	0|2	0.3
2|	12|2	1.0
2|	11|2	0.5
2|	-6|	0.0344827586207
2|	7|2	1.0
2|	4|2	0.4
12|14	14|	0.125
12|14	11|	0.875
11|9	14|	0.222222222222
11|9	12|11	0.777777777778
-1|0.-3	-3|-1	1.0
0|-1.2	-12|	1.0
-1|2	0|-1.2	1.0
-1|2	2|-1	0.333333333333
-5|-3	0|-5	0.333333333333
-5|-3	7|-5	0.333333333333
-5|-3	-1|	0.333333333333
12|4	11|12.4	1.0
7|-5	4|7	1.0
-12|	-1|-12	1.0
-12|	-8|-12	0.142857142857
-12|	-6|	0.111111111111
-8|	0|-8	0.166666666667
-8|	16|-8	1.0
