-3|-1.-5.-29	-5|-3.-1.-5.-29	1.0
2|5	-1|2	1.0
2|-22	4|2	1.0
-1|0	-12|-1	0.333333333333
-1|0	-19|-1	0.666666666667
-5|-3.-29	-7|-5	1.0
0|	-24|0	0.25
0|	2|0	0.5
0|	-8|0	0.833333333333
0|	-1|0	0.666666666667
0|	4|0	0.142857142857
0|	-19|0	1.0
0|	-3|0	1.0
0|	-4|	0.0246913580247
0|	-5|0	0.285714285714
0|	129|	0.0246913580247
-29|4.-29	2|-29.4.-29	1.0
-1|	0|-1	0.230769230769
-1|	7|	0.0333333333333
-1|	-19|-1	1.0
-1|	4|-1	1.0
-1|	5|-1	1.0
-1|	-8|-1	1.0
-1|	-12|-1	1.0
-1|	2|-1	1.0
-1|	-29|-1	0.166666666667
-1|	-3|-1	1.0
0|-5	-24|0	0.291666666667
0|-5	-8|0	0.25
0|-5	4|0.-5	0.333333333333
0|-5	-5|0	0.125
0|-5	129|	0.0833333333333
-1|-3	0|-1	1.0
-29|-1.-5	-5|-29	1.0
0|-19	-3|0	1.0
4|0.-5	-8|	0.333333333333
4|0.-5	7|	0.333333333333
4|0.-5	-5|4	0.333333333333
4|0	7|	0.142857142857
4|0	-8|	0.142857142857
4|0	-29|4	0.571428571429
4|0	-5|4	0.142857142857
-8|-7	-10|-8	1.0
9|	7|9	1.0
-8|-29	-24|-8	1.0
2|4	0|2	1.0
-10|-5	-1|-10	1.0
-3|-1	-5|-3	1.0
-8|	-10|-8	1.0
-8|	-5|-8	0.0434782608696
-8|	-24|-8	1.0
0|-24.-5	-5|0	1.0
-5|4	0|-5.4	1.0
0|-5.0	4|0.-5	1.0
0|2.0	4|0	1.0
-1|-5.-29	-3|-1.-5.-29	1.0
-1|-5.-29	5|-1	0.5
-5|-29	-1|-5.-29	0.5
-5|-29	-10|-5	0.333333333333
4|-1	-12|	1.0
-29|7	-6|-29	0.285714285714
-29|7	5|-29	0.571428571429
-29|7	-8|-29	0.142857142857
-22|-3	2|-22	1.0
-24|7	4|-24	1.0
-5|-29.-5	-1|-5.-29.-5	1.0
0|4	-5|0	1.0
-5|-8.-1	0|-5.-8.-1	1.0
-19|-1	-12|	1.0
-8|0	-5|-8.0	1.0
-8|0	-24|-8	0.166666666667
-6|-29	-3|-6	1.0
-8|-1	-5|-8.-1	1.0
4|-5	-8|	0.384615384615
4|-5	-24|4	0.615384615385
4|-29	-29|4.-29	1.0
2|4.5	0|2.4.5	1.0
-6|-5	-3|-6	1.0
-1|-24	2|-1	1.0
-5|-8	0|-5	0.739130434783
-5|-8	-24|-5	0.0434782608696
-5|-8	4|-5.-8	1.0
0|-5.-24	4|0.-5	1.0
-3|	-1|-3	1.0
-3|	-19|-3	1.0
-3|	-5|-3	0.181818181818
-3|	-22|-3	1.0
-3|	2|-3	1.0
-3|	-12|	0.04
-3|	-6|-3	0.1
6|	-22|	1.0
-24|4	0|-24	1.0
-29|4	2|-29	1.0
-3|-29	-5|-3.-29	1.0
-3|-22	-6|-3	1.0
-1|-19	-29|-1	1.0
-10|-12	-3|	1.0
2|-6	-22|	1.0
-1|5	-8|-1	0.625
-1|5	0|-1.5	1.0
2|-29	-1|2	0.166666666667
2|-29	-29|2	0.166666666667
2|-29	5|2	0.666666666667
2|-3	-22|	1.0
-29|	7|	0.0512820512821
-29|	-5|-29	0.333333333333
-29|	0|-29	1.0
-29|	-6|-29	1.0
-29|	5|-29	0.5
-29|	4|-29	1.0
-29|	-3|-29	1.0
-29|	2|-29	0.666666666667
-29|	-8|-29	1.0
-3|0	-1|-3	1.0
0|-24	-5|0	0.111111111111
0|-24	2|0.-24	1.0
7|9	-24|7	1.0
-19|	0|-19	1.0
-19|	-4|	0.166666666667
-19|	-12|	0.166666666667
-19|	-1|-19	1.0
0|-1	-24|0.-1	1.0
0|-1	-19|0	0.615384615385
0|-1	-4|	0.153846153846
-10|-8	-8|-10	1.0
-29|-5	-3|-29	0.333333333333
-29|-5	7|	0.333333333333
-29|-5	-5|-29.-5	1.0
7|	-24|7	1.0
7|	-29|7	0.285714285714
-24|-5	-8|	0.8
-24|-5	0|-24.-5	1.0
-8|-5	-24|-8	1.0
-5|-10	-1|-5.-10	1.0
-5|-24	0|-5.-24	1.0
-5|-24	-1|-5	0.666666666667
-5|-24	-6|-5	0.166666666667
