-38 -15 => -5 0.5
-38 -15 => -2 0.5
16 12 => -36 1.0
-14 => 11 0.0285714285714
-14 => 15 0.0285714285714
-14 => 14 0.0285714285714
-14 => -10 0.0285714285714
-14 => -25 0.342857142857
-14 => -26 0.0285714285714
-14 => -30 0.0285714285714
-14 => 0 0.0285714285714
-14 => -12 0.228571428571
-14 => 7 0.142857142857
-14 => -2 0.0285714285714
-14 => -9 0.0285714285714
-14 => -3 0.0285714285714
-2 -5 => -7 0.5
-2 -5 => -27 0.5
-4 -33 => 15 1.0
-27 -25 => -27 0.333333333333
-27 -25 => -9 0.333333333333
-27 -25 => -31 0.333333333333
-33 -25 -12 -27 => -12 1.0
-12 -29 => -9 1.0
7 -36 => 24 0.111111111111
7 -36 => 15 0.222222222222
7 -36 => 7 0.666666666667
-17 16 => -5 1.0
-13 -7 => -5 0.0263157894737
-13 -7 => -25 0.394736842105
-13 -7 => 12 0.0526315789474
-13 -7 => 5 0.131578947368
-13 -7 => -27 0.394736842105
12 16 => 0 0.5
12 16 => 12 0.5
1 -6 => -27 1.0
-36 7 => 2 0.0769230769231
-36 7 => -27 0.846153846154
-36 7 => -12 0.0769230769231
12 -12 -17 => -12 1.0
1 14 => 13 1.0
12 7 => -15 0.333333333333
12 7 => -17 0.666666666667
-36 -12 -27 -13 => 0 1.0
-24 7 => -27 1.0
-7 -27 -13 => -19 0.333333333333
-7 -27 -13 => -25 0.333333333333
-7 -27 -13 => -14 0.333333333333
-34 12 => -7 0.5
-34 12 => -13 0.166666666667
-34 12 => -17 0.333333333333
-17 2 => -27 1.0
-13 -12 -27 => -7 0.428571428571
-13 -12 -27 => 14 0.142857142857
-13 -12 -27 => -38 0.428571428571
-13 -25 12 -27 => -31 1.0
16 -17 => -32 0.666666666667
16 -17 => 16 0.333333333333
-25 2 => -13 0.142857142857
-25 2 => 15 0.142857142857
-25 2 => 3 0.142857142857
-25 2 => 7 0.571428571429
15 -27 -13 => -25 0.333333333333
15 -27 -13 => -33 0.666666666667
-29 -28 => -31 1.0
-24 -21 => -17 1.0
-21 -28 => -27 0.5
-21 -28 => 6 0.5
-13 -31 -25 => -31 1.0
-28 => 13 0.105263157895
-28 => 15 0.0526315789474
-28 => -40 0.105263157895
-28 => -27 0.105263157895
-28 => -21 0.210526315789
-28 => -31 0.0526315789474
-28 => 1 0.0526315789474
-28 => 0 0.0526315789474
-28 => -15 0.0526315789474
-28 => 6 0.0526315789474
-28 => 8 0.0526315789474
-28 => -9 0.105263157895
-9 -27 -13 -7 => -25 1.0
12 -36 => 12 0.4
12 -36 => -17 0.4
12 -36 => 7 0.2
-12 -27 -13 7 => -7 0.25
-12 -27 -13 7 => -12 0.25
-12 -27 -13 7 => -15 0.5
-4 15 => -27 1.0
12 -25 -13 => -7 1.0
7 5 => -25 1.0
-12 -13 => 7 0.133333333333
-12 -13 => -33 0.133333333333
-12 -13 => -7 0.0666666666667
-12 -13 => 5 0.266666666667
-12 -13 => -14 0.0666666666667
-12 -13 => -17 0.0666666666667
-12 -13 => -2 0.0666666666667
-12 -13 => -19 0.0666666666667
-12 -13 => -15 0.133333333333
0 -12 => -20 0.0357142857143
0 -12 => -13 0.428571428571
0 -12 => -5 0.142857142857
0 -12 => -7 0.0714285714286
0 -12 => 5 0.178571428571
0 -12 => 7 0.0714285714286
0 -12 => -2 0.0714285714286
-28 13 1 => 11 1.0
129 -29 => -19 0.5
129 -29 => -31 0.5
-6 15 -27 => 20 1.0
-17 7 -27 => -5 0.5
-17 7 -27 => 15 0.5
14 -12 => -25 0.2
14 -12 => -13 0.2
14 -12 => -27 0.6
-27 7 -25 => 9 0.857142857143
-27 7 -25 => -31 0.0714285714286
-27 7 -25 => 7 0.0714285714286
-21 => -11 0.0333333333333
-21 => 15 0.133333333333
-21 => 0 0.0333333333333
-21 => -36 0.0666666666667
-21 => -27 0.3
-21 => -33 0.0333333333333
-21 => 20 0.0333333333333
-21 => 1 0.0333333333333
-21 => -4 0.0666666666667
-21 => -7 0.0333333333333
-21 => -15 0.0666666666667
-21 => 8 0.0333333333333
-21 => -17 0.0333333333333
-21 => -2 0.0333333333333
-21 => -28 0.0666666666667
-19 -1 => -13 1.0
-27 -5 => -2 1.0
22 -27 -38 => 19 0.5
22 -27 -38 => -15 0.5
-40 -28 => 1 0.5
-40 -28 => -9 0.5
-13 -31 => -25 0.75
-13 -31 => 2 0.25
2 15 => 7 1.0
12 -15 -5 => -34 1.0
-27 5 -7 => -25 0.666666666667
-27 5 -7 => 5 0.333333333333
-39 => 12 1.0
-13 -25 => -34 0.0425531914894
-13 -25 => 15 0.063829787234
-13 -25 => 7 0.127659574468
-13 -25 => -38 0.0851063829787
-13 -25 => -27 0.276595744681
-13 -25 => -31 0.0212765957447
-13 -25 => -13 0.0425531914894
-13 -25 => 2 0.0212765957447
-13 -25 => -12 0.0212765957447
-13 -25 => -17 0.0212765957447
-13 -25 => -2 0.063829787234
-13 -25 => 12 0.191489361702
-13 -25 => -3 0.0212765957447
-25 -29 => -27 0.5
-25 -29 => -9 0.5
-24 0 => -12 1.0
-2 -25 -27 => -13 1.0
16 -8 => 12 1.0
-20 -36 => 16 1.0
12 -31 => 13 0.25
12 -31 => -27 0.75
-27 12 -27 => -41 0.5
-27 12 -27 => -38 0.5
-36 -27 -24 => 7 1.0
-12 -13 -2 => -14 1.0
-13 129 => -33 1.0
-2 => -14 0.0487804878049
-2 => -27 0.0853658536585
-2 => -17 0.0243902439024
-2 => 17 0.0121951219512
-2 => -38 0.146341463415
-2 => -25 0.207317073171
-2 => -41 0.0975609756098
-2 => -13 0.0243902439024
-2 => -21 0.0121951219512
-2 => -5 0.0243902439024
-2 => 0 0.0365853658537
-2 => -7 0.0121951219512
-2 => 2 0.0487804878049
-2 => 5 0.0121951219512
-2 => -34 0.0121951219512
-2 => 7 0.0365853658537
-2 => -36 0.0243902439024
-2 => -45 0.0121951219512
-2 => 3 0.121951219512
0 -15 => -17 1.0
-27 -12 => -25 0.941176470588
-27 -12 => 7 0.0588235294118
-5 -17 -15 => -3 1.0
-21 15 => 3 0.25
-21 15 => -27 0.25
-21 15 => -9 0.25
-21 15 => -22 0.25
-33 15 => -27 0.333333333333
-33 15 => 14 0.333333333333
-33 15 => -21 0.333333333333
16 0 => -27 0.5
16 0 => 16 0.5
16 -24 => 12 1.0
-38 -25 -27 => -13 1.0
-30 => 5 1.0
8 -27 => -40 1.0
12 -17 => -24 0.333333333333
12 -17 => 12 0.222222222222
12 -17 => -27 0.111111111111
12 -17 => -23 0.222222222222
12 -17 => -38 0.111111111111
-17 -33 => -36 0.2
-17 -33 => 12 0.2
-17 -33 => -15 0.4
-17 -33 => -32 0.2
12 => 24 0.0078125
12 => -24 0.0390625
12 => -25 0.0234375
12 => -27 0.2578125
12 => 0 0.03125
12 => 2 0.0234375
12 => 7 0.0234375
12 => -13 0.0546875
12 => -12 0.09375
12 => -15 0.0625
12 => -14 0.0078125
12 => -17 0.0703125
12 => -16 0.0078125
12 => 129 0.0078125
12 => 10 0.0078125
12 => 13 0.015625
12 => 15 0.0234375
12 => 17 0.0078125
12 => 16 0.015625
12 => -36 0.0390625
12 => -34 0.015625
12 => -33 0.0234375
12 => -31 0.03125
12 => -7 0.0546875
12 => -2 0.046875
12 => -8 0.0078125
-5 -34 => 12 0.5
-5 -34 => -2 0.5
-5 -2 => -36 0.285714285714
-5 -2 => -41 0.285714285714
-5 -2 => -27 0.142857142857
-5 -2 => -25 0.285714285714
20 => 15 0.5
20 => -40 0.25
20 => -28 0.25
-29 129 => -29 1.0
-5 => 12 0.0185185185185
-5 => 7 0.0185185185185
-5 => 16 0.0185185185185
-5 => -25 0.277777777778
-5 => -27 0.12962962963
-5 => -7 0.037037037037
-5 => 0 0.148148148148
-5 => 3 0.0185185185185
-5 => 5 0.0740740740741
-5 => -34 0.037037037037
-5 => -17 0.0740740740741
-5 => -2 0.12962962963
-5 => -14 0.0185185185185
-13 -12 => -25 0.1
-13 -12 => -27 0.7
-13 -12 => -14 0.1
-13 -12 => 7 0.1
2 7 => -36 0.333333333333
2 7 => -33 0.666666666667
-31 13 => 1 1.0
-29 -9 => -7 0.5
-29 -9 => -29 0.5
0 -28 => -21 1.0
-15 -5 => 12 0.0434782608696
-15 -5 => -25 0.521739130435
-15 -5 => -34 0.0434782608696
-15 -5 => 0 0.217391304348
-15 -5 => 3 0.0434782608696
-15 -5 => 7 0.0434782608696
-15 -5 => -2 0.0869565217391
7 -27 -13 => 5 1.0
12 129 => 0 1.0
-12 5 -7 0 -12 => -7 0.333333333333
-12 5 -7 0 -12 => 7 0.333333333333
-12 5 -7 0 -12 => -2 0.333333333333
129 -7 => -12 1.0
-2 -27 15 => -27 0.333333333333
-2 -27 15 => -21 0.333333333333
-2 -27 15 => -17 0.333333333333
5 -12 -27 -13 => -5 1.0
-38 8 => 5 1.0
-24 -17 -13 -33 => -27 1.0
-19 -21 => -7 1.0
3 -36 => 12 0.333333333333
3 -36 => -27 0.666666666667
-21 -36 => -4 0.5
-21 -36 => 15 0.5
-28 -15 => -21 1.0
3 -41 => 26 0.5
3 -41 => -27 0.5
-33 12 => -15 1.0
-3 -15 => -25 0.666666666667
-3 -15 => 0 0.333333333333
-34 -27 => -13 1.0
-5 -17 => -7 0.25
-5 -17 => -15 0.25
-5 -17 => -14 0.25
-5 -17 => -3 0.25
1 11 => -1 1.0
-17 -38 => 12 1.0
-12 12 => -13 1.0
-34 -27 -13 => -25 0.6
-34 -27 -13 => -33 0.4
-25 -7 => -27 1.0
7 -12 -25 => -7 1.0
11 12 => -13 1.0
-1 -31 => -22 1.0
-38 -25 => -7 0.333333333333
-38 -25 => -27 0.333333333333
-38 -25 => -29 0.333333333333
-17 -27 3 => -36 1.0
-25 -21 => 0 1.0
-31 14 => -25 1.0
-27 14 => -25 0.166666666667
-27 14 => -7 0.166666666667
-27 14 => -12 0.166666666667
-27 14 => -15 0.166666666667
-27 14 => -14 0.166666666667
-27 14 => -17 0.166666666667
-2 -41 => 24 0.125
-2 -41 => -27 0.75
-2 -41 => 15 0.125
-14 -2 => -14 1.0
-29 -31 => -29 1.0
-7 -13 -33 => 0 1.0
-2 -27 => -5 0.142857142857
-2 -27 => 15 0.428571428571
-2 -27 => -33 0.142857142857
-2 -27 => -17 0.285714285714
-36 -27 -13 -25 => -34 1.0
-13 => -29 0.00803212851406
-13 => -25 0.18875502008
-13 => -27 0.0160642570281
-13 => 0 0.0120481927711
-13 => 3 0.0160642570281
-13 => 5 0.0642570281124
-13 => 7 0.0923694779116
-13 => -12 0.0401606425703
-13 => -15 0.0481927710843
-13 => -14 0.0441767068273
-13 => -17 0.0200803212851
-13 => -19 0.0120481927711
-13 => 129 0.00401606425703
-13 => 11 0.00401606425703
-13 => 10 0.00401606425703
-13 => 12 0.0120481927711
-13 => 15 0.00803212851406
-13 => 14 0.00803212851406
-13 => 17 0.00401606425703
-13 => -38 0.0401606425703
-13 => -33 0.124497991968
-13 => -31 0.0160642570281
-13 => -5 0.0160642570281
-13 => -7 0.152610441767
-13 => -2 0.0361445783133
-13 => -9 0.00803212851406
-15 -4 => -12 1.0
-7 -27 => 10 0.0434782608696
-7 -27 => 14 0.0434782608696
-7 -27 => 17 0.0434782608696
-7 -27 => -25 0.0434782608696
-7 -27 => -33 0.0434782608696
-7 -27 => -13 0.130434782609
-7 -27 => -12 0.304347826087
-7 -27 => -14 0.0434782608696
-7 -27 => 7 0.217391304348
-7 -27 => -2 0.0869565217391
-2 -7 => -13 1.0
12 -17 -27 => -13 1.0
2 -13 => -33 1.0
-12 -4 => -28 1.0
-1 7 => 8 1.0
-5 -25 => 12 0.133333333333
-5 -25 => 15 0.0666666666667
-5 -25 => -34 0.6
-5 -25 => -31 0.0666666666667
-5 -25 => -13 0.0666666666667
-5 -25 => -2 0.0666666666667
-25 12 => -34 0.0294117647059
-25 12 => -27 0.705882352941
-25 12 => -31 0.0882352941176
-25 12 => -13 0.0294117647059
-25 12 => -12 0.117647058824
-25 12 => -17 0.0294117647059
3 0 => -13 1.0
-13 -5 => -25 0.5
-13 -5 => -14 0.25
-13 -5 => -2 0.25
-2 -17 -27 => -38 1.0
-15 -17 -27 => 3 0.666666666667
-15 -17 -27 => -2 0.333333333333
-7 -5 -25 => -2 1.0
14 12 => 0 0.333333333333
14 12 => 13 0.333333333333
14 12 => -15 0.333333333333
-17 -15 => -5 0.333333333333
-17 -15 => 12 0.111111111111
-17 -15 => -14 0.333333333333
-17 -15 => -3 0.111111111111
-17 -15 => 16 0.111111111111
-32 -33 => 129 0.5
-32 -33 => -17 0.5
-41 15 -27 => -24 1.0
-33 -32 => -15 1.0
-25 -27 -13 -7 => -5 1.0
-27 7 => -15 0.05
-27 7 => -25 0.7
-27 7 => -12 0.15
-27 7 => 15 0.05
-27 7 => -27 0.05
2 -41 => 24 0.4
2 -41 => 0 0.2
2 -41 => 12 0.4
12 -7 => -25 0.285714285714
12 -7 => -27 0.428571428571
12 -7 => 14 0.142857142857
12 -7 => -12 0.142857142857
-25 -27 -13 -25 => 15 0.133333333333
-25 -27 -13 -25 => -17 0.0666666666667
-25 -27 -13 -25 => -38 0.2
-25 -27 -13 -25 => -27 0.0666666666667
-25 -27 -13 -25 => -31 0.0666666666667
-25 -27 -13 -25 => -13 0.0666666666667
-25 -27 -13 -25 => 2 0.0666666666667
-25 -27 -13 -25 => 7 0.333333333333
8 15 -27 => 0 1.0
-15 -21 => 15 1.0
0 -24 => -12 0.5
0 -24 => -27 0.5
-24 7 -27 => -38 1.0
-14 7 => -12 1.0
7 15 -27 => 3 0.25
7 15 -27 => 15 0.75
12 -34 => -13 0.5
12 -34 => 12 0.5
10 2 => -27 1.0
-14 14 => -13 1.0
12 -13 => -33 0.142857142857
12 -13 => -7 0.142857142857
12 -13 => -12 0.142857142857
12 -13 => -15 0.571428571429
7 -27 => 15 0.0526315789474
7 -27 => -38 0.0526315789474
7 -27 => -5 0.0526315789474
7 -27 => -13 0.0526315789474
7 -27 => -12 0.0526315789474
7 -27 => 5 0.105263157895
7 -27 => 7 0.631578947368
14 -12 -27 => -13 0.666666666667
14 -12 -27 => 14 0.333333333333
8 12 => -16 1.0
-5 16 => 0 1.0
-12 -27 -13 => 10 0.0232558139535
-12 -27 -13 => 12 0.046511627907
-12 -27 -13 => 15 0.0232558139535
-12 -27 -13 => 7 0.093023255814
-12 -27 -13 => -25 0.0232558139535
-12 -27 -13 => -5 0.0232558139535
-12 -27 -13 => 0 0.0232558139535
-12 -27 -13 => -7 0.372093023256
-12 -27 -13 => -12 0.0232558139535
-12 -27 -13 => -15 0.093023255814
-12 -27 -13 => -14 0.186046511628
-12 -27 -13 => -17 0.0232558139535
-12 -27 -13 => 14 0.046511627907
15 -4 => 20 0.25
15 -4 => -12 0.25
15 -4 => 15 0.5
129 -27 => -33 1.0
12 -13 -33 => -36 1.0
-33 15 -27 => -21 1.0
-36 -27 15 => -24 1.0
-7 14 => -12 1.0
3 5 => -27 1.0
-26 => -28 0.666666666667
-26 => -29 0.333333333333
-33 0 => -12 1.0
12 -12 => -4 0.0833333333333
12 -12 => -13 0.0833333333333
12 -12 => 12 0.166666666667
12 -12 => -27 0.583333333333
12 -12 => -17 0.0833333333333
-12 5 -7 => 0 1.0
-27 -7 => -25 0.857142857143
-27 -7 => 5 0.142857142857
-24 10 -27 => 12 0.5
-24 10 -27 => -2 0.5
-5 -7 => -5 0.5
-5 -7 => -13 0.5
-17 7 => -27 1.0
-38 -25 -27 -13 => -7 1.0
-12 -31 => -29 1.0
-13 -17 => 0 0.4
-13 -17 => -7 0.4
-13 -17 => -12 0.2
-13 -33 => 15 0.0322580645161
-13 -33 => -25 0.225806451613
-13 -33 => -27 0.0322580645161
-13 -33 => 0 0.0645161290323
-13 -33 => 5 0.0645161290323
-13 -33 => -36 0.58064516129
-29 -27 => -13 0.2
-29 -27 => -17 0.8
-33 -27 -13 -25 => -12 0.5
-33 -27 -13 -25 => -2 0.5
-36 -27 -17 => -27 0.666666666667
-36 -27 -17 => 22 0.333333333333
3 -13 => -31 1.0
-25 -27 0 => -24 1.0
-5 0 -27 -17 => -32 1.0
