24 21 => 19 0.166666666667
-7 => -5 0.5
-7 => -3 0.5
7 5 4 => 19 0.0833333333333
7 5 4 => 2 0.666666666667
7 5 4 => 5 0.0833333333333
7 5 4 => 7 0.166666666667
14 12 => 11 0.634146341463
14 12 => 10 0.0243902439024
14 12 => 14 0.170731707317
14 12 => 17 0.0243902439024
14 12 => 16 0.0975609756098
14 12 => 9 0.0487804878049
26 23 => 19 1.0
14 11 14 => 12 0.666666666667
14 11 14 => 16 0.333333333333
4 5 4 => 5 1.0
19 17 => 19 0.210526315789
19 17 => 15 0.0526315789474
19 17 => 21 0.0526315789474
19 17 => 16 0.684210526316
2 10 => 12 1.0
9 4 => 7 1.0
4 6 => 24 0.333333333333
4 6 => 7 0.666666666667
17 16 14 => 26 0.0769230769231
17 16 14 => 12 0.461538461538
17 16 14 => 20 0.0769230769231
17 16 14 => 17 0.0769230769231
17 16 14 => 16 0.0769230769231
17 16 14 => 13 0.230769230769
10 2 => 14 1.0
18 19 20 => 14 1.0
0 5 => 9 1.0
1 4 7 => 10 0.5
1 4 7 => 13 0.5
4 7 5 => 7 1.0
10 11 9 => 6 1.0
6 2 => 9 1.0
17 16 => 24 0.0322580645161
17 16 => 11 0.0322580645161
17 16 => 12 0.0322580645161
17 16 => 14 0.41935483871
17 16 => 22 0.0322580645161
17 16 => 19 0.0645161290323
17 16 => 18 0.0645161290323
17 16 => 17 0.322580645161
3 11 9 => 6 1.0
14 26 => 14 1.0
16 => 11 0.0294117647059
16 => 24 0.0392156862745
16 => 13 0.0196078431373
16 => 12 0.0882352941176
16 => 15 0.00980392156863
16 => 14 0.421568627451
16 => 17 0.176470588235
16 => 10 0.00980392156863
16 => 19 0.0980392156863
16 => 18 0.0294117647059
16 => 22 0.0196078431373
16 => 4 0.00980392156863
16 => 7 0.00980392156863
16 => 20 0.00980392156863
16 => 21 0.0294117647059
5 4 5 => 2 0.4
5 4 5 => 4 0.6
-1 => -5 0.0833333333333
-1 => 7 0.166666666667
-1 => 1 0.0833333333333
-1 => 0 0.333333333333
-1 => 4 0.0833333333333
-1 => -3 0.25
-3 -1 => 1 0.333333333333
-3 -1 => 0 0.666666666667
8 5 7 => 3 1.0
5 6 7 => 2 1.0
4 2 => 1 0.166666666667
4 2 => 0 0.5
4 2 => -1 0.0833333333333
4 2 => 21 0.0833333333333
4 2 => 4 0.166666666667
10 9 => 12 0.2
10 9 => 7 0.8
11 => 26 0.0108695652174
11 => 12 0.217391304348
11 => 14 0.130434782609
11 => 17 0.0434782608696
11 => 16 0.0434782608696
11 => 19 0.0760869565217
11 => 13 0.0217391304348
11 => 7 0.0869565217391
11 => -2 0.0108695652174
11 => 9 0.358695652174
19 21 19 => 24 0.222222222222
19 21 19 => 18 0.222222222222
19 21 19 => 21 0.444444444444
19 21 19 => 17 0.111111111111
-8 => -3 1.0
16 21 => 17 0.666666666667
16 21 => 16 0.333333333333
19 16 19 => 21 0.25
19 16 19 => 17 0.75
11 19 14 => 11 0.5
11 19 14 => 16 0.5
-1 4 => 8 1.0
16 17 => 19 0.333333333333
16 17 => 14 0.166666666667
16 17 => 16 0.5
18 => 24 0.0869565217391
18 => 20 0.0434782608696
18 => 14 0.0869565217391
18 => 16 0.391304347826
18 => 19 0.217391304348
18 => 9 0.0434782608696
18 => 21 0.130434782609
24 19 24 => 18 0.333333333333
24 19 24 => 21 0.333333333333
24 19 24 => 16 0.333333333333
18 14 12 => 11 1.0
3 11 => 9 1.0
7 4 5 => 2 1.0
6 7 => 11 0.0833333333333
6 7 => 12 0.0833333333333
6 7 => 2 0.0833333333333
6 7 => 5 0.0833333333333
6 7 => 4 0.166666666667
6 7 => 6 0.416666666667
6 7 => 8 0.0833333333333
4 2 4 => 2 1.0
21 9 => 14 1.0
0 12 => 11 1.0
11 14 => 11 0.0833333333333
11 14 => 12 0.5
11 14 => 17 0.0833333333333
11 14 => 16 0.0833333333333
11 14 => 19 0.166666666667
11 14 => 9 0.0833333333333
24 12 => 14 1.0
13 16 => 19 1.0
19 12 14 => 17 1.0
7 19 => 20 1.0
24 21 19 => 16 1.0
14 0 => 3 1.0
2 5 7 => 5 1.0
19 2 => 7 1.0
18 14 => 12 0.5
18 14 => 16 0.5
14 10 => 2 1.0
19 21 => 19 0.6
19 21 => 13 0.0666666666667
19 21 => 17 0.0666666666667
19 21 => 23 0.266666666667
20 24 => 21 1.0
7 => 11 0.0252100840336
7 => 10 0.0336134453782
7 => 13 0.0168067226891
7 => 12 0.0840336134454
7 => 14 0.0420168067227
7 => 16 0.00840336134454
7 => 19 0.00840336134454
7 => -5 0.0168067226891
7 => 0 0.0336134453782
7 => 3 0.0168067226891
7 => 2 0.0672268907563
7 => 5 0.210084033613
7 => 4 0.0924369747899
7 => 6 0.126050420168
7 => 9 0.193277310924
7 => 8 0.0168067226891
7 => 21 0.00840336134454
-2 0 => -2 1.0
14 23 => 21 1.0
0 11 9 => 5 1.0
10 14 => 19 0.25
10 14 => 10 0.25
10 14 => 12 0.25
10 14 => 17 0.25
2 12 => 11 0.333333333333
2 12 => 10 0.666666666667
6 3 => 9 1.0
7 12 => 11 0.3
7 12 => 9 0.2
7 12 => 7 0.3
7 12 => 16 0.2
12 7 12 => 9 1.0
11 14 12 => 11 0.333333333333
11 14 12 => 14 0.5
11 14 12 => 16 0.166666666667
9 15 => 16 1.0
17 14 => 19 0.166666666667
17 14 => 11 0.333333333333
17 14 => 12 0.333333333333
17 14 => 21 0.166666666667
4 => 11 0.0204081632653
4 => 12 0.0408163265306
4 => 19 0.0204081632653
4 => -5 0.0204081632653
4 => 0 0.0612244897959
4 => 2 0.244897959184
4 => 5 0.30612244898
4 => 7 0.204081632653
4 => 6 0.0612244897959
4 => 8 0.0204081632653
10 14 12 => 9 1.0
0 9 7 => 4 1.0
24 7 => 9 1.0
12 9 7 => 9 0.5
12 9 7 => 10 0.5
19 -5 => -3 1.0
2 19 => 21 1.0
-7 -3 => 0 0.5
-7 -3 => 2 0.5
15 => 14 0.5
15 => 17 0.375
15 => 16 0.125
21 => 24 0.109090909091
21 => 11 0.0181818181818
21 => 13 0.0545454545455
21 => 12 0.0363636363636
21 => 20 0.0545454545455
21 => 14 0.0181818181818
21 => 17 0.0545454545455
21 => 16 0.0727272727273
21 => 19 0.327272727273
21 => 18 0.0545454545455
21 => 23 0.163636363636
21 => 7 0.0181818181818
21 => 9 0.0181818181818
-4 => -1 1.0
9 7 12 => 11 1.0
10 14 19 => 22 1.0
19 14 12 => 11 0.5
19 14 12 => 17 0.5
21 16 => 19 0.5
21 16 => 14 0.25
21 16 => 21 0.25
-5 7 5 => -1 1.0
2 4 5 => 9 0.166666666667
2 4 5 => 3 0.166666666667
2 4 5 => 7 0.666666666667
5 9 7 => 5 1.0
0 19 => 21 1.0
11 9 7 9 7 => 5 0.5
11 9 7 9 7 => 21 0.5
2 7 4 => 12 0.25
2 7 4 => 7 0.75
13 14 12 => 10 1.0
0 12 11 => 7 1.0
16 11 => 14 0.666666666667
16 11 => 16 0.333333333333
19 16 19 17 => 19 1.0
14 11 12 => 9 1.0
21 11 => 16 1.0
-12 => 0 1.0
11 7 => 13 0.125
11 7 => 14 0.125
11 7 => 16 0.125
11 7 => 0 0.125
11 7 => 3 0.125
11 7 => 5 0.125
11 7 => 6 0.125
11 7 => 9 0.125
14 17 => 12 0.166666666667
14 17 => 14 0.166666666667
14 17 => 16 0.666666666667
4 0 2 => 7 1.0
0 10 => 9 1.0
-4 -1 => 4 1.0
9 12 9 => 0 0.5
9 12 9 => 4 0.5
3 => 19 0.142857142857
3 => 11 0.142857142857
3 => 9 0.142857142857
3 => 4 0.428571428571
3 => 7 0.142857142857
13 14 => 11 0.0769230769231
13 14 => 13 0.307692307692
13 14 => 12 0.0769230769231
13 14 => 16 0.307692307692
13 14 => 19 0.0769230769231
13 14 => 9 0.153846153846
15 17 => 19 0.333333333333
15 17 => 15 0.333333333333
15 17 => 16 0.333333333333
19 12 => 19 0.6
19 12 => 14 0.2
19 12 => 23 0.2
-6 -5 => 0 1.0
9 21 => 9 1.0
16 17 16 => 18 0.111111111111
16 17 16 => 14 0.222222222222
16 17 16 => 17 0.666666666667
13 14 11 => 13 1.0
9 6 => 3 0.25
9 6 => 2 0.25
9 6 => 7 0.5
21 18 => 14 0.666666666667
21 18 => 16 0.333333333333
-5 19 => 21 1.0
20 19 => 18 1.0
17 11 => 14 0.333333333333
17 11 => 17 0.666666666667
7 2 => 11 0.125
7 2 => 10 0.25
7 2 => 3 0.125
7 2 => 7 0.5
0 7 => -5 0.166666666667
0 7 => 9 0.333333333333
0 7 => 2 0.333333333333
0 7 => 4 0.166666666667
17 9 => 17 1.0
0 => 11 0.025
0 => 10 0.025
0 => 12 0.025
0 => 19 0.025
0 => -5 0.075
0 => 3 0.025
0 => 2 0.25
0 => -1 0.15
0 => 4 0.05
0 => 7 0.15
0 => -2 0.1
0 => 9 0.05
0 => 5 0.025
0 => 1 0.025
12 23 => 19 1.0
19 21 19 17 16 => 22 1.0
23 24 => 12 0.0833333333333
23 24 => 20 0.0833333333333
23 24 => 23 0.583333333333
23 24 => 1 0.0833333333333
23 24 => 7 0.0833333333333
23 24 => -2 0.0833333333333
14 21 => 19 0.5
14 21 => 18 0.5
2 12 11 => 7 1.0
2 14 => 12 1.0
9 4 7 => 6 1.0
3 4 5 => 0 1.0
7 10 => 9 0.25
7 10 => 13 0.25
7 10 => 14 0.5
10 9 7 => 5 1.0
17 15 17 => 15 1.0
5 12 => 7 1.0
9 17 => 11 0.666666666667
9 17 => 16 0.333333333333
17 19 21 => 23 1.0
4 -5 => 7 1.0
14 19 => 11 0.0625
14 19 => 26 0.0625
14 19 => 14 0.1875
14 19 => 17 0.125
14 19 => 16 0.375
14 19 => 18 0.125
14 19 => 22 0.0625
16 13 14 => 12 1.0
25 26 => 0 1.0
9 6 7 => 11 0.5
9 6 7 => 5 0.5
7 -5 => 19 0.5
7 -5 => 14 0.5
13 14 19 => 11 1.0
4 12 11 => 17 1.0
24 18 => 24 0.666666666667
24 18 => 21 0.333333333333
16 4 => 7 1.0
10 => 11 0.0952380952381
10 => 13 0.0952380952381
10 => 12 0.142857142857
10 => 14 0.190476190476
10 => 2 0.047619047619
10 => 7 0.142857142857
10 => 9 0.238095238095
10 => 8 0.047619047619
26 => 0 0.2
