-15|4	0|-15	1.0
-17|-3	-5|-17.-3	1.0
-7|-17	-17|-7	0.8
-7|-17	-8|-7	0.2
0|	-7|0	1.0
0|	-24|0	1.0
0|	-12|0	1.0
0|	-3|	0.133333333333
0|	-8|0	0.6
0|	4|0	1.0
0|	-17|0	0.5
0|	-5|0	0.191489361702
-15|-5	-10|-15	1.0
-1|	-17|-1	1.0
-1|	-20|	0.2
-1|	0|-1	1.0
-1|	-5|-1	0.5
0|-5	-7|0	0.0681818181818
0|-5	-5|0	0.931818181818
5|4	4|5	0.5
5|4	-12|5	0.25
5|4	-17|5	0.25
-17|5	4|-17	1.0
0|-12	-5|0	0.25
0|-12	-3|	0.75
4|0	5|4	1.0
-8|-7	-12|-8	1.0
9|	4|9	1.0
9|	-8|9	1.0
-15|-8	-3|-15	1.0
2|4	4|2	0.5
2|4	-17|2.4	1.0
-8|-12	0|-8	1.0
-8|	0|-8	0.333333333333
-8|	-12|-8	0.25
-8|	-15|-8	1.0
-8|	-24|	0.46875
-8|	-17|-8	0.5
-8|	-5|-8	0.714285714286
-8|	-19|	0.015625
-8|	7|	0.09375
0|-7	-24|0	1.0
-8|5	7|	1.0
-17|-10	-8|-17	1.0
-5|-17.-8	0|-5.-17	1.0
-1|-17.-1	-20|	1.0
-7|0	0|-7	1.0
2|-19	-17|2.-19	1.0
-17|-1	-1|-17.-1	1.0
4|9	2|4	1.0
-5|-17.-5	5|-5	1.0
2|-17	-17|2.-17	1.0
2|-17	-12|2	0.5
-5|0.-5.-24.0	-17|-5	1.0
-20|	-8|-20	1.0
0|4	-17|0	1.0
0|-15	-17|0	1.0
-17|	-12|-17	1.0
-17|	-7|-17	0.2
-17|	-8|-17	0.5
-17|	-5|-17	0.2
-17|	2|-17	0.5
-17|	-10|	0.0588235294118
-17|	4|-17	0.5
-17|	-1|	0.176470588235
-8|0	-24|	0.6
-8|0	-19|	0.1
-8|0	-12|-8	0.3
0|-5.-8	-5|0.-5.-8	0.6
-12|-17	-8|-12	1.0
5|4.2	-12|5	1.0
4|-5	-17|4	1.0
2|4.5	4|2	1.0
-8|-20	-15|-8	1.0
-10|-15	-17|-10	1.0
-5|-8	0|-5.-8	1.0
-5|-8	-15|-5	0.142857142857
-5|-8	-7|-5	0.142857142857
-12|4	4|-12.4	1.0
4|-12.0	0|4	1.0
-12|0	4|-12.0	1.0
-17|2.-17	2|-17	1.0
-3|	0|-3	0.25
-3|	-8|-3	1.0
-3|	-17|-3	1.0
4|5	5|4	0.5
4|5	2|4.5	1.0
-24|4	-8|-24	1.0
7|	-12|7	1.0
7|	-7|7	1.0
4|-12.2	-7|4	1.0
0|-5.-17	-5|0.-5.-17	1.0
4|-12.7	-12|4	1.0
2|-6	0|2	1.0
-17|4	-5|-17.4	1.0
-8|-5.0.-5.-8	-5|-8	1.0
0|-24	-3|	1.0
-19|	2|-19	1.0
-19|	-7|-19	0.5
0|-1	-12|0	1.0
-5|-17.4	-6|	1.0
2|-10	-10|	0.5
2|-10	4|2	0.5
-12|2	4|-12.2	1.0
-1|-17.0	-17|-1	1.0
-24|-5	0|-24	0.666666666667
-24|-5	-5|-24	0.333333333333
-8|-5	-17|-8	0.103448275862
-8|-5	-24|	0.827586206897
-8|-5	-5|-8	0.0689655172414
-12|7	4|-12.7	1.0
-8|-24	-5|-8	1.0
-5|-24	0|-5	1.0
-17|2.-19	-1|	1.0
-17|2.4	4|-17	1.0
0|-3	-5|0.-3	1.0
0|-3	-8|0	0.5
0|-3	4|0	0.25
-17|-5.-17	-7|-17	1.0
-5|	0|-5	0.931818181818
-5|	-24|-5	0.333333333333
-5|	-1|-5	1.0
-5|	-8|-5	0.827586206897
-5|	5|-5	1.0
-5|	-17|-5	0.333333333333
-5|	4|-5	1.0
-5|	-15|-5	1.0
-5|	-12|-5	1.0
-5|	-19|	0.0263157894737
-5|	-6|	0.0263157894737
-5|	-7|-5	0.75
-7|4	9|	1.0
4|-17	5|4.-17	1.0
4|-17	-1|4	0.5
-5|0.-5.-8	-8|-5.0.-5.-8	1.0
-5|0.-5.-8	-24|-5	0.6
4|	-15|4	1.0
4|	-17|4	1.0
4|	-7|4	1.0
4|	5|4	0.25
4|	-24|4	1.0
4|	-1|4	1.0
4|	0|4	1.0
4|	-10|4	1.0
4|	-12|4	1.0
4|	2|4	0.5
-17|-7	-5|-17.-7	1.0
-17|-7	-12|-17	0.125
-17|-7	-8|-17	0.5
-7|7	9|	1.0
-12|5	4|-12.5	1.0
-1|-5	-5|-1	1.0
-5|5	4|-5	1.0
0|-8	-5|0	0.333333333333
0|-8	-8|0.-8	0.25
-8|0.-8	-19|	0.25
-8|0.-8	-12|-8	0.75
-3|-7	-8|-3	1.0
-10|	2|-10	0.5
-10|	5|-10	1.0
-10|	-17|-10	1.0
0|2	-24|0	1.0
-5|-17	5|-5	0.2
-5|-17	-17|-5.-17	1.0
-5|-17	-1|-5	0.2
-5|-17	0|-5.-17	1.0
-5|-17	-6|	0.2
-17|-5	2|-17	0.333333333333
-17|-5	-7|-17	0.333333333333
-17|-5	-5|-17.-5	1.0
5|	4|5	0.5
5|	-8|5	1.0
5|	-12|5	1.0
5|	-5|5	1.0
5|	-17|5	1.0
-8|9	7|	1.0
5|4.-17	-17|5	1.0
-24|	-8|-24	1.0
-24|	0|-24	1.0
-24|	-5|-24	1.0
-5|-24.0	0|-5.-24.0	0.5
-5|0.-5.-17	-7|-5	1.0
-8|-17	-17|-8	0.5
-8|-17	0|-8	0.5
5|-5	-5|5	1.0
-12|-5	0|-12	1.0
-5|-1	-8|-5	0.5
-5|-1	-12|-5	0.5
-5|-17.-7	-1|-5	1.0
-7|-19	-17|-7	0.5
-7|-19	-19|	0.5
-5|0.-3	-24|-5	1.0
-7|	-19|	0.05
-7|	0|-7	1.0
-7|	-8|-7	1.0
-7|	-17|-7	0.375
-7|	-3|-7	1.0
-7|	9|	0.3
-5|0	-24|-5	0.191489361702
-5|0	-8|-5	0.553191489362
-5|0	-17|-5	0.127659574468
-5|0	-19|	0.063829787234
-5|0	-7|-5	0.063829787234
2|	-17|	0.375
2|	0|2	1.0
2|	-10|	0.125
2|	4|2	0.5
2|	-12|2	1.0
-12|-8	0|-12	0.25
-12|-8	-8|-12	0.75
5|-10	-8|5	1.0
-17|0	-1|-17.0	1.0
-17|0	-10|	0.5
4|-12.5	-10|4	1.0
-12|	0|-12	0.25
-12|	4|	0.652173913043
-12|	-8|-12	1.0
4|2	5|4.2	1.0
4|2	-24|4	0.5
-24|0	-5|-24.0	1.0
-5|-17.-3	-17|-5.-17	1.0
-17|-8	-7|-17	0.333333333333
-17|-8	-5|-17.-8	1.0
-17|-8	-8|-17	0.166666666667
-8|-3	-5|-8	1.0
-10|4	5|-10	1.0
-6|	2|-6	1.0
0|-5.-24.0	-5|0.-5.-24.0	1.0
0|-5.-24.0	-7|0	0.5
-1|4	0|-1	1.0
-3|-15	-17|-3	1.0
4|-12.4	-15|4	1.0
-7|-5	-3|-7	0.25
-7|-5	-17|-7	0.75
-15|	0|-15	1.0
-15|	-10|-15	1.0
-15|	-3|-15	1.0
