-7 16 => -3 1.0
-3 16 => -7 1.0
-21 => -1 1.0
12 -10 => -29 1.0
0 5 9 => 12 1.0
7 4 => -5 0.5
7 4 => 12 0.5
9 5 2 => 12 1.0
4 -17 => 5 1.0
9 -12 => 11 1.0
-3 2 => 5 0.5
-3 2 => 4 0.5
-17 -29 => -8 0.333333333333
-17 -29 => -17 0.333333333333
-17 -29 => 14 0.333333333333
9 7 => 5 1.0
2 5 => 11 0.142857142857
2 5 => 10 0.0714285714286
2 5 => 26 0.0714285714286
2 5 => 12 0.0714285714286
2 5 => 21 0.0714285714286
2 5 => 17 0.0714285714286
2 5 => 16 0.142857142857
2 5 => 7 0.142857142857
2 5 => 9 0.214285714286
5 -22 => -7 0.666666666667
5 -22 => 22 0.333333333333
11 -17 => 11 0.142857142857
11 -17 => -3 0.142857142857
11 -17 => 5 0.285714285714
11 -17 => 14 0.285714285714
11 -17 => 17 0.142857142857
-2 => 24 0.0769230769231
-2 => 10 0.0769230769231
-2 => 15 0.153846153846
-2 => 14 0.0769230769231
-2 => 22 0.0769230769231
-2 => 3 0.153846153846
-2 => 2 0.0769230769231
-2 => 5 0.0769230769231
-2 => 7 0.0769230769231
-2 => -18 0.0769230769231
-2 => -29 0.0769230769231
19 2 => -19 1.0
16 0 => 31 0.333333333333
16 0 => 4 0.333333333333
16 0 => -22 0.333333333333
1 4 => 25 1.0
16 -24 => 21 1.0
19 => 24 0.0555555555556
19 => 10 0.0555555555556
19 => 12 0.111111111111
19 => 20 0.0555555555556
19 => -3 0.111111111111
19 => 16 0.0555555555556
19 => -26 0.0555555555556
19 => -10 0.111111111111
19 => 3 0.0555555555556
19 => 2 0.0555555555556
19 => 5 0.111111111111
19 => 7 0.166666666667
12 -17 => -10 0.5
12 -17 => -8 0.5
7 -4 => -2 1.0
12 => 24 0.0188679245283
12 => -29 0.0377358490566
12 => -24 0.0377358490566
12 => 0 0.0377358490566
12 => 5 0.0566037735849
12 => 4 0.0754716981132
12 => 7 0.132075471698
12 => 9 0.0377358490566
12 => 8 0.0188679245283
12 => -10 0.0188679245283
12 => -13 0.0377358490566
12 => -12 0.0188679245283
12 => -15 0.0188679245283
12 => -17 0.0377358490566
12 => 129 0.0377358490566
12 => 11 0.0188679245283
12 => 17 0.0188679245283
12 => 16 0.169811320755
12 => 19 0.0754716981132
12 => 31 0.0377358490566
12 => -5 0.0188679245283
12 => -7 0.0188679245283
12 => -8 0.0188679245283
-5 -2 => 22 1.0
20 => 21 0.333333333333
20 => -17 0.666666666667
6 -1 => -16 1.0
5 21 => 9 0.5
5 21 => 0 0.5
3 22 => 7 1.0
21 4 => -8 1.0
