-5|4.-8	4|-5.4.-8	1.0
-3|5	7|-3	1.0
2|-22	-15|2	0.5
2|-22	-17|	0.5
2|-7	-3|2	1.0
0|	-12|0	0.833333333333
0|	-16|	0.0277777777778
0|	-8|	0.166666666667
0|	-17|0	1.0
0|	4|0	1.0
0|	-3|0	1.0
0|	-20|	0.0555555555556
0|	-13|	0.0277777777778
0|	-5|0	0.8
0|	-19|	0.0833333333333
0|	-15|	0.0833333333333
-1|	2|-1	1.0
-1|	-17|-1	1.0
-1|	-19|-1	1.0
-1|	4|-1	0.5
-1|	-8|	0.142857142857
-1|	-10|-1	0.142857142857
-1|	-12|-1	1.0
-1|	-20|	0.0857142857143
-1|	-7|	0.0285714285714
-1|	-5|-1	0.666666666667
-1|	-22|	0.0285714285714
-1|	-3|-1	0.5
-1|	-13|	0.142857142857
0|-5	-13|	0.25
0|-5	-5|0	0.25
0|-5	-12|0	0.5
-1|-3	-19|-1	1.0
0|-19	-12|0	1.0
-1|-8	-7|	0.25
-1|-8	-8|	0.25
-1|-8	-5|-1	0.5
0|-12	-12|0.-12	0.666666666667
0|-12	-8|	0.176470588235
0|-12	-17|0	0.0588235294118
0|-12	-20|	0.117647058824
0|-12	-5|0	0.176470588235
0|-12	-19|	0.176470588235
0|-12	-15|	0.117647058824
-12|-3	0|-12.-3	1.0
-12|-3	-4|	0.2
-12|-3	-3|-12	0.4
-12|-3	5|	0.2
4|-15	-10|4	0.25
4|-15	-22|	0.25
4|-15	-12|4	0.5
9|	7|9	1.0
-10|-1	4|-10	0.857142857143
-10|-1	2|-10.-1	1.0
11|	9|	1.0
0|-12.0.-15	-19|	0.5
0|-12.0.-15	-20|	0.5
4|-22	-15|	1.0
0|-19.2	-12|0.-19.2	1.0
-8|	0|-8	0.333333333333
-8|	-1|-8	0.5
-8|	4|-8	0.166666666667
-8|	7|-8	0.5
2|-10.-1	-3|2	1.0
-5|4	4|-5	0.888888888889
-5|4	2|-5	0.0555555555556
-5|4	7|	0.0555555555556
2|-5	-5|2	1.0
0|-12.-3	-20|	1.0
2|-19	-22|	1.0
-17|-1	2|-17.-1	0.5
4|-1	-10|4	0.5
4|-1	-17|	0.5
-5|7	7|	1.0
-12|0.-15	0|-12.0.-15	0.5
-20|	-1|-20	0.142857142857
-20|	-5|-20	1.0
4|-10.2	-1|4	0.2
4|-10.2	-5|4.-10	0.4
4|-10.2	-10|4	0.4
0|4	4|0	1.0
0|-15	-12|0.-15	1.0
0|-15	-3|0	0.333333333333
-17|	-1|-17	0.25
-17|	0|-17	1.0
-17|	-5|-17	1.0
-17|	2|	0.380952380952
-17|	4|-17	0.285714285714
-19|-1	-3|	1.0
2|-17.-1	-19|2	0.5
2|-17.-1	-1|2	0.5
4|-5	-5|4.-5	1.0
4|-5	-8|	0.0555555555556
4|-5	-10|4	0.111111111111
4|-5	-12|4	0.666666666667
4|-5	-15|	0.111111111111
-8|7	7|-8	0.666666666667
-8|7	0|-8	0.333333333333
4|-12	-17|	0.2
4|-12	-5|4	0.65
4|-12	-20|	0.05
4|-12	-12|4	0.1
4|-12.0	-17|4.-12.0	1.0
-12|0	4|-12.0	1.0
-12|0	0|-12	0.833333333333
-12|0	-3|-12	0.0833333333333
-3|	-1|-3	1.0
-3|	-19|-3	1.0
-3|	5|-3	1.0
-3|	0|-3	1.0
-3|	7|-3	1.0
-3|	2|-3	0.5
-3|	-12|-3	0.2
0|-17	-15|	1.0
