-36|-19	-24|-36.-19	1.0
-19|-24	-16|-19	1.0
-4|	-2|	0.0555555555556
-4|	1|	0.0555555555556
-4|	-10|	0.0555555555556
-4|	-7|	0.722222222222
-4|	-5|-4	1.0
-4|	0|-4	1.0
-9|	-29|-9	1.0
-9|	-5|-9	1.0
-9|	-16|-9	1.0
-9|	-17|-9	1.0
-9|	-12|-9	0.166666666667
-29|-28	-24|-29	1.0
-16|-9	-12|-16	1.0
0|	-7|0	0.5
0|	-6|0	1.0
0|	-4|	0.636363636364
0|	-2|0	1.0
0|	-5|0	1.0
0|	2|	0.136363636364
-17|-24.-36.-19	-16|	0.333333333333
-17|-24.-36.-19	-15|-17	0.333333333333
-17|-24.-36.-19	129|	0.333333333333
-24|-7	-12|-24	1.0
-4|-1	0|-4	1.0
-1|	-4|-1	1.0
-1|	0|	0.933333333333
0|-5	2|	1.0
-24|-19	-12|-24	0.333333333333
-24|-19	-36|	0.666666666667
-6|-12	-5|-6	1.0
-9|-14	-17|-9	1.0
-5|-9	-12|-5	1.0
-43|	-36|	1.0
-12|-7	0|-12	1.0
-33|	-34|	0.285714285714
-33|	-24|-33	1.0
-33|	-36|	0.285714285714
-33|	-28|	0.142857142857
-24|-18	-22|-24	0.333333333333
-24|-18	-15|	0.666666666667
-14|	-9|-14	1.0
-14|	-2|-14	1.0
-14|	-17|-14	1.0
-5|-2	0|-5	0.5
-5|-2	-4|-5	0.5
-19|-17	-36|-19	0.6
-19|-17	-21|-19	0.4
-33|-38	-24|-33	1.0
-8|	0|-8	1.0
-8|	-6|-8	1.0
-8|	-5|-8	1.0
-9|-5	-12|-9	1.0
-19|-12	-24|-19	0.25
-19|-12	-26|	0.25
-19|-12	-7|-19	0.5
1|	-5|1	1.0
1|	-2|1	0.333333333333
-6|-7	-9|-6	1.0
-7|0	1|	0.5
-7|0	-1|	0.5
-12|-16	-17|-12	1.0
-22|-21	-24|-22	1.0
-20|	-18|	1.0
-5|1	3|	1.0
-17|	-15|-17	1.0
-17|	-14|	0.121212121212
-17|	-19|-17	0.6
-17|	-16|	0.0909090909091
-17|	-36|	0.0909090909091
-17|	-12|-17	1.0
-17|	-29|-17	1.0
-17|	-10|	0.030303030303
-17|	-9|-17	1.0
-17|	-21|	0.0606060606061
-17|	-31|	0.030303030303
-17|	129|	0.030303030303
-17|	-24|-17	0.285714285714
-24|-36.-19	-17|-24.-36.-19	0.333333333333
-28|	-29|-28	1.0
-12|-17	-31|	1.0
-7|-4.-5	-5|-7	1.0
-17|-29	-14|	1.0
-5|-8	-12|-5	1.0
-3|	-24|-3	1.0
-3|	-1|	0.666666666667
-29|129	-31|-29	1.0
-33|-29	-36|	1.0
-33|-31	-34|	1.0
-17|-6	-10|	1.0
-21|	-22|-21	1.0
-21|	-24|-21	0.5
-21|	-18|	0.25
-16|129	-36|-16	1.0
-31|	-19|-31	1.0
-31|	-43|	0.111111111111
-31|	-33|-31	1.0
-31|	-38|	0.222222222222
-12|-9	-29|	0.166666666667
-12|-9	-18|-12	0.166666666667
-12|-9	-6|-12	0.666666666667
-24|-33	-31|-24	1.0
-7|-12	-36|	1.0
