0 2 => 4 1.0
7 -1 2 => 5 1.0
2 7 => 5 1.0
12 => 11 1.0
0 -1 => 0 1.0
2 7 5 => 4 1.0
-5 => 0 0.315789473684
-5 => -1 0.684210526316
0 => -5 0.130434782609
0 => -7 0.152173913043
0 => 2 0.304347826087
0 => -1 0.0652173913043
0 => 4 0.282608695652
0 => 5 0.0652173913043
0 4 5 7 => 0 1.0
2 0 4 => 5 1.0
-7 => -5 1.0
2 => -3 0.169811320755
2 => -5 0.0566037735849
2 => 0 0.320754716981
2 => 5 0.0566037735849
2 => 4 0.264150943396
2 => 7 0.0566037735849
2 => 129 0.0188679245283
2 => -1 0.0566037735849
129 => -3 1.0
5 7 => 0 0.235294117647
5 7 => 12 0.588235294118
5 7 => 5 0.176470588235
-5 0 => 5 0.5
-5 0 => 4 0.5
7 5 => 2 0.666666666667
7 5 => 4 0.333333333333
4 => 0 0.227272727273
4 => 2 0.159090909091
4 => 5 0.477272727273
4 => 7 0.136363636364
-3 => 4 1.0
5 4 => 5 1.0
-1 0 => 2 1.0
11 9 => 5 1.0
9 5 => 2 1.0
0 4 => 2 0.538461538462
0 4 => 5 0.230769230769
0 4 => 7 0.230769230769
2 -5 => 0 1.0
-5 -1 => 2 1.0
9 => 0 0.1875
9 => 5 0.625
9 => 7 0.1875
7 4 => 5 1.0
2 4 => 5 0.785714285714
2 4 => 7 0.214285714286
-1 2 => -5 0.1875
-1 2 => 0 0.4375
-1 2 => 5 0.1875
-1 2 => 7 0.1875
11 => 9 1.0
7 5 2 => 0 0.5
7 5 2 => -1 0.5
9 0 4 => 7 1.0
5 -1 => 0 1.0
9 0 => 4 1.0
7 0 => 4 1.0
2 0 => -5 0.1875
2 0 => 2 0.4375
2 0 => -1 0.1875
2 0 => 4 0.1875
4 5 => 9 0.142857142857
4 5 => -1 0.190476190476
4 5 => 7 0.666666666667
0 5 => 9 1.0
2 5 7 => 5 1.0
5 2 => 129 0.0625
5 2 => -1 0.1875
5 2 => -3 0.5625
5 2 => 0 0.1875
9 7 => 4 1.0
2 5 => 7 1.0
5 => 9 0.130434782609
5 => 2 0.347826086957
5 => -1 0.0869565217391
5 => 4 0.0652173913043
5 => 7 0.369565217391
7 -1 => 2 1.0
7 => 0 0.137931034483
7 => 12 0.344827586207
7 => -1 0.103448275862
7 => 4 0.103448275862
7 => 5 0.310344827586
5 9 => 0 0.5
5 9 => 7 0.5
4 7 => 5 0.5
4 7 => -1 0.5
2 -1 => -5 1.0
-1 2 0 => -1 0.5
-1 2 0 => 4 0.5
0 4 5 => 7 1.0
-1 => -5 0.115384615385
-1 => 0 0.269230769231
-1 => 2 0.615384615385
4 0 => -5 0.3
4 0 => -7 0.7
4 2 => 0 1.0
-3 4 => 0 1.0
-1 -5 => 0 1.0
