-5 => -32 0.1
-5 => 0 0.0333333333333
-5 => -7 0.266666666667
-5 => 4 0.0333333333333
-5 => 7 0.0333333333333
-5 => 129 0.0333333333333
-5 => -30 0.133333333333
-5 => -31 0.0666666666667
2 7 => -32 1.0
3 4 => -34 0.666666666667
3 4 => -31 0.333333333333
-24 5 => 6 1.0
-15 -5 => 0 1.0
6 -15 => 7 1.0
12 129 => -19 1.0
-15 7 => -29 1.0
-1 0 => 2 1.0
-24 5 6 => 7 1.0
-24 -32 -20 => 16 0.166666666667
-24 -32 -20 => 15 0.166666666667
-24 -32 -20 => -29 0.333333333333
-24 -32 -20 => 21 0.333333333333
-34 5 => -22 1.0
18 -29 => 17 1.0
-3 -15 => 3 1.0
15 16 => -24 0.666666666667
15 16 => -29 0.333333333333
12 11 => 12 1.0
-24 4 => 5 0.75
-24 4 => -32 0.25
-15 21 => -3 1.0
-36 3 => -24 0.166666666667
-36 3 => 2 0.166666666667
-36 3 => 7 0.5
-36 3 => -22 0.166666666667
11 12 => 10 0.5
11 12 => -28 0.5
-29 12 => -17 1.0
-1 -20 => -34 1.0
14 => 11 0.8
14 => 10 0.1
14 => 7 0.1
10 -24 => 11 1.0
-17 -8 => 0 1.0
-12 3 => 0 0.333333333333
-12 3 => 7 0.666666666667
0 2 => 3 0.5
0 2 => 4 0.5
21 0 => -15 1.0
3 0 => -19 0.2
3 0 => 4 0.4
3 0 => -17 0.2
3 0 => -31 0.2
0 -19 => -9 0.5
0 -19 => -3 0.5
-15 3 => -3 0.333333333333
-15 3 => 7 0.666666666667
-22 5 => 6 1.0
6 129 => -24 1.0
-36 5 6 7 => -32 1.0
-27 7 => -24 1.0
16 -19 => -36 1.0
6 -19 => 7 1.0
-3 -29 -17 => -7 1.0
0 -24 => 129 0.0909090909091
0 -24 => 3 0.272727272727
0 -24 => -12 0.545454545455
0 -24 => -17 0.0909090909091
-19 16 => -18 1.0
4 6 => 7 1.0
-8 -17 => -5 1.0
-12 -20 => -8 1.0
-15 3 7 => -29 1.0
7 -27 => 5 0.538461538462
7 -27 => 12 0.0769230769231
7 -27 => -15 0.153846153846
7 -27 => 4 0.0769230769231
7 -27 => 7 0.153846153846
-29 -9 0 => -17 1.0
-4 3 => -27 0.5
-4 3 => -29 0.5
-30 9 => 6 1.0
-17 -32 => -20 1.0
-20 3 => -22 1.0
2 0 -22 => 2 1.0
7 -3 => -31 0.75
7 -3 => -30 0.25
4 0 -24 => -17 1.0
-26 => -5 0.5
-26 => -25 0.5
