-4|	-3|-4	1.0
-1|0	0|-1.0	1.0
-1|0	2|	0.125
-1|0	-3|	0.375
2|7	1|2.7	1.0
2|7	0|2	0.5
0|	2|0	0.714285714286
0|	-3|	0.0204081632653
0|	-2|	0.142857142857
0|	-8|	0.0204081632653
0|	-1|0	0.5
0|	4|0	0.571428571429
0|	14|	0.0204081632653
0|	12|0	0.307692307692
0|	5|0	0.5
0|	-5|0	1.0
16|	17|16	1.0
16|	9|	0.25
16|	14|16	1.0
-1|	-3|	0.222222222222
-1|	2|	0.0555555555556
-1|	0|-1	0.636363636364
-1|	-5|-1	0.5
0|-5	4|0	1.0
5|4	2|5	0.666666666667
5|4	7|5	0.333333333333
19|	17|19	0.666666666667
19|	4|	0.25
14|2	7|14	0.333333333333
14|2	10|	0.333333333333
14|2	12|14	0.333333333333
4|0	7|4	0.285714285714
4|0	9|	0.571428571429
4|0	-5|4	0.142857142857
9|	17|9	1.0
9|	14|9	1.0
9|	12|9	0.8
9|	6|9	1.0
9|	7|9	0.1875
2|4	-3|	0.133333333333
2|4	-5|	0.266666666667
2|4	0|2	0.0666666666667
2|4	4|2.4	1.0
2|4	1|	0.466666666667
9|10	14|9	0.333333333333
9|10	12|9	0.666666666667
11|	7|11	1.0
11|	9|	0.5
17|9	16|	1.0
0|7	4|0	1.0
5|0	17|5	0.5
5|0	9|5	0.5
1|	12|	0.222222222222
1|	2|1	0.428571428571
7|9.7	6|7.9.7	1.0
7|9.7	5|7	0.6
-5|4	0|-5	1.0
2|-5	0|2	0.333333333333
2|-5	7|2	0.166666666667
2|-5	4|2.-5	1.0
6|7.9.7	9|6	1.0
12|0.12.7	5|12	1.0
17|16	19|	1.0
12|9	14|	0.2
12|9	0|12	0.8
0|2.5	-2|	0.714285714286
0|2.5	-1|0.2.5	1.0
0|2.5	14|	0.142857142857
0|4	-3|	0.142857142857
0|4	-1|0.4	1.0
0|4	-8|	0.142857142857
0|4	-5|0	0.285714285714
0|4	12|0.4	1.0
4|2.-5	0|4	1.0
12|0.4	0|12	1.0
