nodes	edges	diameter	avg_shortest_path	density	clustering	betweenness	modularity	repeatedness	melodic	label
20	84	7	2.481578947368421	0.22105263157894736	0.48257060270440916	0.08230994152046783	0.30068370986920334	3.2	1.0	CLASSICAL
10	29	4	2.1666666666666665	0.32222222222222224	0.20346153846153844	0.14583333333333331	0.31859410430838997	4.0	1.0	CLASSICAL
17	55	5	2.3308823529411766	0.20220588235294118	0.29864105224127757	0.08872549019607844	0.2497417355371901	4.235294117647059	1.0	CLASSICAL
16	65	5	2.216666666666667	0.2708333333333333	0.48140853338037704	0.08690476190476192	0.3413309189678587	3.375	1.6611111111111108	CLASSICAL
24	77	6	2.652173913043478	0.13949275362318841	0.22956345884155968	0.07509881422924901	0.2574609733700643	4.666666666666667	1.5999999999999996	CLASSICAL
20	67	7	2.8842105263157896	0.1763157894736842	0.4458494334282686	0.10467836257309941	0.28493923611111116	3.7	3.3999999999999986	CLASSICAL
44	306	6	2.409090909090909	0.16173361522198731	0.4126145258827254	0.033549783549783545	0.22079545454545454	5.090909090909091	1.549999999999999	CLASSICAL
11	31	5	2.4	0.2818181818181818	0.15488053613053612	0.15555555555555556	0.4206349206349206	3.8181818181818183	0	CLASSICAL
27	90	9	3.175213675213675	0.1282051282051282	0.2393111137970945	0.08700854700854699	0.3767951625094482	3.259259259259259	1.0	CLASSICAL
39	214	7	2.6713900134952766	0.14439946018893388	0.2904942771995672	0.04517270306743991	0.3365768759147186	4.153846153846154	1.0	CLASSICAL
15	50	5	2.2476190476190476	0.23809523809523808	0.31633498710898095	0.09597069597069595	0.23739956172388604	4.666666666666667	1.0	CLASSICAL
7	28	2	1.2333333333333334	0.6666666666666666	0.6711863500213949	0.05833333333333334	0.1481994459833795	4.857142857142857	0	CLASSICAL
53	981	5	1.8468795355587808	0.3559506531204644	0.6319809696737184	0.01660548108938786	0.1257275081233417	4.188679245283019	1.6999999999999993	CLASSICAL
44	226	7	2.785412262156448	0.11945031712473574	0.35614430726330154	0.04250981576562972	0.3406857142857143	4.545454545454546	1.4499999999999993	CLASSICAL
11	36	4	2.018181818181818	0.32727272727272727	0.346461806312465	0.11313131313131311	0.22839506172839505	4.181818181818182	0	CLASSICAL
12	27	4	2.3257575757575757	0.20454545454545456	0.2781942182627114	0.13257575757575757	0.22125000000000006	2.8333333333333335	2.0	CLASSICAL
13	48	4	2.0	0.3076923076923077	0.5254747623557474	0.09090909090909093	0.19714285714285715	4.923076923076923	1.0	CLASSICAL
5	11	3	1.8	0.55	0.4111111111111111	0.26666666666666666	0.16500000000000006	3.2	1.0	CLASSICAL
22	158	4	1.8181818181818181	0.341991341991342	0.6638746406594295	0.04090909090909091	0.20569011918492885	4.7272727272727275	0	CLASSICAL
23	131	4	1.9960474308300395	0.25889328063241107	0.437434694545622	0.04743083003952569	0.25429918639053256	5.217391304347826	1.755555555555555	CLASSICAL
8	22	5	2.142857142857143	0.39285714285714285	0.2566885964912281	0.19047619047619047	0.2612456747404845	3.75	1.0	CLASSICAL
17	31	8	3.386029411764706	0.11397058823529412	0.14729911572472126	0.15906862745098038	0.3953626634958383	3.411764705882353	3.0500000000000007	CLASSICAL
13	37	5	2.340909090909091	0.23717948717948717	0.2999824926168131	0.1340909090909091	0.2627777777777778	4.3076923076923075	1.0	CLASSICAL
37	344	5	2.0465465465465464	0.25825825825825827	0.5611476626110349	0.029901329901329897	0.149178648212846	4.756756756756757	1.6499999999999995	CLASSICAL
11	30	4	2.1666666666666665	0.2727272727272727	0.2998247366668419	0.14583333333333331	0.3383742911153119	4.181818181818182	1.0	CLASSICAL
12	42	5	2.0606060606060606	0.3181818181818182	0.44942383457448015	0.10606060606060604	0.24297606659729448	5.0	0	CLASSICAL
32	99	15	4.67741935483871	0.09979838709677419	0.2990803496961397	0.12258064516129033	0.3497229916897507	2.75	10.0	CLASSICAL
21	107	6	2.3261904761904764	0.25476190476190474	0.4022120692127325	0.06979949874686717	0.27266415393771076	3.8095238095238093	2.5999999999999996	CLASSICAL
13	31	5	2.477272727272727	0.1987179487179487	0.2220993969237037	0.14772727272727268	0.3336	3.5384615384615383	1.8499999999999996	CLASSICAL
12	31	5	2.3181818181818183	0.23484848484848486	0.2538409324593535	0.13181818181818178	0.25992438563327036	3.8333333333333335	1.0	CLASSICAL
19	83	6	2.327485380116959	0.24269005847953215	0.4058584303743671	0.07808737530099759	0.24804736709498615	3.5789473684210527	2.6499999999999995	CLASSICAL
9	25	5	2.1527777777777777	0.3472222222222222	0.31234567901234567	0.16468253968253968	0.30124999999999996	4.222222222222222	0	CLASSICAL
24	180	4	1.8496376811594204	0.32608695652173914	0.6739460946654207	0.038619894598155464	0.16694197069807526	5.416666666666667	1.0	CLASSICAL
25	114	7	2.6333333333333333	0.19	0.3856645634586993	0.07101449275362319	0.30588428665351747	3.76	1.549999999999999	CLASSICAL
35	139	8	2.936974789915966	0.11680672268907563	0.24089697399465448	0.05869620575502928	0.33866494082840237	4.171428571428572	3.299999999999999	CLASSICAL
9	33	3	1.8055555555555556	0.4583333333333333	0.34784748674992577	0.11507936507936506	0.2760416666666667	4.0	0	CLASSICAL
39	191	10	3.0291607396870557	0.12887989203778677	0.37453817448598936	0.05636557610241821	0.4070043529877325	4.871794871794871	1.0	CLASSICAL
31	209	5	2.3483870967741933	0.22473118279569892	0.3512392366139616	0.04649610678531702	0.3229743767313019	3.870967741935484	0	CLASSICAL
22	81	7	2.727272727272727	0.17532467532467533	0.33911925901736856	0.08636363636363638	0.291588282719699	3.1818181818181817	1.0	CLASSICAL
14	44	5	2.258241758241758	0.24175824175824176	0.3036999302953798	0.10485347985347983	0.2430795847750865	3.857142857142857	1.6999999999999997	CLASSICAL
