nodes	edges	diameter	avg_shortest_path	density	clustering	betweenness	modularity	label
20	58	4	2.1052631578947367	0.30526315789473685	0.6029184704184705	0.061403508771929814	0.29325208085612364	CLASSICAL
10	21	4	1.9111111111111112	0.4666666666666667	0.3766666666666666	0.11388888888888889	0.31859410430838997	CLASSICAL
17	44	3	1.8455882352941178	0.3235294117647059	0.36956115779645193	0.05637254901960784	0.24767561983471076	CLASSICAL
16	47	3	1.8833333333333333	0.39166666666666666	0.5831845238095238	0.0630952380952381	0.3413309189678587	CLASSICAL
24	66	4	2.0471014492753623	0.2391304347826087	0.39710474710474714	0.04759552042160737	0.23232323232323235	CLASSICAL
20	48	5	2.231578947368421	0.25263157894736843	0.5306410256410257	0.06842105263157894	0.29796006944444453	CLASSICAL
44	220	4	2.03276955602537	0.23255813953488372	0.4454059409849984	0.024589751333937374	0.19954545454545453	CLASSICAL
11	21	4	2.109090909090909	0.38181818181818183	0.2818181818181818	0.12323232323232323	0.4002267573696145	CLASSICAL
27	63	6	2.5982905982905984	0.1794871794871795	0.32695473251028806	0.06393162393162392	0.34429327286470146	CLASSICAL
39	159	6	2.291497975708502	0.2145748987854251	0.3635560795479824	0.03490535069482437	0.3365768759147186	CLASSICAL
15	37	4	1.8857142857142857	0.3523809523809524	0.4295767195767196	0.06813186813186813	0.23739956172388602	CLASSICAL
7	19	2	1.2857142857142858	0.9047619047619048	0.7571428571428571	0.05714285714285714	0.1481994459833795	CLASSICAL
53	613	4	1.6400580551523947	0.4448476052249637	0.6738297813546411	0.012550157944164605	0.12663498053325312	CLASSICAL
44	175	5	2.251585623678647	0.1849894291754757	0.4568095080795615	0.02979965770663445	0.3460244897959184	CLASSICAL
11	27	3	1.709090909090909	0.4909090909090909	0.5419913419913419	0.07878787878787878	0.24691358024691354	CLASSICAL
12	20	3	1.9090909090909092	0.30303030303030304	0.25079365079365085	0.0909090909090909	0.22125000000000006	CLASSICAL
13	35	3	1.705128205128205	0.44871794871794873	0.5868742368742368	0.06410256410256411	0.19714285714285715	CLASSICAL
5	10	2	1.3	1.0	0.7666666666666666	0.09999999999999999	0.16500000000000006	CLASSICAL
22	102	3	1.6623376623376624	0.44155844155844154	0.7274032785396422	0.033116883116883114	0.20381584006151482	CLASSICAL
23	104	3	1.7114624505928853	0.41106719367588934	0.5998592981329554	0.03387916431394693	0.24944526627218938	CLASSICAL
8	17	3	1.6071428571428572	0.6071428571428571	0.35000000000000003	0.10119047619047618	0.2491349480968858	CLASSICAL
17	29	4	2.3529411764705883	0.21323529411764705	0.29831932773109243	0.09019607843137256	0.3953626634958383	CLASSICAL
13	30	3	1.8717948717948718	0.38461538461538464	0.45769230769230773	0.07925407925407925	0.2627777777777778	CLASSICAL
37	244	4	1.7777777777777777	0.3663663663663664	0.6653939554531829	0.022222222222222223	0.149178648212846	CLASSICAL
11	23	3	1.8909090909090909	0.41818181818181815	0.332034632034632	0.09898989898989898	0.3383742911153119	CLASSICAL
12	31	3	1.696969696969697	0.4696969696969697	0.5845238095238096	0.06969696969696969	0.24297606659729448	CLASSICAL
32	76	6	2.778225806451613	0.1532258064516129	0.41062392468642467	0.0592741935483871	0.3497229916897507	CLASSICAL
21	71	4	1.9619047619047618	0.3380952380952381	0.5011887583316155	0.05062656641604009	0.27266415393771076	CLASSICAL
