repeteadness_mean,pitch_in_piece,pitch_in_rules,branchiness_mean,melodic_mean,unweighted_abruptness,label
4.549933089,45,10.80412371,3.195876289,2.87628866,1.269074168,Rock
4.012784091,9,3.111111111,2.444444444,1.666666667,0.844097222,Rock
3.169117647,24,3.217391304,3.043478261,1.956521739,0.475988142,Rock
2,5,1,2.333333333,2,0.851666667,Rock
2,10,2,2.4,1.4,0.35,Rock
1.909090909,10,1,3.076923077,1.538461538,0.320512821,Rock
2.798676227,22,2.904761905,3.238095238,1.476190476,0.502857143,Rock
3.637417219,17,3.35,3.8,2.05,0.577769231,Rock
2.317307692,12,1.95,3.2,1.7,0.784210526,Rock
3.131649123,23,11.47142857,3.171428571,2.928571429,1.583357981,Rock
1.375,14,0.125,2.5,1.125,0.673214286,Rock
3.583333333,17,1.55,3,1.35,0.541315789,Rock
4.47826087,21,2.3,2.4,1.3,2.597777778,Rock
3.234969226,34,3.989010989,3.692307692,1.945054945,0.301872202,Rock
3.988235294,41,4.318181818,2.545454545,1.636363636,0.260768398,Rock
1.534621578,9,0,2,1,2.941125,Rock
