melodic_variance	repeteadness_mean	repeteadness_variance	pitch_in_piece	weighted_abruptness	pitch_in_rules	branchiness_mean	branchiness_variance	melodic_mean	unweighted_abruptness
0.3003997802734375	3.1215091364119503	4.0970401473038152	36	0.19781594669133171	6.53125	4.3515625	4.96234130859375	2.01953125	0.12329549972218889
0.66666666666666652	3.7660818713450293	6.3008378646421113	31	1.2796717171720289	7.333333333333333	2.7111111111111112	1.6720987654320989	1.6666666666666667	1.0766414141414546
0.22959183673469383	1.7789473684210524	0.81639889196675908	10	0.66082417582483655	1.2142857142857142	3.4285714285714284	2.3877551020408165	1.3571428571428572	0.57983516483574427
0.51869806094182824	7.5229540918163673	18.38520165258306	18	0.63015647226213012	2.6315789473684212	3.5263157894736841	2.9861495844875345	1.8157894736842106	0.45222854433380755
0.47794900273034374	2.4109909909909968	2.0076910099288559	25	0.61539465101170532	4.2517006802721085	4.149659863945578	4.5354250543754917	2.1088435374149661	0.25503929425657706
0.38888888888888884	1.7142857142857142	0.91836734693877542	11	0.71325757575762705	0.5	2.6666666666666665	1.0555555555555556	1.3333333333333333	0.71325757575762705
0.83389999999999997	3.2624783302128781	4.5611185955830429	24	0.80918181818055923	4.6500000000000004	3.5	2.71	2.1899999999999999	0.36013030303066262
0.22959183673469385	1.9583333333333333	1.2899305555555558	12	1.1876373626355865	1.0	3.4285714285714284	1.9591836734693875	1.3571428571428572	1.0450549450535831
0.0	1.0	0.0	13	0.5714285714285714	0.0	2.25	0.9375	1.0	0.55357142857142849
0.0	1.0	0.0	13	0.70909090909090888	0.0	2.9090909090909092	2.0826446280991737	1.0	0.59727272727278446
0.0	1.0	0.0	7	1.3599999999983794	0.0	2.3333333333333335	1.2222222222222223	1.0	0.9449999999981098
0.54911564625850351	3.0018996960486675	3.5593646065263203	24	0.53555402930405793	3.9238095238095236	3.8476190476190477	3.4434467120181407	2.0571428571428569	0.30631802721112028
0.37406035665294929	4.1472766884531511	7.556862590836344	57	0.26433429712228829	4.6962962962962962	4.4148148148148145	5.7464471879286689	2.0037037037037035	0.12966464401326017
0.0	1.2857142857142858	0.20408163265306126	13	0.81666666666701637	0.0	2.6666666666666665	0.66666666666666663	1.0	0.64166666666696637
0.16000000000000003	1.8571428571428572	0.83673469387755106	12	0.43555555555555481	0.80000000000000004	3.0	1.3999999999999999	1.2	0.38555555555555526
0.45269352648257122	3.6457431457431624	5.3202599068399588	21	0.65980573542941223	2.5957446808510638	3.6595744680851063	2.6926210955183341	1.8085106382978724	0.42911655874200394
0.1875	1.0	0.0	7	0.87857142857142834	0.5	3.25	1.4375	1.25	0.69523809523809488
0.41403926234384292	3.5647575840269239	6.6912324127311082	37	0.60300095648075602	3.0439024390243903	4.2341463414634148	4.1402974419988094	2.024390243902439	0.25034875932243367
0.33106575963718815	1.7658536585365856	0.80176085663295649	15	2.5726190476209441	2.8571428571428572	3.3333333333333335	4.6031746031746019	1.6190476190476191	0.76011904761956872
0.0	1.2	0.16000000000000006	15	0.90222222222312354	0.0	2.7999999999999998	0.95999999999999996	1.0	0.72722222222294808
0.2400000000000001	2.4210526315789473	1.7700831024930745	12	0.98571428571527098	1.6666666666666667	3.2000000000000002	2.5600000000000001	1.3999999999999999	0.7757142857150614
0.30859375	4.0326530612244893	5.5597501041232809	28	0.79112903225800835	1.5	3.375	2.671875	1.4375	0.60880040322576356
0.1875	1.0	0.0	15	0.64285714285778572	0.875	2.0	1.75	1.25	0.64285714285778572
0.24173553719008256	2.8799999999999999	3.5055999999999998	15	1.1177489177486404	0.86363636363636365	3.2727272727272729	2.380165289256198	1.4090909090909092	0.60880230880279651
0.0	1.0	0.0	15	0.050000000000000003	0.0	1.2	0.16	1.0	0.050000000000000003
0.58057851239669411	3.4199999999999999	4.9636000000000005	13	1.0424242424242407	2.0909090909090908	3.3636363636363638	2.3223140495867778	1.6818181818181819	0.65595238095303654
0.24888888888888897	3.6000000000000001	5.6399999999999997	19	0.89609195402324271	2.0	3.9333333333333331	2.5288888888888885	1.5333333333333334	0.53275862068961799
0.6624000000000001	3.25	4.5	16	1.1733333333333333	2.2400000000000002	3.4399999999999999	1.6864000000000001	1.76	0.56999999999988793
0.41709183673469391	3.4849085199279957	4.7143302444450024	20	0.68644480519565265	3.2857142857142856	3.3928571428571428	2.9885204081632657	1.8928571428571428	0.5915584415577857
0.45478234866931522	5.7625037982376028	20.580583298501768	34	0.50825593395273172	3.9019607843137254	3.9084967320261437	3.7694049297278833	1.9477124183006536	0.2323540161684515
0.23997370151216296	2.2386363636363638	1.6475981404958679	20	0.3259074259077111	3.2820512820512819	4.2051282051282053	5.0604865220249833	1.7948717948717949	0.23951445380028036
0.1453287197231834	1.4375	0.37109375	23	0.56727941176470564	1.1764705882352942	2.9411764705882355	2.1730103806228374	1.1764705882352942	0.47904411764705868
0.41666666666666674	4.2599190283400805	7.2764097100427803	13	0.52825396825440296	2.1388888888888888	3.2222222222222223	1.3950617283950617	1.8333333333333333	0.38416666666700816
1.2589792060491494	2.086486486486486	1.2638714390065739	13	1.1715415019765225	2.0434782608695654	3.3043478260869565	2.7334593572778827	1.9565217391304348	0.88265810276726264
