melodic_variance,repeteadness_mean,repeteadness_variance,pitch_in_piece,weighted_abruptness,pitch_in_rules,branchiness_mean,branchiness_variance,melodic_mean,unweighted_abruptness,label
0.949011446,2.830188679,2.593805625,16,0.450241935,4.419354839,3.096774194,1.764828304,2.225806452,0.428225806,American Folk
0.472222222,3.896023259,5.094652043,24,0.477777778,4.111111111,3.333333333,1.666666667,1.833333333,0.560925926,American Folk
0.734674556,3.165384615,3.607263314,29,0.350120192,3.892307692,3.384615385,2.113609467,2.061538462,0.318894231,American Folk
0.713715606,4.366102889,6.866732123,22,0.707289003,4.579710145,3.304347826,1.921865154,2.15942029,0.524417448,American Folk
0.514739229,3.873528015,6.135455043,24,1.443089431,5.476190476,3.285714286,1.727891156,1.761904762,0.77129307,American Folk
0.198347107,1.638888889,0.540895062,19,2.207727273,3.090909091,3.090909091,1.719008264,1.272727273,0.900227273,American Folk
0.766927083,5.362422635,13.21401087,24,0.542996454,6.208333333,3.291666667,1.956597222,2.0625,0.480164007,American Folk
0.293342827,8.942328618,40.89221264,33,0.386556604,3.188679245,3.094339623,1.406194375,1.679245283,0.367597968,American Folk
0.266528926,3.203401361,3.911144893,24,0.408368298,3.424242424,3.666666667,1.919191919,1.772727273,0.309617327,American Folk
0.605555556,3.824817518,6.024201609,19,0.733448276,4.733333333,3.066666667,1.595555556,1.833333333,0.586819923,American Folk
0.35,3.997584034,4.489131318,22,1.205263158,3.65,2.8,1.06,1.5,0.914473684,American Folk
0.325259516,2.305263158,1.64365651,24,0.640106952,2.852941176,3.352941176,1.698961938,1.705882353,0.625668449,American Folk
0.249864792,3.935483871,5.673257024,29,0.69440753,3.418604651,3.255813953,2.329908058,1.511627907,0.610548173,American Folk
0.840236686,2.903846154,2.509985207,7,0.491666667,1.923076923,2.769230769,0.946745562,1.923076923,0.491666667,American Folk
0.366782007,2.068965517,1.305588585,10,1.183455882,1.411764706,3.411764706,3.065743945,1.470588235,0.518137255,American Folk
0.338842975,2.696825397,2.161877047,19,1.168831169,1.545454545,3.090909091,1.537190083,1.454545455,0.586219336,American Folk
1.008487654,5.60008643,12.0985207,13,0.737301587,2.361111111,3.277777778,1.533950617,2.138888889,0.640515873,American Folk
0.616568583,3.628019324,5.209456463,16,0.444865865,2.106382979,3.361702128,2.315980081,1.978723404,0.31487049,American Folk
0.231404959,2.742857143,2.76244898,12,0.182272727,0.818181818,2.363636364,1.140495868,1.363636364,0.172727273,American Folk
2,1.5,0.416666667,24,2.153333333,9.6,2.4,0.24,2,2.026666667,American Folk
0.642290249,2.437217706,1.924669244,17,0.55087108,3.761904762,3.428571429,1.578231293,2.023809524,0.555749129,American Folk
0.30039978,3.121509136,4.097040147,36,0.197815947,6.53125,4.3515625,4.962341309,2.01953125,0.1232955,Classical
0.666666667,3.766081871,6.300837865,31,1.279671717,7.333333333,2.711111111,1.672098765,1.666666667,1.076641414,Classical
0.229591837,1.778947368,0.816398892,10,0.660824176,1.214285714,3.428571429,2.387755102,1.357142857,0.579835165,Classical
0.518698061,7.522954092,18.38520165,18,0.630156472,2.631578947,3.526315789,2.986149584,1.815789474,0.452228544,Classical
0.477949003,2.410990991,2.00769101,25,0.615394651,4.25170068,4.149659864,4.535425054,2.108843537,0.255039294,Classical
0.388888889,1.714285714,0.918367347,11,0.713257576,0.5,2.666666667,1.055555556,1.333333333,0.713257576,Classical
0.8339,3.26247833,4.561118596,24,0.809181818,4.65,3.5,2.71,2.19,0.360130303,Classical
0.229591837,1.958333333,1.289930556,12,1.187637363,1,3.428571429,1.959183673,1.357142857,1.045054945,Classical
0,1,0,13,0.571428571,0,2.25,0.9375,1,0.553571429,Classical
0,1,0,13,0.709090909,0,2.909090909,2.082644628,1,0.597272727,Classical
0,1,0,7,1.36,0,2.333333333,1.222222222,1,0.945,Classical
0.549115646,3.001899696,3.559364607,24,0.535554029,3.923809524,3.847619048,3.443446712,2.057142857,0.306318027,Classical
0.374060357,4.147276688,7.556862591,57,0.264334297,4.696296296,4.414814815,5.746447188,2.003703704,0.129664644,Classical
0,1.285714286,0.204081633,13,0.816666667,0,2.666666667,0.666666667,1,0.641666667,Classical
0.16,1.857142857,0.836734694,12,0.435555556,0.8,3,1.4,1.2,0.385555556,Classical
0.452693526,3.645743146,5.320259907,21,0.659805735,2.595744681,3.659574468,2.692621096,1.808510638,0.429116559,Classical
0.1875,1,0,7,0.878571429,0.5,3.25,1.4375,1.25,0.695238095,Classical
0.414039262,3.564757584,6.691232413,37,0.603000956,3.043902439,4.234146341,4.140297442,2.024390244,0.250348759,Classical
0.33106576,1.765853659,0.801760857,15,2.572619048,2.857142857,3.333333333,4.603174603,1.619047619,0.760119048,Classical
0,1.2,0.16,15,0.902222222,0,2.8,0.96,1,0.727222222,Classical
0.24,2.421052632,1.770083102,12,0.985714286,1.666666667,3.2,2.56,1.4,0.775714286,Classical
0.30859375,4.032653061,5.559750104,28,0.791129032,1.5,3.375,2.671875,1.4375,0.608800403,Classical
0.1875,1,0,15,0.642857143,0.875,2,1.75,1.25,0.642857143,Classical
0.241735537,2.88,3.5056,15,1.117748918,0.863636364,3.272727273,2.380165289,1.409090909,0.608802309,Classical
0,1,0,15,0.05,0,1.2,0.16,1,0.05,Classical
0.580578512,3.42,4.9636,13,1.042424242,2.090909091,3.363636364,2.32231405,1.681818182,0.655952381,Classical
0.248888889,3.6,5.64,19,0.896091954,2,3.933333333,2.528888889,1.533333333,0.532758621,Classical
